Typical Measured Spectrum of Semrock FF01-417/60 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 1e-6 (Optical Density 6) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	8.2355e-04
300.2	4.0695e-04
300.4	2.0109e-04
300.6	1.3792e-04
300.8	1.0462e-04
301.0	8.513e-05
301.2	8.8872e-05
301.4	9.2779e-05
301.6	6.1104e-05
301.8	4.8978e-05
302.0	4.2588e-05
302.2	4.7925e-05
302.4	5.3931e-05
302.6	7.8786e-05
302.8	1.2906e-04
303.0	1.7867e-04
303.2	2.0469e-04
303.4	2.345e-04
303.6	1.38e-04
303.8	6.618e-05
304.0	3.602e-05
304.2	3.0707e-05
304.4	2.6178e-05
304.6	2.6522e-05
304.8	2.6812e-05
305.0	2.0243e-05
305.2	6.2161e-06
305.4	1.9088e-06
305.6	1.3407e-06
305.8	1.3426e-06
306.0	1.3463e-06
306.2	1.3254e-06
306.4	1.3048e-06
306.6	1.2811e-06
306.8	1.2569e-06
307.0	1.2373e-06
307.2	1.2324e-06
307.4	1.2276e-06
307.6	2.7059e-06
307.8	1.7177e-06
308.0	1.2221e-06
308.2	1.2241e-06
308.4	1.2261e-06
308.6	1.2368e-06
308.8	1.2514e-06
309.0	1.2668e-06
309.2	1.2764e-06
309.4	1.2861e-06
309.6	2.2347e-06
309.8	4.5694e-06
310.0	7.7069e-06
310.2	6.6963e-06
310.4	5.8183e-06
310.6	1.3945e-06
310.8	1.3932e-06
311.0	1.6173e-06
311.2	2.9813e-06
311.4	5.4956e-06
311.6	4.1669e-06
311.8	2.1591e-06
312.0	1.2384e-06
312.2	1.2016e-06
312.4	1.1659e-06
312.6	1.853e-06
312.8	3.4271e-06
313.0	4.8282e-06
313.2	2.5916e-06
313.4	1.3911e-06
313.6	1.1383e-06
313.8	1.1427e-06
314.0	1.4968e-06
314.2	3.8219e-06
314.4	9.7588e-06
314.6	1.0489e-05
314.8	8.2526e-06
315.0	2.3479e-06
315.2	4.6852e-06
315.4	9.3492e-06
315.6	5.5594e-06
315.8	2.2318e-06
316.0	1.0859e-06
316.2	1.0893e-06
316.4	1.0926e-06
316.6	1.0923e-06
316.8	1.0856e-06
317.0	1.0771e-06
317.2	1.0641e-06
317.4	1.0513e-06
317.6	1.0451e-06
317.8	1.0413e-06
318.0	1.0398e-06
318.2	1.031e-06
318.4	1.0223e-06
318.6	1.0141e-06
318.8	1.006e-06
319.0	9.9926e-07
319.2	9.9782e-07
319.4	9.9638e-07
319.6	9.8994e-07
319.8	9.7495e-07
320.0	9.6012e-07
320.2	9.4527e-07
320.4	9.3065e-07
320.6	9.3038e-07
320.8	9.3579e-07
321.0	2.5926e-06
321.2	1.6741e-06
321.4	1.081e-06
321.6	1.5157e-06
321.8	2.6788e-06
322.0	3.7084e-06
322.2	2.2132e-06
322.4	1.3209e-06
322.6	2.7113e-06
322.8	5.0303e-06
323.0	6.2914e-06
323.2	2.8544e-06
323.4	1.295e-06
323.6	1.9358e-06
323.8	4.4477e-06
324.0	1.8172e-06
324.2	1.3146e-06
324.4	9.5102e-07
324.6	1.3704e-06
324.8	2.5001e-06
325.0	3.5604e-06
325.2	1.8828e-06
325.4	9.9561e-07
325.6	1.2096e-06
325.8	1.7957e-06
326.0	2.1573e-06
326.2	1.3967e-06
326.4	9.0426e-07
326.6	7.961e-07
326.8	7.9463e-07
327.0	1.4925e-06
327.2	1.1034e-06
327.4	8.1574e-07
327.6	7.4491e-07
327.8	7.2582e-07
328.0	7.0866e-07
328.2	6.9691e-07
328.4	6.8536e-07
328.6	1.0989e-06
328.8	8.1206e-07
329.0	6.9939e-07
329.2	9.0189e-07
329.4	1.163e-06
329.6	1.0164e-06
329.8	7.6923e-07
330.0	1.7075e-06
330.2	1.0732e-06
330.4	6.7454e-07
330.6	5.9194e-07
330.8	5.8409e-07
331.0	6.088e-07
331.2	7.9559e-07
331.4	1.0397e-06
331.6	9.3066e-07
331.8	6.9248e-07
332.0	5.9013e-07
332.2	7.6392e-07
332.4	9.8889e-07
332.6	8.8181e-07
332.8	6.7024e-07
333.0	5.3239e-07
333.2	5.2878e-07
333.4	5.2518e-07
333.6	5.2203e-07
333.8	5.1903e-07
334.0	5.1696e-07
334.2	5.1842e-07
334.4	5.1988e-07
334.6	1.9308e-06
334.8	9.0145e-07
335.0	5.0696e-07
335.2	4.9833e-07
335.4	4.8985e-07
335.6	7.5786e-07
335.8	1.4111e-06
336.0	4.7472e-07
336.2	4.6583e-07
336.4	4.5711e-07
336.6	4.498e-07
336.8	4.4298e-07
337.0	4.3772e-07
337.2	4.376e-07
337.4	4.3748e-07
337.6	2.8209e-06
337.8	1.4282e-06
338.0	8.0196e-07
338.2	6.0462e-07
338.4	4.5584e-07
338.6	5.7324e-07
338.8	8.7955e-07
339.0	4.1804e-07
339.2	4.1122e-07
339.4	4.0451e-07
339.6	3.9745e-07
339.8	3.9037e-07
340.0	3.8458e-07
340.2	3.8271e-07
340.4	3.8086e-07
340.6	3.7874e-07
340.8	3.7427e-07
341.0	3.6995e-07
341.2	3.6595e-07
341.4	3.62e-07
341.6	3.612e-07
341.8	3.6159e-07
342.0	7.1515e-07
342.2	1.3948e-06
342.4	2.7205e-06
342.6	2.0045e-06
342.8	1.0952e-06
343.0	6.4486e-07
343.2	4.913e-07
343.4	3.7431e-07
343.6	3.429e-07
343.8	3.3968e-07
344.0	3.3654e-07
344.2	3.3358e-07
344.4	3.3065e-07
344.6	3.3051e-07
344.8	3.3144e-07
345.0	3.3314e-07
345.2	3.2928e-07
345.4	3.2546e-07
345.6	3.2148e-07
345.8	3.1749e-07
346.0	3.6162e-07
346.2	6.8301e-07
346.4	1.29e-06
346.6	8.6577e-07
346.8	1.7092e-06
347.0	2.26e-06
347.2	9.547e-07
347.4	4.033e-07
347.6	3.8901e-07
347.8	5.2144e-07
348.0	3.7331e-07
348.2	4.8386e-07
348.4	6.2715e-07
348.6	5.4043e-07
348.8	4.0938e-07
349.0	3.718e-07
349.2	6.4251e-07
349.4	1.1103e-06
349.6	4.9448e-07
349.8	7.2239e-07
350.0	8.5531e-07
350.2	5.4806e-07
350.4	3.5118e-07
350.6	4.9051e-07
350.8	9.3468e-07
351.0	3.1952e-07
351.2	3.2097e-07
351.4	3.2242e-07
351.6	4.4873e-07
351.8	6.9828e-07
352.0	9.128e-07
352.2	6.0698e-07
352.4	4.0362e-07
352.6	3.5208e-07
352.8	3.4957e-07
353.0	3.4634e-07
353.2	3.4123e-07
353.4	3.3619e-07
353.6	4.0692e-07
353.8	5.3048e-07
354.0	9.0717e-07
354.2	5.6076e-07
354.4	3.4663e-07
354.6	3.0537e-07
354.8	2.9906e-07
355.0	3.2528e-07
355.2	5.0272e-07
355.4	7.7695e-07
355.6	5.7181e-07
355.8	9.7907e-07
356.0	1.2428e-06
356.2	6.5815e-07
356.4	3.4852e-07
356.6	2.9498e-07
356.8	3.0098e-07
357.0	3.0791e-07
357.2	3.0735e-07
357.4	3.0679e-07
357.6	3.077e-07
357.8	3.0911e-07
358.0	3.0907e-07
358.2	3.0343e-07
358.4	2.9788e-07
358.6	3.41e-06
358.8	4.3333e-06
359.0	5.298e-06
359.2	5.8791e-06
359.4	6.5239e-06
359.6	4.9844e-06
359.8	3.3516e-06
360.0	4.2226e-06
360.2	4.6148e-06
360.4	5.0435e-06
360.6	5.141e-06
360.8	5.1294e-06
361.0	4.7557e-06
361.2	3.4247e-06
361.4	2.4662e-06
361.6	4.0224e-06
361.8	4.5251e-06
362.0	4.8832e-06
362.2	4.6353e-06
362.4	4.4e-06
362.6	4.283e-06
362.8	4.2133e-06
363.0	5.6056e-06
363.2	5.6443e-06
363.4	5.6833e-06
363.6	5.2201e-06
363.8	4.6612e-06
364.0	4.3696e-06
364.2	4.8208e-06
364.4	5.3186e-06
364.6	5.5066e-06
364.8	5.1481e-06
365.0	5.0458e-06
365.2	5.7206e-06
365.4	6.4857e-06
365.6	6.4574e-06
365.8	6.0891e-06
366.0	6.9039e-06
366.2	6.7431e-06
366.4	6.5861e-06
366.6	6.4515e-06
366.8	6.3253e-06
367.0	6.1679e-06
367.2	5.906e-06
367.4	5.6553e-06
367.6	6.8884e-06
367.8	6.3479e-06
368.0	6.0341e-06
368.2	6.3111e-06
368.4	6.6009e-06
368.6	6.8013e-06
368.8	6.964e-06
369.0	5.5518e-06
369.2	6.4277e-06
369.4	7.4418e-06
369.6	7.4992e-06
369.8	7.2501e-06
370.0	7.1545e-06
370.2	7.5477e-06
370.4	7.9626e-06
370.6	6.7689e-06
370.8	6.0683e-06
371.0	5.5854e-06
371.2	5.5883e-06
371.4	5.5912e-06
371.6	5.6375e-06
371.8	5.703e-06
372.0	5.3329e-06
372.2	5.5151e-06
372.4	5.7036e-06
372.6	6.1448e-06
372.8	6.7111e-06
373.0	7.3881e-06
373.2	8.3807e-06
373.4	9.5067e-06
373.6	7.1747e-06
373.8	7.3167e-06
374.0	7.3989e-06
374.2	7.3139e-06
374.4	7.2298e-06
374.6	6.5473e-06
374.8	5.7448e-06
375.0	6.5417e-06
375.2	6.5366e-06
375.4	6.5316e-06
375.6	7.2186e-06
375.8	8.2079e-06
376.0	8.812e-06
376.2	7.9263e-06
376.4	7.1296e-06
376.6	7.1699e-06
376.8	6.4302e-06
377.0	6.148e-06
377.2	7.1598e-06
377.4	8.3381e-06
377.6	8.0251e-06
377.8	7.1452e-06
378.0	8.9145e-06
378.2	8.6857e-06
378.4	8.4627e-06
378.6	7.9918e-06
378.8	7.473e-06
379.0	7.4012e-06
379.2	8.9346e-06
379.4	1.0786e-05
379.6	9.5759e-06
379.8	1.0609e-05
380.0	1.1262e-05
380.2	1.1457e-05
380.4	1.1656e-05
380.6	1.3716e-05
380.8	1.6238e-05
381.0	1.9324e-05
381.2	2.3115e-05
381.4	2.8888e-05
381.6	3.7653e-05
381.8	4.9077e-05
