Typical Measured Spectrum of Semrock FF01-750/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	2.3105e-06
300.2	2.3902e-06
300.4	2.4727e-06
300.6	2.558e-06
300.8	2.6462e-06
301.0	2.7375e-06
301.2	2.832e-06
301.4	2.9297e-06
301.6	3.0308e-06
301.8	3.1354e-06
302.0	2.8505e-06
302.2	2.5898e-06
302.4	2.353e-06
302.6	2.1379e-06
302.8	1.9424e-06
303.0	1.7648e-06
303.2	1.6034e-06
303.4	1.4568e-06
303.6	1.3236e-06
303.8	1.2025e-06
304.0	1.0607e-06
304.2	9.2809e-07
304.4	8.1204e-07
304.6	7.105e-07
304.8	6.2166e-07
305.0	5.4393e-07
305.2	4.7592e-07
305.4	4.1641e-07
305.6	3.6434e-07
305.8	3.1878e-07
306.0	3.5134e-07
306.2	4.5927e-07
306.4	6.0035e-07
306.6	7.8476e-07
306.8	1.0258e-06
307.0	1.3409e-06
307.2	1.7528e-06
307.4	2.2913e-06
307.6	2.9951e-06
307.8	3.9151e-06
308.0	4.7462e-06
308.2	5.0605e-06
308.4	5.3957e-06
308.6	5.753e-06
308.8	6.1341e-06
309.0	6.5403e-06
309.2	6.9735e-06
309.4	7.4353e-06
309.6	7.9278e-06
309.8	8.4528e-06
310.0	4.3468e-06
310.2	4.4666e-06
310.4	4.5897e-06
310.6	4.7162e-06
310.8	4.8462e-06
311.0	4.9797e-06
311.2	5.117e-06
311.4	5.258e-06
311.6	5.4029e-06
311.8	5.5518e-06
312.0	5.8852e-06
312.2	6.2435e-06
312.4	6.6237e-06
312.6	7.027e-06
312.8	7.4549e-06
313.0	7.9089e-06
313.2	8.3905e-06
313.4	8.9014e-06
313.6	9.4434e-06
313.8	1.0018e-05
314.0	1.3628e-05
314.2	2.0008e-05
314.4	2.9375e-05
314.6	4.3127e-05
314.8	6.3318e-05
315.0	9.2961e-05
315.2	1.3648e-04
315.4	2.0038e-04
315.6	2.9419e-04
315.8	4.3193e-04
316.0	5.2687e-04
316.2	5.5723e-04
316.4	5.8934e-04
316.6	6.2329e-04
316.8	6.5921e-04
317.0	6.9719e-04
317.2	7.3736e-04
317.4	7.7985e-04
317.6	8.2478e-04
317.8	8.723e-04
318.0	8.0387e-04
318.2	5.8297e-04
318.4	4.2277e-04
318.6	3.066e-04
318.8	2.2235e-04
319.0	1.6125e-04
319.2	1.1694e-04
319.4	8.4804e-05
319.6	6.15e-05
319.8	4.46e-05
320.0	9.3168e-06
320.2	9.0882e-06
320.4	8.8653e-06
320.6	8.6479e-06
320.8	8.4358e-06
321.0	8.2288e-06
321.2	8.027e-06
321.4	7.8301e-06
321.6	7.638e-06
321.8	7.4507e-06
322.0	7.2102e-06
322.2	6.9764e-06
322.4	6.7501e-06
322.6	6.5312e-06
322.8	6.3193e-06
323.0	6.1144e-06
323.2	5.916e-06
323.4	5.7242e-06
323.6	5.5385e-06
323.8	5.3589e-06
324.0	5.7027e-06
324.2	6.2336e-06
324.4	6.8139e-06
324.6	7.4483e-06
324.8	8.1418e-06
325.0	8.8998e-06
325.2	9.7284e-06
325.4	1.0634e-05
325.6	1.1624e-05
325.8	1.2706e-05
326.0	1.5812e-05
326.2	2.1614e-05
326.4	2.9544e-05
326.6	4.0385e-05
326.8	5.5203e-05
327.0	7.5458e-05
327.2	1.0315e-04
327.4	1.4099e-04
327.6	1.9273e-04
327.8	2.6344e-04
328.0	3.2289e-04
328.2	3.3246e-04
328.4	3.4232e-04
328.6	3.5247e-04
328.8	3.6292e-04
329.0	3.7368e-04
329.2	3.8476e-04
329.4	3.9616e-04
329.6	4.0791e-04
329.8	4.2e-04
330.0	3.1288e-04
330.2	3.2263e-04
330.4	2.9807e-04
330.6	3.0168e-04
330.8	3.0072e-04
331.0	3.0721e-04
331.2	3.2085e-04
331.4	3.3425e-04
331.6	3.9814e-04
331.8	4.4716e-04
332.0	5.2039e-04
332.2	5.9641e-04
332.4	7.4219e-04
332.6	8.1076e-04
332.8	0.00106
333.0	0.00141
333.2	0.00212
333.4	0.00375
333.6	0.0094
333.8	0.03381
334.0	0.09482
334.2	0.13464
334.4	0.12075
334.6	0.088
334.8	0.05877
335.0	0.04313
335.2	0.03936
335.4	0.04873
335.6	0.0846
335.8	0.17891
336.0	0.22052
336.2	0.14232
336.4	0.08404
336.6	0.06861
336.8	0.07523
337.0	0.0816
337.2	0.06237
337.4	0.03592
337.6	0.02112
337.8	0.01579
338.0	0.01526
338.2	0.02182
338.4	0.04013
338.6	0.04347
338.8	0.02072
339.0	0.00774
339.2	0.00388
339.4	0.00279
339.6	0.00235
339.8	0.00247
340.0	0.00336
340.2	0.00362
340.4	0.00206
340.6	0.00107
340.8	6.775e-04
341.0	5.0504e-04
341.2	4.3431e-04
341.4	4.1062e-04
341.6	3.7726e-04
341.8	3.858e-04
342.0	4.1652e-04
342.2	5.0508e-04
342.4	7.5494e-04
342.6	8.729e-04
342.8	5.8946e-04
343.0	3.7357e-04
343.2	2.8356e-04
343.4	2.0888e-04
343.6	1.5355e-04
343.8	1.407e-04
344.0	1.1969e-04
344.2	1.1574e-04
344.4	1.2734e-04
344.6	1.9126e-04
344.8	3.966e-04
345.0	8.6588e-04
345.2	7.0692e-04
345.4	3.2207e-04
345.6	1.8505e-04
345.8	1.3541e-04
346.0	1.2213e-04
346.2	1.2695e-04
346.4	1.5967e-04
346.6	2.4447e-04
346.8	5.3879e-04
347.0	0.00258
347.2	0.00583
347.4	0.00279
347.6	0.00101
347.8	6.9033e-04
348.0	7.2717e-04
348.2	0.00114
348.4	0.00298
348.6	0.01486
348.8	0.04698
349.0	0.02258
349.2	0.00304
349.4	9.8462e-04
349.6	6.0139e-04
349.8	4.5024e-04
350.0	2.1872e-04
350.2	1.9071e-04
350.4	1.6628e-04
350.6	1.4498e-04
350.8	1.2641e-04
351.0	1.1022e-04
351.2	9.6102e-05
351.4	8.3793e-05
351.6	7.306e-05
351.8	6.3702e-05
352.0	6.2907e-05
352.2	6.2706e-05
352.4	6.2505e-05
352.6	6.2306e-05
352.8	6.2107e-05
353.0	6.1909e-05
353.2	6.1711e-05
353.4	6.1514e-05
353.6	6.1317e-05
353.8	6.1122e-05
354.0	6.0433e-05
354.2	5.9585e-05
354.4	5.8749e-05
354.6	5.7926e-05
354.8	5.7113e-05
355.0	5.6312e-05
355.2	5.5523e-05
355.4	5.4744e-05
355.6	5.3976e-05
355.8	5.3219e-05
356.0	5.3329e-05
356.2	5.411e-05
356.4	5.4901e-05
356.6	5.5704e-05
356.8	5.6519e-05
357.0	5.7346e-05
357.2	5.8185e-05
357.4	5.9037e-05
357.6	5.99e-05
357.8	6.0777e-05
358.0	6.1574e-05
358.2	6.2235e-05
358.4	6.2904e-05
358.6	6.358e-05
358.8	6.4263e-05
359.0	6.4953e-05
359.2	6.5651e-05
359.4	6.6356e-05
359.6	6.7069e-05
359.8	6.7789e-05
360.0	6.8414e-05
360.2	6.7791e-05
360.4	6.7174e-05
360.6	6.6562e-05
360.8	6.5956e-05
361.0	6.5356e-05
361.2	6.4761e-05
361.4	6.4171e-05
361.6	6.3587e-05
361.8	6.3008e-05
362.0	6.4046e-05
362.2	6.5206e-05
362.4	6.6388e-05
362.6	6.7591e-05
362.8	6.8816e-05
363.0	7.0063e-05
363.2	7.1333e-05
363.4	7.2626e-05
363.6	7.3942e-05
363.8	7.5282e-05
364.0	7.6189e-05
364.2	7.6965e-05
364.4	7.775e-05
364.6	7.8542e-05
364.8	7.9342e-05
365.0	8.0151e-05
365.2	8.0968e-05
365.4	8.1793e-05
365.6	8.2626e-05
365.8	8.3468e-05
366.0	8.9561e-05
366.2	1.0021e-04
366.4	1.1213e-04
366.6	1.2546e-04
366.8	1.4039e-04
367.0	1.5708e-04
367.2	1.7576e-04
367.4	1.9666e-04
367.6	2.2005e-04
367.8	2.4622e-04
368.0	2.8819e-04
368.2	3.5942e-04
368.4	4.4826e-04
368.6	5.5905e-04
368.8	6.9723e-04
369.0	8.6955e-04
369.2	0.00108
369.4	0.00135
369.6	0.00169
369.8	0.0021
370.0	0.00135
370.2	0.00132
370.4	0.00134
370.6	0.00136
370.8	0.00134
371.0	0.00137
371.2	0.00148
371.4	0.00147
371.6	0.00142
371.8	0.00152
372.0	0.00153
372.2	0.00148
372.4	0.00149
372.6	0.00157
372.8	0.00155
373.0	0.00158
373.2	0.00164
373.4	0.00172
373.6	0.00195
373.8	0.00217
374.0	0.00236
374.2	0.00262
374.4	0.00283
374.6	0.00308
374.8	0.00342
375.0	0.00373
375.2	0.00397
375.4	0.00432
375.6	0.00479
375.8	0.00523
376.0	0.00598
376.2	0.00706
376.4	0.00894
376.6	0.01262
376.8	0.02122
377.0	0.04483
377.2	0.11524
377.4	0.29236
377.6	0.56619
377.8	0.76973
378.0	0.84019
378.2	0.85897
378.4	0.87023
378.6	0.87509
378.8	0.87855
379.0	0.88114
379.2	0.8834
379.4	0.88904
379.6	0.89307
379.8	0.89671
380.0	0.89935
380.2	0.90268
380.4	0.90447
380.6	0.90477
380.8	0.90588
381.0	0.90499
381.2	0.90562
381.4	0.90713
381.6	0.91096
381.8	0.91607
382.0	0.91978
382.2	0.9224
382.4	0.9216
382.6	0.91731
382.8	0.91399
383.0	0.91075
383.2	0.90844
383.4	0.90991
383.6	0.91258
383.8	0.91886
384.0	0.92376
384.2	0.92795
384.4	0.92927
384.6	0.92739
384.8	0.92601
385.0	0.92468
385.2	0.92345
385.4	0.92376
385.6	0.92676
385.8	0.93078
386.0	0.93282
386.2	0.93412
386.4	0.93282
386.6	0.93109
386.8	0.9272
387.0	0.92515
387.2	0.924
387.4	0.92313
387.6	0.92602
387.8	0.93065
388.0	0.93574
388.2	0.93849
388.4	0.94031
388.6	0.93901
388.8	0.93695
389.0	0.93191
389.2	0.92808
389.4	0.9237
389.6	0.92315
389.8	0.92248
390.0	0.92643
390.2	0.93018
390.4	0.93369
390.6	0.93789
390.8	0.93862
391.0	0.93948
391.2	0.93869
391.4	0.93827
391.6	0.93538
391.8	0.93546
392.0	0.93643
392.2	0.93921
392.4	0.94211
392.6	0.94401
392.8	0.94724
393.0	0.94576
393.2	0.94433
393.4	0.9399
393.6	0.93507
393.8	0.93026
394.0	0.92692
394.2	0.92417
394.4	0.92556
394.6	0.92699
394.8	0.9316
395.0	0.93633
395.2	0.93958
395.4	0.94437
395.6	0.94449
395.8	0.94649
396.0	0.94527
396.2	0.94234
396.4	0.94054
396.6	0.93939
396.8	0.93893
397.0	0.93877
397.2	0.9403
397.4	0.94349
397.6	0.94487
397.8	0.94657
398.0	0.94674
398.2	0.94582
398.4	0.94543
398.6	0.94088
398.8	0.94034
399.0	0.93989
399.2	0.93901
399.4	0.94019
399.6	0.94322
399.8	0.94748
400.0	0.95094
400.2	0.95517
400.4	0.95708
400.6	0.95881
400.8	0.9555
401.0	0.95337
401.2	0.95242
401.4	0.94828
401.6	0.94525
401.8	0.94482
402.0	0.94487
402.2	0.94531
402.4	0.94749
402.6	0.95044
402.8	0.9527
403.0	0.95385
403.2	0.95396
403.4	0.95346
403.6	0.9525
403.8	0.94974
404.0	0.94762
404.2	0.94677
404.4	0.94509
404.6	0.94545
404.8	0.94685
405.0	0.94913
405.2	0.95245
405.4	0.95595
405.6	0.9579
405.8	0.9595
406.0	0.95925
406.2	0.95917
406.4	0.95674
406.6	0.95494
406.8	0.95124
407.0	0.94886
407.2	0.94719
407.4	0.94724
407.6	0.94767
407.8	0.95018
408.0	0.9518
408.2	0.95479
408.4	0.95641
408.6	0.95753
408.8	0.95841
409.0	0.95661
409.2	0.95522
409.4	0.95367
409.6	0.9515
409.8	0.95023
410.0	0.9505
410.2	0.9502
410.4	0.95157
410.6	0.95309
410.8	0.95472
411.0	0.95596
411.2	0.95632
411.4	0.95931
411.6	0.96101
411.8	0.96039
412.0	0.96008
412.2	0.95948
412.4	0.95916
412.6	0.9584
412.8	0.95914
413.0	0.95999
413.2	0.96034
413.4	0.96211
413.6	0.96351
413.8	0.96471
414.0	0.96525
414.2	0.96542
414.4	0.96441
414.6	0.96264
414.8	0.95963
415.0	0.95578
415.2	0.95157
415.4	0.94765
415.6	0.94423
415.8	0.94082
416.0	0.93637
416.2	0.93234
416.4	0.92874
416.6	0.92431
416.8	0.92132
417.0	0.91656
417.2	0.91302
417.4	0.90871
417.6	0.90407
417.8	0.90135
418.0	0.89838
418.2	0.89579
418.4	0.895
418.6	0.89486
418.8	0.89572
419.0	0.89963
419.2	0.90396
419.4	0.90701
419.6	0.91338
419.8	0.91799
420.0	0.92452
420.2	0.92966
420.4	0.93465
420.6	0.93987
420.8	0.94409
421.0	0.94914
421.2	0.95356
421.4	0.95765
421.6	0.96116
421.8	0.96424
422.0	0.96816
422.2	0.96949
422.4	0.97241
422.6	0.97394
422.8	0.97346
423.0	0.97289
423.2	0.97065
423.4	0.96828
423.6	0.96538
423.8	0.96209
424.0	0.95827
424.2	0.95607
424.4	0.95423
424.6	0.95227
424.8	0.95267
425.0	0.95327
425.2	0.95272
425.4	0.95483
425.6	0.95692
425.8	0.95854
426.0	0.96101
426.2	0.96225
426.4	0.96369
426.6	0.96546
426.8	0.96528
427.0	0.96708
427.2	0.96781
427.4	0.96698
427.6	0.96677
427.8	0.96788
428.0	0.96815
428.2	0.96739
428.4	0.96648
428.6	0.96732
428.8	0.96565
429.0	0.96365
429.2	0.96221
429.4	0.96059
429.6	0.95818
429.8	0.95591
430.0	0.95295
430.2	0.9509
430.4	0.94946
430.6	0.94841
430.8	0.94717
431.0	0.94824
431.2	0.94936
431.4	0.95017
431.6	0.95352
431.8	0.95771
432.0	0.95932
432.2	0.96275
432.4	0.96503
432.6	0.96654
432.8	0.96805
433.0	0.96948
433.2	0.96989
433.4	0.97035
433.6	0.97036
433.8	0.9685
434.0	0.96831
434.2	0.96812
434.4	0.96778
434.6	0.96878
434.8	0.96853
435.0	0.96895
435.2	0.96861
435.4	0.96906
435.6	0.97067
435.8	0.97131
436.0	0.97146
436.2	0.97093
436.4	0.97102
436.6	0.97172
436.8	0.97221
437.0	0.97186
437.2	0.97299
437.4	0.97442
437.6	0.97516
437.8	0.97641
438.0	0.97805
438.2	0.97909
438.4	0.98055
438.6	0.98018
438.8	0.9808
439.0	0.97971
439.2	0.97774
439.4	0.97599
439.6	0.97347
439.8	0.97113
440.0	0.96841
440.2	0.96544
440.4	0.96271
440.6	0.96181
440.8	0.96007
441.0	0.95951
441.2	0.95944
441.4	0.96088
441.6	0.9622
441.8	0.96389
442.0	0.96637
442.2	0.96782
442.4	0.9699
442.6	0.97173
442.8	0.97335
443.0	0.97346
443.2	0.97555
443.4	0.9768
443.6	0.97679
443.8	0.97838
444.0	0.97874
444.2	0.97846
444.4	0.97963
444.6	0.98019
444.8	0.98105
