Typical Measured Spectrum of Semrock LP02-1064RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
250.0	0.04467
250.2	0.04316
250.4	0.04193
250.6	0.04075
250.8	0.0396
251.0	0.03862
251.2	0.03777
251.4	0.03694
251.6	0.036
251.8	0.03436
252.0	0.0328
252.2	0.03131
252.4	0.03024
252.6	0.02931
252.8	0.02841
253.0	0.02782
253.2	0.02778
253.4	0.02773
253.6	0.02769
253.8	0.00339
254.0	3.6704e-04
254.2	4.0143e-04
254.4	4.3903e-04
254.6	4.8016e-04
254.8	5.2514e-04
255.0	5.4259e-04
255.2	4.8777e-04
255.4	4.3849e-04
255.6	3.9419e-04
255.8	3.5437e-04
256.0	3.1857e-04
256.2	2.8638e-04
256.4	2.5745e-04
256.6	2.3144e-04
256.8	2.0806e-04
257.0	1.9018e-04
257.2	2.0572e-04
257.4	2.2252e-04
257.6	2.4069e-04
257.8	2.6035e-04
258.0	2.8162e-04
258.2	3.0462e-04
258.4	3.295e-04
258.6	3.5642e-04
258.8	3.8553e-04
259.0	4.1702e-04
259.2	2.9502e-04
259.4	1.9751e-04
259.6	1.3223e-04
259.8	8.8525e-05
260.0	5.9266e-05
260.2	5.2485e-05
260.4	4.648e-05
260.6	4.1161e-05
260.8	3.6452e-05
261.0	3.2281e-05
261.2	2.8588e-05
261.4	2.5317e-05
261.6	2.242e-05
261.8	1.9855e-05
262.0	1.7739e-05
262.2	1.6733e-05
262.4	1.5784e-05
262.6	1.4889e-05
262.8	1.4045e-05
263.0	1.3248e-05
263.2	1.2497e-05
263.4	1.1788e-05
263.6	1.1119e-05
263.8	1.0489e-05
264.0	9.894e-06
264.2	1.2522e-05
264.4	1.6147e-05
264.6	2.0823e-05
264.8	2.6852e-05
265.0	3.4627e-05
265.2	3.6898e-05
265.4	3.9318e-05
265.6	4.1896e-05
265.8	4.3228e-05
266.0	4.3346e-05
266.2	4.3464e-05
266.4	4.3582e-05
266.6	4.3701e-05
266.8	4.382e-05
267.0	4.3939e-05
267.2	4.4059e-05
267.4	4.4179e-05
267.6	4.4299e-05
267.8	4.3728e-05
268.0	4.1779e-05
268.2	3.9917e-05
268.4	3.8138e-05
268.6	3.6438e-05
268.8	3.4814e-05
269.0	3.3262e-05
269.2	3.1779e-05
269.4	3.0363e-05
269.6	2.901e-05
269.8	2.7227e-05
270.0	2.2555e-05
270.2	1.8685e-05
270.4	1.5479e-05
270.6	1.2823e-05
270.8	1.0623e-05
271.0	8.8001e-06
271.2	7.2901e-06
271.4	6.0393e-06
271.6	5.003e-06
271.8	4.1446e-06
272.0	4.0649e-06
272.2	4.0417e-06
272.4	4.0186e-06
272.6	3.9957e-06
272.8	3.9729e-06
273.0	3.9502e-06
273.2	3.9277e-06
273.4	3.9053e-06
273.6	3.883e-06
273.8	3.8608e-06
274.0	1.2975e-05
274.2	6.8422e-05
274.4	3.608e-04
274.6	0.0019
274.8	0.01003
275.0	0.0529
275.2	0.00769
275.4	0.00112
275.6	1.6276e-04
275.8	2.3671e-05
276.0	3.4427e-06
276.2	3.7911e-06
276.4	4.6969e-06
276.6	5.819e-06
276.8	7.2092e-06
277.0	8.9316e-06
277.2	1.1065e-05
277.4	1.3709e-05
277.6	1.6984e-05
277.8	2.1042e-05
278.0	2.6069e-05
278.2	2.7415e-05
278.4	2.7218e-05
278.6	2.7022e-05
278.8	2.6828e-05
279.0	2.6635e-05
279.2	2.6443e-05
279.4	2.6253e-05
279.6	2.6064e-05
279.8	2.5877e-05
280.0	2.569e-05
280.2	2.4086e-05
280.4	2.1507e-05
280.6	1.9204e-05
280.8	1.7148e-05
281.0	1.5312e-05
281.2	1.3673e-05
281.4	1.2209e-05
281.6	1.0901e-05
281.8	9.7342e-06
282.0	8.692e-06
282.2	7.6571e-06
282.4	6.5708e-06
282.6	5.6386e-06
282.8	4.8387e-06
283.0	4.1523e-06
283.2	3.5632e-06
283.4	3.0577e-06
283.6	2.6239e-06
283.8	2.2517e-06
284.0	1.9322e-06
284.2	1.7514e-06
284.4	2.1927e-06
284.6	2.7451e-06
284.8	3.4367e-06
285.0	4.3026e-06
285.2	5.3866e-06
285.4	6.7436e-06
285.6	8.4426e-06
285.8	1.057e-05
286.0	1.3233e-05
286.2	1.6566e-05
286.4	1.4936e-05
286.6	1.3235e-05
286.8	1.1728e-05
287.0	1.0393e-05
287.2	9.2094e-06
287.4	8.1608e-06
287.6	7.2316e-06
287.8	6.4082e-06
288.0	5.6785e-06
288.2	5.0319e-06
288.4	4.7114e-06
288.6	4.4908e-06
288.8	4.2805e-06
289.0	4.0801e-06
289.2	3.8891e-06
289.4	3.707e-06
289.6	3.5334e-06
289.8	3.368e-06
290.0	3.2103e-06
290.2	3.06e-06
290.4	3.4211e-06
290.6	4.3245e-06
290.8	5.4665e-06
291.0	6.9101e-06
291.2	8.735e-06
291.4	1.1042e-05
291.6	1.3958e-05
291.8	1.7644e-05
292.0	2.2303e-05
292.2	2.8193e-05
292.4	3.3119e-05
292.6	3.4523e-05
292.8	3.5985e-05
293.0	3.751e-05
293.2	3.9099e-05
293.4	4.0756e-05
293.6	4.2482e-05
293.8	4.4282e-05
294.0	4.6158e-05
294.2	4.8114e-05
294.4	3.8047e-05
294.6	9.618e-06
294.8	2.4314e-06
295.0	6.1464e-07
295.2	6.0603e-07
295.4	5.9753e-07
295.6	5.8916e-07
295.8	6.138e-07
296.0	8.2191e-07
296.2	1.1006e-06
296.4	1.4737e-06
296.6	1.9734e-06
296.8	2.6425e-06
297.0	3.5384e-06
297.2	4.7381e-06
297.4	6.3446e-06
297.6	8.4957e-06
297.8	1.0446e-05
298.0	1.1387e-05
298.2	1.2413e-05
298.4	1.3532e-05
298.6	1.4752e-05
298.8	1.6081e-05
299.0	1.7531e-05
299.2	1.9111e-05
299.4	2.0834e-05
299.6	2.2711e-05
299.8	2.417e-05
300.0	2.5392e-05
300.2	2.6676e-05
300.4	2.8024e-05
300.6	2.9441e-05
300.8	3.0929e-05
301.0	3.2493e-05
301.2	3.4135e-05
301.4	3.5861e-05
301.6	3.7673e-05
301.8	3.7003e-05
302.0	3.6043e-05
302.2	3.5109e-05
302.4	3.4198e-05
302.6	3.3311e-05
302.8	3.2448e-05
303.0	3.1606e-05
303.2	3.0787e-05
303.4	2.9988e-05
303.6	2.945e-05
303.8	3.0544e-05
304.0	3.1678e-05
304.2	3.2855e-05
304.4	3.4075e-05
304.6	3.5341e-05
304.8	3.6654e-05
305.0	3.8015e-05
305.2	3.9828e-05
305.4	2.3703e-05
305.6	2.7542e-05
305.8	4.3071e-05
306.0	1.4948e-05
306.2	7.8367e-06
306.4	3.8345e-05
306.6	7.6437e-06
306.8	1.0934e-05
307.0	3.1757e-05
307.2	2.054e-05
307.4	7.9453e-06
307.6	1.4795e-05
307.8	3.5688e-05
308.0	3.1138e-05
308.2	1.0663e-05
308.4	2.4143e-05
308.6	1.5477e-05
308.8	1.4652e-05
309.0	1.8779e-05
309.2	4.3003e-05
309.4	3.7265e-05
309.6	3.0306e-05
309.8	2.3272e-05
310.0	9.3754e-06
310.2	2.892e-05
310.4	1.4069e-05
310.6	2.9371e-05
310.8	4.3335e-05
311.0	2.4293e-05
311.2	9.3028e-06
311.4	1.6126e-05
311.6	2.8465e-05
311.8	2.1218e-05
312.0	8.1128e-06
312.2	1.3901e-05
312.4	8.315e-06
312.6	2.1679e-05
312.8	4.0519e-05
313.0	4.5016e-05
313.2	2.0943e-05
313.4	1.3949e-05
313.6	1.7874e-05
313.8	2.2442e-05
314.0	3.6274e-05
314.2	1.616e-05
314.4	3.4058e-05
314.6	3.6948e-05
314.8	3.8897e-05
315.0	2.0225e-05
315.2	3.6129e-05
315.4	3.466e-05
315.6	2.723e-05
315.8	5.3818e-05
316.0	4.6627e-05
316.2	3.6116e-05
316.4	3.902e-05
316.6	2.056e-05
316.8	1.3914e-05
317.0	1.7623e-05
317.2	1.8223e-05
317.4	4.6203e-05
317.6	4.7729e-05
317.8	4.9876e-05
318.0	3.1837e-05
318.2	2.0416e-05
318.4	1.23e-05
318.6	2.4212e-05
318.8	4.3786e-05
319.0	3.5902e-05
319.2	2.8594e-05
319.4	2.3865e-05
319.6	2.9772e-05
319.8	3.5155e-05
320.0	2.3942e-05
320.2	3.0182e-05
320.4	4.3226e-05
320.6	1.8482e-05
320.8	1.7045e-05
321.0	3.4422e-05
321.2	2.8007e-05
321.4	3.4466e-05
321.6	3.8116e-05
321.8	2.8748e-05
322.0	2.8013e-05
322.2	1.9998e-05
322.4	5.0946e-05
322.6	5.3286e-05
322.8	2.6002e-05
323.0	2.9578e-05
323.2	2.7437e-05
323.4	2.5564e-05
323.6	4.7746e-05
323.8	3.5453e-05
324.0	3.2218e-05
324.2	2.5981e-05
324.4	3.2448e-05
324.6	3.1132e-05
324.8	3.3531e-05
325.0	2.6065e-05
325.2	3.1246e-05
325.4	2.2757e-05
325.6	1.0426e-05
325.8	5.9767e-05
326.0	3.0222e-05
326.2	3.6058e-05
326.4	2.4182e-05
326.6	4.3179e-05
326.8	2.0608e-05
327.0	3.7574e-05
327.2	3.953e-05
327.4	4.573e-05
327.6	2.9049e-05
327.8	2.5533e-05
328.0	3.0096e-05
328.2	3.9272e-05
328.4	4.5384e-05
328.6	4.0014e-05
328.8	4.3586e-05
329.0	3.2881e-05
329.2	7.2557e-05
329.4	6.3395e-05
329.6	5.9642e-05
329.8	4.9902e-05
330.0	5.9612e-05
330.2	7.1769e-05
330.4	7.2813e-05
330.6	5.9637e-05
330.8	7.7232e-05
331.0	7.8695e-05
331.2	6.6442e-05
331.4	7.4801e-05
331.6	7.687e-05
331.8	8.074e-05
332.0	6.7606e-05
332.2	6.1261e-05
332.4	7.2156e-05
332.6	7.8974e-05
332.8	7.1069e-05
333.0	8.0313e-05
333.2	7.9418e-05
333.4	7.9054e-05
333.6	7.7172e-05
333.8	7.0385e-05
334.0	9.1488e-05
334.2	8.6707e-05
334.4	8.6048e-05
334.6	8.7493e-05
334.8	9.9156e-05
335.0	9.0049e-05
335.2	8.4336e-05
335.4	1.0007e-04
335.6	1.0455e-04
335.8	9.4503e-05
336.0	9.5143e-05
336.2	9.577e-05
336.4	1.038e-04
336.6	1.0328e-04
336.8	8.9167e-05
337.0	9.3386e-05
337.2	1.1194e-04
337.4	1.0732e-04
337.6	1.0331e-04
337.8	1.0975e-04
338.0	1.2224e-04
338.2	1.1298e-04
338.4	1.1575e-04
338.6	1.0998e-04
338.8	1.1786e-04
339.0	1.205e-04
339.2	1.2935e-04
339.4	1.1956e-04
339.6	1.3573e-04
339.8	1.3226e-04
340.0	1.4024e-04
340.2	1.3723e-04
340.4	1.4123e-04
340.6	1.349e-04
340.8	1.3505e-04
341.0	1.4431e-04
341.2	1.4505e-04
341.4	1.4791e-04
341.6	1.4364e-04
341.8	1.6673e-04
342.0	1.5915e-04
342.2	1.5124e-04
342.4	1.5611e-04
342.6	1.706e-04
342.8	1.6212e-04
343.0	1.7112e-04
343.2	1.833e-04
343.4	1.917e-04
343.6	1.8102e-04
343.8	1.8129e-04
344.0	1.9342e-04
344.2	2.0124e-04
344.4	2.0904e-04
344.6	2.0898e-04
344.8	2.068e-04
345.0	2.2617e-04
345.2	2.3226e-04
345.4	2.2293e-04
345.6	2.2642e-04
345.8	2.2681e-04
346.0	2.2747e-04
346.2	2.4051e-04
346.4	2.4083e-04
346.6	2.4006e-04
346.8	2.5449e-04
347.0	2.5928e-04
347.2	2.7856e-04
347.4	2.6624e-04
347.6	2.8963e-04
347.8	2.9242e-04
348.0	3.028e-04
348.2	3.2132e-04
348.4	3.3716e-04
348.6	3.2345e-04
348.8	3.2846e-04
349.0	3.3369e-04
349.2	3.5055e-04
349.4	3.4995e-04
349.6	3.3794e-04
349.8	3.3596e-04
350.0	3.4024e-04
350.2	3.4186e-04
350.4	3.542e-04
350.6	3.3036e-04
350.8	3.5884e-04
351.0	3.5932e-04
351.2	3.6991e-04
351.4	3.6565e-04
351.6	3.9078e-04
351.8	3.808e-04
352.0	3.8806e-04
352.2	3.8444e-04
352.4	4.0651e-04
352.6	4.1659e-04
352.8	3.9446e-04
353.0	3.9621e-04
353.2	4.1103e-04
353.4	4.066e-04
353.6	3.7164e-04
353.8	3.8228e-04
354.0	3.8051e-04
354.2	3.7046e-04
354.4	3.4262e-04
354.6	3.7209e-04
354.8	3.3961e-04
355.0	3.267e-04
355.2	3.2145e-04
355.4	3.2887e-04
355.6	3.3693e-04
355.8	3.1516e-04
356.0	3.1623e-04
356.2	3.1977e-04
356.4	3.138e-04
356.6	3.3033e-04
356.8	3.2533e-04
357.0	3.1462e-04
357.2	3.1792e-04
357.4	3.3408e-04
357.6	3.3646e-04
357.8	3.3486e-04
358.0	3.3158e-04
358.2	3.2436e-04
358.4	3.479e-04
358.6	3.4478e-04
358.8	3.4242e-04
359.0	3.559e-04
359.2	3.6245e-04
359.4	3.6994e-04
359.6	3.6358e-04
359.8	3.5303e-04
360.0	3.3644e-04
360.2	3.3778e-04
360.4	3.3571e-04
360.6	3.4795e-04
360.8	3.5207e-04
361.0	3.4451e-04
361.2	3.5912e-04
361.4	3.6613e-04
361.6	3.7665e-04
361.8	3.9737e-04
362.0	4.4599e-04
362.2	4.8799e-04
362.4	5.3395e-04
362.6	6.1826e-04
362.8	0.0011
363.0	0.00292
363.2	0.00696
363.4	0.01302
363.6	0.02049
363.8	0.02765
364.0	0.03503
364.2	0.04287
364.4	0.05022
364.6	0.05802
364.8	0.06461
365.0	0.06964
365.2	0.07623
365.4	0.07903
365.6	0.0857
365.8	0.0924
366.0	0.09031
366.2	0.09445
366.4	0.1056
366.6	0.10596
366.8	0.10418
367.0	0.11459
367.2	0.12219
367.4	0.11557
367.6	0.11726
367.8	0.13239
368.0	0.13619
368.2	0.12796
368.4	0.13363
368.6	0.14932
368.8	0.14858
369.0	0.13735
369.2	0.14452
369.4	0.16256
369.6	0.15739
369.8	0.14016
370.0	0.14291
370.2	0.1649
370.4	0.17027
370.6	0.1513
370.8	0.14622
371.0	0.16712
371.2	0.18388
371.4	0.1642
371.6	0.14565
371.8	0.15715
372.0	0.18636
372.2	0.18453
372.4	0.15227
372.6	0.14163
372.8	0.16496
373.0	0.19544
373.2	0.18032
373.4	0.14677
373.6	0.14254
373.8	0.17399
374.0	0.20414
374.2	0.17802
374.4	0.14132
374.6	0.13849
374.8	0.17229
375.0	0.2113
375.2	0.18483
375.4	0.14203
375.6	0.1336
375.8	0.16504
376.0	0.21365
376.2	0.20147
376.4	0.15205
376.6	0.13134
376.8	0.15303
377.0	0.2079
377.2	0.22506
377.4	0.17369
377.6	0.13745
377.8	0.14156
378.0	0.19025
378.2	0.2394
378.4	0.20715
378.6	0.15139
378.8	0.13445
379.0	0.16117
