Typical Measured Spectrum of Semrock LP02-633RE Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
271	0.00988
271.2	0.00997
271.4	0.01006
271.6	0.01015
271.8	0.01024
272	0.01033
272.2	0.01043
272.4	0.01052
272.6	0.01061
272.8	0.01071
273	0.0108
273.2	0.0109
273.4	0.011
273.6	0.0111
273.8	0.0112
274	0.01099
274.2	0.01076
274.4	0.01054
274.6	0.01033
274.8	0.01011
275	0.00991
275.2	0.0097
275.4	0.0095
275.6	0.00931
275.8	0.00912
276	0.00893
276.2	0.00604
276.4	0.00615
276.6	0.00627
276.8	0.00638
277	0.0065
277.2	0.00662
277.4	0.00674
277.6	0.00686
277.8	0.00699
278	0.00712
278.2	0.00725
278.4	0.00738
278.6	0.00751
278.8	0.00763
279	0.00772
279.2	0.00782
279.4	0.00791
279.6	0.008
279.8	0.0081
280	0.00819
280.2	0.00829
280.4	0.00839
280.6	0.00849
280.8	0.00859
281	0.00869
281.2	0.00879
281.4	0.00889
281.6	0.00897
281.8	0.00904
282	0.00912
282.2	0.0092
282.4	0.00928
282.6	0.00936
282.8	0.00944
283	0.00952
283.2	0.0096
283.4	0.00969
283.6	0.00977
283.8	0.00985
284	0.00994
284.2	0.00995
284.4	0.00996
284.6	0.00997
284.8	0.00998
285	0.00999
285.2	0.00999
285.4	0.01
285.6	0.01001
285.8	0.01002
286	0.01003
286.2	0.01004
286.4	0.01005
286.6	0.01006
286.8	0.01008
287	0.01011
287.2	0.01013
287.4	0.01016
287.6	0.01019
287.8	0.01021
288	0.01024
288.2	0.01027
288.4	0.0103
288.6	0.01032
288.8	0.01035
289	0.01038
289.2	0.0104
289.4	0.01048
289.6	0.01058
289.8	0.01068
290	0.01078
290.2	0.01089
290.4	0.01099
290.6	0.01109
290.8	0.0112
291	0.01131
291.2	0.01142
291.4	0.01152
291.6	0.01164
291.8	0.01175
292	0.01202
292.2	0.01246
292.4	0.01291
292.6	0.01338
292.8	0.01387
293	0.01437
293.2	0.01489
293.4	0.01544
293.6	0.016
293.8	0.01658
294	0.01718
294.2	0.01781
294.4	0.01845
294.6	0.01919
294.8	0.02007
295	0.02098
295.2	0.02194
295.4	0.02294
295.6	0.02399
295.8	0.02508
296	0.02623
296.2	0.02766
296.4	0.0292
296.6	0.03083
296.8	0.03255
297	0.03434
297.2	0.03613
297.4	0.03802
297.6	0.04001
297.8	0.04169
298	0.04336
298.2	0.04509
298.4	0.04668
298.6	0.04804
298.8	0.04943
299	0.05087
299.2	0.05231
299.4	0.05379
299.6	0.05531
299.8	0.05642
300	0.05732
300.2	0.05823
300.4	0.059
300.6	0.05935
300.8	0.05969
301	0.06004
301.2	0.05932
301.4	0.05846
301.6	0.05761
301.8	0.05614
302	0.05405
302.2	0.05204
302.4	0.04988
302.6	0.04564
302.8	0.04177
303	0.03822
303.2	0.03383
303.4	0.02951
303.6	0.02574
303.8	0.0225
304	0.01976
304.2	0.01735
304.4	0.01523
304.6	0.01471
304.8	0.01435
305	0.01399
305.2	0.01373
305.4	0.01358
305.6	0.01342
305.8	0.01308
306	0.01149
306.2	0.00988
306.4	0.01022
306.6	0.01064
306.8	0.01093
307	0.0111
307.2	0.01157
307.4	0.01173
307.6	0.01202
307.8	0.01215
308	0.01232
308.2	0.01239
308.4	0.01243
308.6	0.01242
308.8	0.01283
309	0.0133
309.2	0.0137
309.4	0.01391
309.6	0.01427
309.8	0.01502
310	0.01541
310.2	0.01624
310.4	0.01722
310.6	0.01984
310.8	0.0345
311	0.09358
311.2	0.17012
311.4	0.23226
311.6	0.26535
311.8	0.28672
312	0.30965
312.2	0.31021
312.4	0.31765
312.6	0.3358
312.8	0.33465
313	0.33361
313.2	0.35445
313.4	0.35821
313.6	0.34144
313.8	0.34961
314	0.36885
314.2	0.35787
314.4	0.34369
314.6	0.36538
314.8	0.37842
315	0.35838
315.2	0.35303
315.4	0.3813
315.6	0.38983
315.8	0.36297
316	0.36125
316.2	0.39011
316.4	0.39478
316.6	0.36392
316.8	0.36289
317	0.39349
317.2	0.39918
317.4	0.37159
317.6	0.36765
317.8	0.40254
318	0.40708
318.2	0.36687
318.4	0.35017
318.6	0.38321
318.8	0.41571
319	0.39227
319.2	0.36712
319.4	0.38679
319.6	0.41842
319.8	0.40256
320	0.36692
320.2	0.37738
320.4	0.41493
320.6	0.41532
320.8	0.37777
321	0.36588
321.2	0.40462
321.4	0.42816
321.6	0.39863
321.8	0.37
322	0.38887
322.2	0.4329
322.4	0.42315
322.6	0.3818
322.8	0.37573
323	0.41408
323.2	0.4379
323.4	0.40334
323.6	0.37196
323.8	0.39238
324	0.4333
324.2	0.43001
324.4	0.38749
324.6	0.37654
324.8	0.41585
325	0.44514
325.2	0.41427
325.4	0.37543
325.6	0.38361
325.8	0.43538
326	0.44644
326.2	0.40092
326.4	0.37119
326.6	0.39699
326.8	0.453
327	0.44264
327.2	0.39047
327.4	0.37342
327.6	0.41332
327.8	0.4627
328	0.4362
328.2	0.38158
328.4	0.37532
328.6	0.42549
328.8	0.46675
329	0.43128
329.2	0.37349
329.4	0.37581
329.6	0.43196
329.8	0.47082
330	0.42802
330.2	0.37198
330.4	0.37913
330.6	0.43955
330.8	0.47357
331	0.42399
331.2	0.36193
331.4	0.37044
331.6	0.43781
331.8	0.479
332	0.42892
332.2	0.36274
332.4	0.36246
332.6	0.43351
332.8	0.48432
333	0.43851
333.2	0.36664
333.4	0.35464
333.6	0.42253
333.8	0.48932
334	0.45328
334.2	0.37159
334.4	0.34272
334.6	0.39734
334.8	0.48509
335	0.47523
335.2	0.38894
335.4	0.33974
335.6	0.37193
335.8	0.4668
336	0.49814
336.2	0.41688
336.4	0.34383
336.6	0.34663
336.8	0.43156
337	0.50945
337.2	0.45935
337.4	0.36534
337.6	0.33214
337.8	0.3843
338	0.49145
338.2	0.50259
338.4	0.40526
338.6	0.33429
338.8	0.34322
339	0.43543
339.2	0.52069
339.4	0.46911
339.6	0.36852
339.8	0.32928
340	0.37409
340.2	0.48518
340.4	0.51988
340.6	0.4342
340.8	0.35242
341	0.34547
341.2	0.42202
341.4	0.52172
341.6	0.5017
341.8	0.40036
342	0.34067
342.2	0.36052
342.4	0.45509
342.6	0.52715
342.8	0.47334
343	0.37892
343.2	0.34147
343.4	0.38236
343.6	0.48067
343.8	0.5136
344	0.43467
344.2	0.35158
344.4	0.33327
344.6	0.39044
344.8	0.4833
345	0.48845
345.2	0.40047
345.4	0.32844
345.6	0.32201
345.8	0.3896
346	0.47496
346.2	0.46478
346.4	0.37431
346.6	0.30939
346.8	0.30953
347	0.38342
347.2	0.46286
347.4	0.43934
347.6	0.34433
347.8	0.28011
348	0.28489
348.2	0.35783
348.4	0.44295
348.6	0.42573
348.8	0.32724
349	0.25677
349.2	0.2576
349.4	0.32126
349.6	0.41405
349.8	0.41729
350	0.31883
350.2	0.24068
350.4	0.22756
350.6	0.27567
350.8	0.37132
351	0.40869
351.2	0.32259
351.4	0.23102
351.6	0.20094
351.8	0.22722
352	0.31071
352.2	0.38967
352.4	0.33826
352.6	0.23644
352.8	0.1858
353	0.18841
353.2	0.24492
353.4	0.34329
353.6	0.34434
353.8	0.25104
354	0.17951
354.2	0.15818
354.4	0.18298
354.6	0.26086
354.8	0.32718
355	0.28009
355.2	0.19378
355.4	0.14723
355.6	0.14369
355.8	0.18797
356	0.26791
356.2	0.29404
356.4	0.22167
356.6	0.14946
356.8	0.12168
357	0.1314
357.2	0.17891
357.4	0.24613
357.6	0.24362
357.8	0.16705
358	0.11191
358.2	0.093
358.4	0.09924
358.6	0.13518
358.8	0.20178
359	0.21496
359.2	0.14616
359.4	0.08984
359.6	0.06401
359.8	0.05503
360	0.05573
360.2	0.06666
360.4	0.09127
360.6	0.13449
360.8	0.18911
361	0.23087
361.2	0.25106
361.4	0.27212
361.6	0.30996
361.8	0.35889
362	0.39178
362.2	0.38912
362.4	0.3678
362.6	0.35648
362.8	0.36455
363	0.38435
363.2	0.39937
363.4	0.39577
363.6	0.3791
363.8	0.36653
364	0.36553
364.2	0.37615
364.4	0.38859
364.6	0.39038
364.8	0.38053
365	0.36783
365.2	0.36108
365.4	0.3644
365.6	0.3734
365.8	0.37812
366	0.37411
366.2	0.36314
366.4	0.35324
366.6	0.35094
366.8	0.35465
367	0.36135
367.2	0.36398
367.4	0.35776
367.6	0.34924
367.8	0.34141
368	0.34017
368.2	0.34463
368.4	0.34927
368.6	0.35049
368.8	0.34591
369	0.33706
369.2	0.3317
369.4	0.33022
369.6	0.33421
369.8	0.338
370	0.33948
370.2	0.33438
370.4	0.32807
370.6	0.32296
370.8	0.32213
371	0.32549
371.2	0.32831
371.4	0.32973
371.6	0.32502
371.8	0.3188
372	0.31368
372.2	0.31341
372.4	0.31626
372.6	0.32081
372.8	0.32124
373	0.31717
373.2	0.31155
373.4	0.30671
373.6	0.30554
373.8	0.30802
374	0.31251
374.2	0.31458
374.4	0.31117
374.6	0.30603
374.8	0.30149
375	0.2998
375.2	0.30185
375.4	0.3071
375.6	0.3087
375.8	0.30728
376	0.30152
376.2	0.29622
376.4	0.29414
376.6	0.29651
376.8	0.30109
377	0.30425
377.2	0.30424
377.4	0.29935
377.6	0.29423
377.8	0.2912
378	0.29141
378.2	0.29661
378.4	0.30111
378.6	0.30233
378.8	0.29881
379	0.29343
379.2	0.28906
379.4	0.28833
379.6	0.29229
379.8	0.29738
380	0.30089
380.2	0.29937
380.4	0.29379
380.6	0.28931
380.8	0.28679
381	0.28972
381.2	0.29541
381.4	0.29969
381.6	0.30035
381.8	0.29553
382	0.28969
382.2	0.28632
382.4	0.28686
382.6	0.29221
382.8	0.29799
383	0.30106
383.2	0.29901
383.4	0.2936
383.6	0.28836
383.8	0.28665
384	0.29054
384.2	0.29688
384.4	0.30189
384.6	0.30281
384.8	0.29874
385	0.29286
385.2	0.2887
385.4	0.28951
385.6	0.29488
385.8	0.30208
386	0.30511
386.2	0.30339
386.4	0.29746
386.6	0.29221
386.8	0.29047
387	0.29294
387.2	0.30028
387.4	0.30698
387.6	0.30872
387.8	0.30488
388	0.29762
388.2	0.29284
388.4	0.29171
388.6	0.2972
388.8	0.3051
389	0.31212
389.2	0.31321
389.4	0.30792
389.6	0.30071
389.8	0.29582
390	0.29656
390.2	0.30342
390.4	0.31184
390.6	0.31833
390.8	0.31844
391	0.31212
391.2	0.30473
391.4	0.30037
391.6	0.30193
391.8	0.30983
392	0.3187
392.2	0.32463
392.4	0.32411
392.6	0.31696
392.8	0.30872
393	0.30487
393.2	0.30753
393.4	0.3156
393.6	0.32604
393.8	0.33217
394	0.3304
394.2	0.32314
394.4	0.31468
394.6	0.31071
394.8	0.31315
395	0.3223
395.2	0.33367
395.4	0.3405
395.6	0.33939
395.8	0.33148
396	0.3219
396.2	0.31718
396.4	0.31964
396.6	0.32923
396.8	0.34135
397	0.3499
397.2	0.34987
397.4	0.3417
397.6	0.33204
397.8	0.32591
398	0.33058
398.2	0.34502
398.4	0.35784
398.6	0.36452
398.8	0.36246
399	0.35227
399.2	0.34138
399.4	0.33686
399.6	0.34075
399.8	0.35117
400	0.36619
400.2	0.37552
400.4	0.37654
400.6	0.36678
400.8	0.35526
401	0.34763
401.2	0.34898
401.4	0.35964
401.6	0.37457
401.8	0.38781
402	0.39171
402.2	0.38457
402.4	0.3712
402.6	0.36125
402.8	0.35889
403	0.36707
403.2	0.38213
403.4	0.39936
403.6	0.40792
403.8	0.40489
404	0.39147
404.2	0.37799
404.4	0.37101
404.6	0.37473
404.8	0.38896
405	0.40743
405.2	0.42308
405.4	0.42619
405.6	0.41563
405.8	0.40014
406	0.38772
406.2	0.38597
406.4	0.39523
406.6	0.41445
406.8	0.4351
407	0.44662
407.2	0.44271
407.4	0.42792
407.6	0.41085
407.8	0.40185
408	0.4048
408.2	0.4207
408.4	0.44427
408.6	0.46405
408.8	0.46978
409	0.46009
409.2	0.43908
409.4	0.42189
409.6	0.41589
409.8	0.42448
410	0.4459
410.2	0.47287
410.4	0.49201
410.6	0.49345
410.8	0.47687
411	0.45332
411.2	0.43635
411.4	0.43238
411.6	0.44672
411.8	0.47299
412	0.50328
412.2	0.52213
412.4	0.51895
412.6	0.49717
412.8	0.47015
413	0.45269
413.2	0.45178
413.4	0.46961
413.6	0.50131
413.8	0.53531
414	0.55341
414.2	0.54594
414.4	0.51708
414.6	0.48555
414.8	0.46553
415	0.46547
415.2	0.48589
415.4	0.52379
415.6	0.56463
415.8	0.58777
416	0.57867
416.2	0.54334
416.4	0.50418
416.6	0.47619
416.8	0.47004
417	0.48711
417.2	0.52533
417.4	0.57272
417.6	0.61194
417.8	0.62201
418	0.60033
418.2	0.56418
418.4	0.53478
418.6	0.525
418.8	0.53746
419	0.57042
419.2	0.61353
419.4	0.6495
419.6	0.65699
419.8	0.6342
420	0.59825
420.2	0.56739
420.4	0.55531
420.6	0.56579
420.8	0.59878
421	0.64372
421.2	0.68145
421.4	0.6914
421.6	0.67017
421.8	0.63184
422	0.59764
422.2	0.5803
422.4	0.58899
422.6	0.61884
422.8	0.66525
423	0.70834
423.2	0.72611
423.4	0.70989
423.6	0.67172
423.8	0.63225
424	0.61061
424.2	0.6121
424.4	0.63891
424.6	0.68367
424.8	0.7305
425	0.75614
425.2	0.74603
425.4	0.7093
425.6	0.66594
425.8	0.63608
426	0.63029
426.2	0.65157
426.4	0.69394
426.6	0.74554
426.8	0.78289
427	0.78664
427.2	0.75407
427.4	0.70681
427.6	0.66915
427.8	0.6522
428	0.66221
428.2	0.69756
428.4	0.75072
428.6	0.79902
428.8	0.81666
429	0.79524
429.2	0.74977
429.4	0.70241
429.6	0.67383
429.8	0.67182
430	0.69791
430.2	0.74681
430.4	0.80201
430.6	0.8377
430.8	0.83402
431	0.79361
431.2	0.74114
431.4	0.69962
431.6	0.68176
431.8	0.69266
432	0.73213
432.2	0.78894
432.4	0.84034
432.6	0.86063
432.8	0.83902
433	0.78813
433.2	0.73639
433.4	0.70162
433.6	0.69632
433.8	0.71974
434	0.76721
434.2	0.82488
434.4	0.86746
434.6	0.86855
434.8	0.82896
435	0.77243
435.2	0.72306
435.4	0.69751
435.6	0.70173
435.8	0.73569
436	0.79615
436.2	0.85823
436.4	0.89201
436.6	0.87769
436.8	0.82377
437	0.76014
437.2	0.71174
437.4	0.69384
437.6	0.70772
437.8	0.75207
438	0.81424
438.2	0.87294
438.4	0.8964
438.6	0.8693
438.8	0.80985
439	0.7466
439.2	0.70462
439.4	0.69245
439.6	0.71351
439.8	0.76344
440	0.82852
440.2	0.8814
440.4	0.89426
440.6	0.85651
440.8	0.79148
441	0.72863
441.2	0.6898
441.4	0.68229
441.6	0.70702
441.8	0.7603
442	0.82669
442.2	0.87984
442.4	0.88812
442.6	0.84623
442.8	0.77935
