Typical Measured Spectrum of Semrock FF01-578/21 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	1.6096e-06
265.2	1.5957e-06
265.4	1.582e-06
265.6	1.5684e-06
265.8	1.5549e-06
266.0	1.5416e-06
266.2	1.5283e-06
266.4	1.5152e-06
266.6	1.5021e-06
266.8	1.4892e-06
267.0	1.4764e-06
267.2	1.4637e-06
267.4	1.4511e-06
267.6	1.4387e-06
267.8	1.4263e-06
268.0	1.414e-06
268.2	1.4019e-06
268.4	1.3898e-06
268.6	1.3779e-06
268.8	1.366e-06
269.0	1.3543e-06
269.2	1.3427e-06
269.4	1.3311e-06
269.6	1.3175e-06
269.8	1.304e-06
270.0	1.2907e-06
270.2	1.2774e-06
270.4	1.2643e-06
270.6	1.2514e-06
270.8	1.2385e-06
271.0	1.2258e-06
271.2	1.2133e-06
271.4	1.2008e-06
271.6	1.1885e-06
271.8	1.1763e-06
272.0	1.1643e-06
272.2	1.1523e-06
272.4	1.1405e-06
272.6	1.1288e-06
272.8	1.1172e-06
273.0	1.1058e-06
273.2	1.0945e-06
273.4	1.0832e-06
273.6	1.0721e-06
273.8	1.0611e-06
274.0	1.0502e-06
274.2	1.0411e-06
274.4	1.033e-06
274.6	1.0251e-06
274.8	1.0172e-06
275.0	1.0094e-06
275.2	9.9969e-07
275.4	9.901e-07
275.6	9.8059e-07
275.8	9.7117e-07
276.0	9.6185e-07
276.2	9.5261e-07
276.4	9.4347e-07
276.6	9.3441e-07
276.8	9.2543e-07
277.0	9.1655e-07
277.2	9.0775e-07
277.4	8.9903e-07
277.6	8.904e-07
277.8	8.8185e-07
278.0	9.2025e-07
278.2	1.0006e-06
278.4	1.0879e-06
278.6	1.1829e-06
278.8	1.2861e-06
279.0	1.3984e-06
279.2	1.5205e-06
279.4	1.6532e-06
279.6	1.7975e-06
279.8	1.9544e-06
280.0	2.125e-06
280.2	2.3105e-06
280.4	2.5122e-06
280.6	2.7315e-06
280.8	2.97e-06
281.0	3.2292e-06
281.2	3.5111e-06
281.4	3.8176e-06
281.6	4.1508e-06
281.8	4.5131e-06
282.0	4.9071e-06
282.2	5.3355e-06
282.4	5.8012e-06
282.6	6.0647e-06
282.8	5.3915e-06
283.0	4.7929e-06
283.2	4.2609e-06
283.4	3.7878e-06
283.6	3.3673e-06
283.8	2.9935e-06
284.0	2.6612e-06
284.2	2.3658e-06
284.4	2.1031e-06
284.6	1.8697e-06
284.8	1.6621e-06
285.0	1.4776e-06
285.2	1.5265e-06
285.4	1.5771e-06
285.6	1.6293e-06
285.8	1.6832e-06
286.0	1.7389e-06
286.2	1.7965e-06
286.4	1.856e-06
286.6	1.9174e-06
286.8	1.9809e-06
287.0	2.0465e-06
287.2	2.1143e-06
287.4	2.1843e-06
287.6	2.2566e-06
287.8	2.3313e-06
288.0	2.208e-06
288.2	2.0036e-06
288.4	1.8181e-06
288.6	1.6498e-06
288.8	1.4971e-06
289.0	1.3585e-06
289.2	1.2327e-06
289.4	1.1186e-06
289.6	1.015e-06
289.8	9.2106e-07
290.0	8.3579e-07
290.2	7.5841e-07
290.4	6.882e-07
290.6	6.2449e-07
290.8	5.6668e-07
291.0	5.1421e-07
291.2	4.6661e-07
291.4	4.2341e-07
291.6	3.8421e-07
291.8	3.4864e-07
292.0	3.1637e-07
292.2	2.8708e-07
292.4	2.605e-07
292.6	2.6486e-07
292.8	3.429e-07
293.0	4.4394e-07
293.2	5.7476e-07
293.4	7.4412e-07
293.6	9.6339e-07
293.8	1.2473e-06
294.0	1.6148e-06
294.2	2.0906e-06
294.4	2.7067e-06
294.6	3.5042e-06
294.8	4.5368e-06
295.0	5.8737e-06
295.2	6.0667e-06
295.4	6.2662e-06
295.6	6.4722e-06
295.8	6.2762e-06
296.0	5.8602e-06
296.2	5.4717e-06
296.4	5.109e-06
296.6	4.7704e-06
296.8	4.4541e-06
297.0	4.1589e-06
297.2	3.8832e-06
297.4	3.6258e-06
297.6	3.3854e-06
297.8	3.161e-06
298.0	2.9515e-06
298.2	2.7558e-06
298.4	2.5732e-06
298.6	2.4026e-06
298.8	2.2433e-06
299.0	2.0946e-06
299.2	1.9558e-06
299.4	1.8261e-06
299.6	1.7051e-06
299.8	1.592e-06
300.0	1.4865e-06
300.2	1.388e-06
300.4	1.2978e-06
300.6	1.2178e-06
300.8	1.1428e-06
301.0	1.0724e-06
301.2	1.0063e-06
301.4	9.443e-07
301.6	8.8613e-07
301.8	8.3154e-07
302.0	7.8031e-07
302.2	7.3223e-07
302.4	6.8712e-07
302.6	6.4479e-07
302.8	6.0506e-07
303.0	5.6779e-07
303.2	5.3281e-07
303.4	4.9998e-07
303.6	4.6918e-07
303.8	4.4027e-07
304.0	4.1315e-07
304.2	3.877e-07
304.4	3.6381e-07
304.6	3.414e-07
304.8	3.2036e-07
305.0	3.0063e-07
305.2	3.1692e-07
305.4	3.3409e-07
305.6	3.5219e-07
305.8	3.7128e-07
306.0	3.914e-07
306.2	4.1261e-07
306.4	4.3497e-07
306.6	4.5854e-07
306.8	4.8338e-07
307.0	4.9997e-07
307.2	4.7555e-07
307.4	4.5232e-07
307.6	4.3022e-07
307.8	4.092e-07
308.0	3.8921e-07
308.2	3.702e-07
308.4	3.5211e-07
308.6	3.3491e-07
308.8	3.1855e-07
309.0	3.0299e-07
309.2	2.8819e-07
309.4	2.7411e-07
309.6	2.6072e-07
309.8	2.4798e-07
310.0	2.3586e-07
310.2	2.2434e-07
310.4	2.1338e-07
310.6	2.0296e-07
310.8	1.9304e-07
311.0	1.8361e-07
311.2	1.7464e-07
311.4	1.6611e-07
311.6	1.58e-07
311.8	1.5583e-07
312.0	1.5485e-07
312.2	1.5387e-07
312.4	1.529e-07
312.6	1.5193e-07
312.8	1.5097e-07
313.0	1.5001e-07
313.2	1.4906e-07
313.4	1.4812e-07
313.6	1.4719e-07
313.8	1.4625e-07
314.0	1.4533e-07
314.2	1.4441e-07
314.4	1.435e-07
314.6	1.4259e-07
314.8	1.4169e-07
315.0	1.4079e-07
315.2	1.399e-07
315.4	1.3902e-07
315.6	1.3814e-07
315.8	1.3726e-07
316.0	1.364e-07
316.2	1.3553e-07
316.4	1.3484e-07
316.6	1.3432e-07
316.8	1.338e-07
317.0	1.3328e-07
317.2	1.3277e-07
317.4	1.3225e-07
317.6	1.3174e-07
317.8	1.3123e-07
318.0	1.3072e-07
318.2	1.3022e-07
318.4	1.2972e-07
318.6	1.2921e-07
318.8	1.2871e-07
319.0	1.2822e-07
319.2	1.2772e-07
319.4	1.2723e-07
319.6	1.2673e-07
319.8	1.2624e-07
320.0	1.2576e-07
320.2	1.2527e-07
320.4	1.2479e-07
320.6	1.243e-07
320.8	1.2382e-07
321.0	1.2447e-07
321.2	1.3121e-07
321.4	1.3831e-07
321.6	1.458e-07
321.8	1.5369e-07
322.0	1.6202e-07
322.2	1.7079e-07
322.4	1.8004e-07
322.6	1.8978e-07
322.8	2.0006e-07
323.0	2.1089e-07
323.2	2.2231e-07
323.4	2.3435e-07
323.6	2.4704e-07
323.8	2.6042e-07
324.0	2.7452e-07
324.2	2.8938e-07
324.4	3.0505e-07
324.6	3.2157e-07
324.8	3.3898e-07
325.0	3.5733e-07
325.2	3.7668e-07
325.4	3.9708e-07
325.6	4.1858e-07
325.8	4.3018e-07
326.0	4.4005e-07
326.2	4.5014e-07
326.4	4.6046e-07
326.6	4.7103e-07
326.8	4.8183e-07
327.0	4.9288e-07
327.2	5.0419e-07
327.4	5.1575e-07
327.6	5.2758e-07
327.8	5.3968e-07
328.0	5.5206e-07
328.2	5.6472e-07
328.4	5.7768e-07
328.6	5.9093e-07
328.8	6.0448e-07
329.0	6.1834e-07
329.2	6.3253e-07
329.4	6.4704e-07
329.6	6.6188e-07
329.8	6.7706e-07
330.0	6.9259e-07
330.2	7.0847e-07
330.4	6.8935e-07
330.6	6.4276e-07
330.8	5.9931e-07
331.0	5.5881e-07
331.2	5.2104e-07
331.4	4.8582e-07
331.6	4.5298e-07
331.8	4.2237e-07
332.0	3.9382e-07
332.2	3.672e-07
332.4	3.4238e-07
332.6	3.1924e-07
332.8	2.9766e-07
333.0	2.7754e-07
333.2	2.5878e-07
333.4	2.4129e-07
333.6	2.2498e-07
333.8	2.0978e-07
334.0	1.956e-07
334.2	1.8238e-07
334.4	1.7005e-07
334.6	1.5856e-07
334.8	1.4784e-07
335.0	1.4032e-07
335.2	1.5081e-07
335.4	1.6208e-07
335.6	1.742e-07
335.8	1.8722e-07
336.0	2.0122e-07
336.2	2.1626e-07
336.4	2.3243e-07
336.6	2.498e-07
336.8	2.6848e-07
337.0	2.8705e-07
337.2	3.0201e-07
337.4	3.1775e-07
337.6	3.3432e-07
337.8	3.5174e-07
338.0	3.7008e-07
338.2	3.8937e-07
338.4	4.0967e-07
338.6	4.3102e-07
338.8	4.5349e-07
339.0	4.7713e-07
339.2	5.02e-07
339.4	5.2817e-07
339.6	5.557e-07
339.8	5.8467e-07
340.0	6.1514e-07
340.2	6.4721e-07
340.4	6.8095e-07
340.6	7.1644e-07
340.8	7.5379e-07
341.0	7.9308e-07
341.2	8.3442e-07
341.4	8.7792e-07
341.6	9.2369e-07
341.8	8.4753e-07
342.0	7.7029e-07
342.2	7.0009e-07
342.4	6.3629e-07
342.6	5.783e-07
342.8	5.256e-07
343.0	4.777e-07
343.2	4.3416e-07
343.4	3.946e-07
343.6	3.5863e-07
343.8	3.2595e-07
344.0	2.9625e-07
344.2	2.6925e-07
344.4	2.4471e-07
344.6	2.2241e-07
344.8	2.0214e-07
345.0	1.8372e-07
345.2	1.6697e-07
345.4	1.5176e-07
345.6	1.3793e-07
345.8	1.2536e-07
346.0	1.1393e-07
346.2	1.0355e-07
346.4	1.0e-07
346.6	1.0e-07
346.8	1.0e-07
347.0	1.0e-07
347.2	1.0e-07
347.4	1.0e-07
347.6	1.0e-07
347.8	1.0e-07
348.0	1.0e-07
348.2	1.0e-07
348.4	1.0e-07
348.6	1.0e-07
348.8	1.0e-07
349.0	1.0e-07
349.2	1.0e-07
349.4	1.0e-07
349.6	1.0e-07
349.8	1.0e-07
350.0	1.0e-07
350.2	1.0e-07
350.4	1.0e-07
350.6	1.0e-07
350.8	1.0e-07
351.0	1.0182e-07
351.2	1.0722e-07
351.4	1.1291e-07
351.6	1.1889e-07
351.8	1.2519e-07
352.0	1.3183e-07
352.2	1.3882e-07
352.4	1.4617e-07
352.6	1.5392e-07
352.8	1.6208e-07
353.0	1.7067e-07
353.2	1.7972e-07
353.4	1.8925e-07
353.6	1.9928e-07
353.8	2.0984e-07
354.0	2.2097e-07
354.2	2.3268e-07
354.4	2.4501e-07
354.6	2.58e-07
354.8	2.7168e-07
355.0	2.8608e-07
355.2	3.0124e-07
355.4	3.1721e-07
355.6	3.3211e-07
355.8	3.2389e-07
356.0	3.1588e-07
356.2	3.0807e-07
356.4	3.0045e-07
356.6	2.9302e-07
356.8	2.8577e-07
357.0	2.787e-07
357.2	2.7181e-07
357.4	2.6508e-07
357.6	2.5852e-07
357.8	2.5213e-07
358.0	2.4589e-07
358.2	2.3981e-07
358.4	2.3388e-07
358.6	2.2809e-07
358.8	2.2245e-07
359.0	2.1695e-07
359.2	2.1158e-07
359.4	2.0635e-07
359.6	2.0124e-07
359.8	1.9627e-07
360.0	1.9141e-07
360.2	1.8668e-07
360.4	1.8337e-07
360.6	1.8041e-07
360.8	1.7749e-07
361.0	1.7463e-07
361.2	1.7181e-07
361.4	1.6903e-07
361.6	1.6631e-07
361.8	1.6362e-07
362.0	1.6098e-07
362.2	1.5838e-07
362.4	1.5582e-07
362.6	1.5331e-07
362.8	1.5083e-07
363.0	1.484e-07
363.2	1.46e-07
363.4	1.4365e-07
363.6	1.4133e-07
363.8	1.3905e-07
364.0	1.368e-07
364.2	1.3459e-07
364.4	1.3242e-07
364.6	1.3028e-07
364.8	1.2818e-07
365.0	1.292e-07
365.2	1.386e-07
365.4	1.4867e-07
365.6	1.5949e-07
365.8	1.7109e-07
366.0	1.8353e-07
366.2	1.9687e-07
366.4	2.1119e-07
366.6	2.2655e-07
366.8	2.4302e-07
367.0	2.4832e-07
367.2	2.3623e-07
367.4	2.2473e-07
367.6	2.1379e-07
367.8	2.0338e-07
368.0	1.9348e-07
368.2	1.8406e-07
368.4	1.751e-07
368.6	1.6658e-07
368.8	1.5847e-07
369.0	1.5075e-07
369.2	1.4342e-07
369.4	1.3643e-07
369.6	1.2979e-07
369.8	1.2347e-07
370.0	1.1746e-07
370.2	1.1174e-07
370.4	1.063e-07
370.6	1.0113e-07
370.8	1.0353e-07
371.0	1.0827e-07
371.2	1.1323e-07
371.4	1.1841e-07
371.6	1.2384e-07
371.8	1.2951e-07
372.0	1.3544e-07
372.2	1.4164e-07
372.4	1.4812e-07
372.6	1.5491e-07
372.8	1.62e-07
373.0	1.6942e-07
373.2	1.7718e-07
373.4	1.8529e-07
373.6	1.9377e-07
373.8	2.0265e-07
374.0	2.1193e-07
374.2	2.2163e-07
374.4	2.3215e-07
374.6	2.455e-07
374.8	2.5962e-07
375.0	2.7454e-07
375.2	2.9032e-07
375.4	3.0702e-07
375.6	3.2467e-07
375.8	3.4333e-07
376.0	3.6307e-07
376.2	3.8394e-07
376.4	4.0602e-07
376.6	4.2936e-07
376.8	4.5404e-07
377.0	4.8014e-07
377.2	5.0775e-07
377.4	5.3694e-07
377.6	5.6781e-07
377.8	6.0045e-07
378.0	6.3497e-07
378.2	6.4287e-07
378.4	6.2623e-07
378.6	6.1001e-07
378.8	5.9422e-07
379.0	5.7883e-07
379.2	5.6384e-07
379.4	5.4924e-07
379.6	5.3502e-07
379.8	5.2117e-07
380.0	5.0767e-07
380.2	4.9453e-07
380.4	4.8172e-07
380.6	4.6925e-07
380.8	4.571e-07
381.0	4.4526e-07
381.2	4.3373e-07
381.4	4.225e-07
381.6	4.1156e-07
381.8	4.009e-07
382.0	4.0052e-07
382.2	4.0101e-07
382.4	4.015e-07
382.6	4.02e-07
382.8	4.0249e-07
383.0	4.0298e-07
383.2	4.0348e-07
383.4	4.0398e-07
383.6	4.0447e-07
383.8	4.0497e-07
384.0	4.0547e-07
384.2	4.0597e-07
384.4	4.0646e-07
384.6	4.0696e-07
384.8	4.0746e-07
385.0	4.0796e-07
385.2	4.0847e-07
385.4	4.0897e-07
385.6	3.9966e-07
385.8	3.7049e-07
386.0	3.4344e-07
386.2	3.1838e-07
386.4	2.9514e-07
386.6	2.736e-07
386.8	2.5363e-07
387.0	2.3512e-07
387.2	2.1795e-07
387.4	2.0205e-07
387.6	1.873e-07
387.8	1.7363e-07
388.0	1.6096e-07
388.2	1.4921e-07
388.4	1.3832e-07
388.6	1.2822e-07
388.8	1.1886e-07
389.0	1.1019e-07
389.2	1.0214e-07
