 Typical Measured Spectrum of Semrock FF02-641/75 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
265.0	2.5716e-06
265.2	2.5423e-06
265.4	2.5134e-06
265.6	2.4847e-06
265.8	2.4565e-06
266.0	2.4285e-06
266.2	2.4008e-06
266.4	2.3735e-06
266.6	2.3465e-06
266.8	2.3198e-06
267.0	2.2934e-06
267.2	2.2684e-06
267.4	2.2442e-06
267.6	2.2203e-06
267.8	2.1966e-06
268.0	2.1732e-06
268.2	2.15e-06
268.4	2.1271e-06
268.6	2.1044e-06
268.8	2.0819e-06
269.0	2.0597e-06
269.2	2.0378e-06
269.4	2.016e-06
269.6	1.9945e-06
269.8	1.9733e-06
270.0	1.9522e-06
270.2	1.9314e-06
270.4	1.9108e-06
270.6	1.8904e-06
270.8	1.8703e-06
271.0	1.8525e-06
271.2	1.8349e-06
271.4	1.8175e-06
271.6	1.8003e-06
271.8	1.7832e-06
272.0	1.7663e-06
272.2	1.7496e-06
272.4	1.733e-06
272.6	1.7166e-06
272.8	1.7003e-06
273.0	1.6842e-06
273.2	1.6682e-06
273.4	1.6524e-06
273.6	1.6367e-06
273.8	1.6212e-06
274.0	1.6058e-06
274.2	1.5906e-06
274.4	1.5755e-06
274.6	1.6676e-06
274.8	2.0934e-06
275.0	2.6278e-06
275.2	2.1315e-06
275.4	1.7289e-06
275.6	1.4782e-06
275.8	1.4625e-06
276.0	1.447e-06
276.2	1.4317e-06
276.4	1.4165e-06
276.6	1.4015e-06
276.8	1.3867e-06
277.0	1.372e-06
277.2	1.3575e-06
277.4	1.3431e-06
277.6	1.3289e-06
277.8	1.3148e-06
278.0	1.3009e-06
278.2	1.2871e-06
278.4	1.2735e-06
278.6	1.26e-06
278.8	1.2467e-06
279.0	1.2335e-06
279.2	1.2204e-06
279.4	1.2048e-06
279.6	1.1874e-06
279.8	1.1702e-06
280.0	1.1532e-06
280.2	1.1365e-06
280.4	1.1201e-06
280.6	1.1038e-06
280.8	1.0878e-06
281.0	1.0721e-06
281.2	1.0566e-06
281.4	1.0413e-06
281.6	1.0262e-06
281.8	1.0113e-06
282.0	9.9668e-07
282.2	9.8225e-07
282.4	9.6803e-07
282.6	9.5401e-07
282.8	9.4019e-07
283.0	9.2658e-07
283.2	9.1164e-07
283.4	8.9673e-07
283.6	8.8207e-07
283.8	8.6764e-07
284.0	8.5345e-07
284.2	8.3949e-07
284.4	8.2577e-07
284.6	8.1226e-07
284.8	7.9898e-07
285.0	7.8591e-07
285.2	7.6929e-07
285.4	7.5303e-07
285.6	7.381e-07
285.8	7.2533e-07
286.0	7.1277e-07
286.2	7.0044e-07
286.4	6.8832e-07
286.6	6.764e-07
286.8	6.647e-07
287.0	6.5319e-07
287.2	6.4189e-07
287.4	6.3078e-07
287.6	6.1986e-07
287.8	6.0913e-07
288.0	5.9859e-07
288.2	5.8823e-07
288.4	5.7805e-07
288.6	5.6804e-07
288.8	5.5821e-07
289.0	5.4855e-07
289.2	5.3906e-07
289.4	5.2865e-07
289.6	5.1789e-07
289.8	5.0734e-07
290.0	4.9701e-07
290.2	4.8689e-07
290.4	4.7698e-07
290.6	4.6727e-07
290.8	4.5775e-07
291.0	4.4843e-07
291.2	4.393e-07
291.4	4.3036e-07
291.6	4.216e-07
291.8	4.1301e-07
292.0	4.046e-07
292.2	3.9637e-07
292.4	3.883e-07
292.6	3.8039e-07
292.8	3.7264e-07
293.0	3.6506e-07
293.2	3.9418e-07
293.4	4.2669e-07
293.6	4.6188e-07
293.8	4.9997e-07
294.0	5.412e-07
294.2	5.8584e-07
294.4	6.3415e-07
294.6	6.8645e-07
294.8	7.4306e-07
295.0	8.0434e-07
295.2	8.3681e-07
295.4	8.7059e-07
295.6	9.0574e-07
295.8	9.423e-07
296.0	9.8034e-07
296.2	1.0199e-06
296.4	1.0611e-06
296.6	1.1039e-06
296.8	1.1485e-06
297.0	1.1948e-06
297.2	1.2431e-06
297.4	1.2933e-06
297.6	1.3455e-06
297.8	1.3998e-06
298.0	1.4563e-06
298.2	1.3688e-06
298.4	1.2752e-06
298.6	1.188e-06
298.8	1.1068e-06
299.0	1.0312e-06
299.2	9.6068e-07
299.4	8.9502e-07
299.6	8.3384e-07
299.8	7.7684e-07
300.0	7.2374e-07
300.2	6.7427e-07
300.4	6.2818e-07
300.6	5.8524e-07
300.8	5.4524e-07
301.0	5.0797e-07
301.2	4.7324e-07
301.4	4.409e-07
301.6	4.1076e-07
301.8	3.8786e-07
302.0	3.8175e-07
302.2	3.7573e-07
302.4	3.6981e-07
302.6	3.6398e-07
302.8	3.5824e-07
303.0	3.526e-07
303.2	3.4704e-07
303.4	3.4157e-07
303.6	3.3618e-07
303.8	3.3088e-07
304.0	3.2567e-07
304.2	3.2053e-07
304.4	3.1548e-07
304.6	3.1051e-07
304.8	3.0561e-07
305.0	3.008e-07
305.2	2.9654e-07
305.4	2.9235e-07
305.6	2.887e-07
305.8	2.8722e-07
306.0	2.8576e-07
306.2	2.843e-07
306.4	2.8285e-07
306.6	2.814e-07
306.8	2.7997e-07
307.0	2.7854e-07
307.2	2.7711e-07
307.4	2.757e-07
307.6	2.7429e-07
307.8	2.7289e-07
308.0	2.715e-07
308.2	2.7011e-07
308.4	2.6874e-07
308.6	2.6736e-07
308.8	2.66e-07
309.0	2.6464e-07
309.2	2.6329e-07
309.4	2.6183e-07
309.6	2.6026e-07
309.8	2.587e-07
310.0	2.5714e-07
310.2	2.556e-07
310.4	2.5407e-07
310.6	2.5254e-07
310.8	2.5103e-07
311.0	2.4952e-07
311.2	2.4802e-07
311.4	2.4653e-07
311.6	2.4505e-07
311.8	2.4358e-07
312.0	2.4212e-07
312.2	2.4067e-07
312.4	2.3922e-07
312.6	2.3779e-07
312.8	2.3636e-07
313.0	2.3494e-07
313.2	2.3347e-07
313.4	2.3199e-07
313.6	2.3053e-07
313.8	2.2907e-07
314.0	2.2762e-07
314.2	2.2618e-07
314.4	2.2476e-07
314.6	2.2333e-07
314.8	2.2192e-07
315.0	2.2052e-07
315.2	2.1913e-07
315.4	2.1774e-07
315.6	2.1637e-07
315.8	2.15e-07
316.0	2.1364e-07
316.2	2.1229e-07
316.4	2.1095e-07
316.6	2.0961e-07
316.8	2.0832e-07
317.0	2.0723e-07
317.2	2.0614e-07
317.4	2.0505e-07
317.6	2.0397e-07
317.8	2.029e-07
318.0	2.0184e-07
318.2	2.0078e-07
318.4	1.9972e-07
318.6	1.9867e-07
318.8	1.9763e-07
319.0	1.9659e-07
319.2	1.9555e-07
319.4	1.9453e-07
319.6	1.935e-07
319.8	1.9249e-07
320.0	1.9147e-07
320.2	1.9047e-07
320.4	1.8947e-07
320.6	1.8852e-07
320.8	1.8763e-07
321.0	1.8675e-07
321.2	1.8588e-07
321.4	1.85e-07
321.6	1.8413e-07
321.8	1.8327e-07
322.0	1.8241e-07
322.2	1.8155e-07
322.4	1.807e-07
322.6	1.7985e-07
322.8	1.79e-07
323.0	1.7816e-07
323.2	1.7732e-07
323.4	1.7649e-07
323.6	1.7566e-07
323.8	1.7484e-07
324.0	1.7401e-07
324.2	1.732e-07
324.4	1.7115e-07
324.6	1.6887e-07
324.8	1.6662e-07
325.0	1.6439e-07
325.2	1.622e-07
325.4	1.6003e-07
325.6	1.579e-07
325.8	1.5579e-07
326.0	1.5371e-07
326.2	1.5166e-07
326.4	1.4964e-07
326.6	1.4764e-07
326.8	1.4567e-07
327.0	1.4372e-07
327.2	1.4181e-07
327.4	1.3991e-07
327.6	1.3805e-07
327.8	1.362e-07
328.0	1.369e-07
328.2	1.5016e-07
328.4	1.647e-07
328.6	1.8065e-07
328.8	1.9815e-07
329.0	2.1734e-07
329.2	2.3839e-07
329.4	2.6147e-07
329.6	2.8679e-07
329.8	3.1457e-07
330.0	3.4504e-07
330.2	3.7845e-07
330.4	4.151e-07
330.6	4.553e-07
330.8	4.994e-07
331.0	5.4776e-07
331.2	6.0081e-07
331.4	6.59e-07
331.6	7.2282e-07
331.8	7.1204e-07
332.0	6.3888e-07
332.2	5.7323e-07
332.4	5.1433e-07
332.6	4.6148e-07
332.8	4.1406e-07
333.0	3.7151e-07
333.2	3.3334e-07
333.4	2.9908e-07
333.6	2.6835e-07
333.8	2.4078e-07
334.0	2.1603e-07
334.2	1.9384e-07
334.4	1.7392e-07
334.6	1.5605e-07
334.8	1.4001e-07
335.0	1.2563e-07
335.2	1.1568e-07
335.4	1.0652e-07
335.6	1.0051e-07
335.8	1.0269e-07
336.0	1.0491e-07
336.2	1.0719e-07
336.4	1.0951e-07
336.6	1.1189e-07
336.8	1.1431e-07
337.0	1.1679e-07
337.2	1.1933e-07
337.4	1.2191e-07
337.6	1.2456e-07
337.8	1.2726e-07
338.0	1.3002e-07
338.2	1.3284e-07
338.4	1.3572e-07
338.6	1.3866e-07
338.8	1.4167e-07
339.0	1.4474e-07
339.2	1.4788e-07
339.4	1.4738e-07
339.6	1.4425e-07
339.8	1.4118e-07
340.0	1.3818e-07
340.2	1.3525e-07
340.4	1.3238e-07
340.6	1.2956e-07
340.8	1.2681e-07
341.0	1.2412e-07
341.2	1.2148e-07
341.4	1.189e-07
341.6	1.1638e-07
341.8	1.1391e-07
342.0	1.1149e-07
342.2	1.0912e-07
342.4	1.068e-07
342.6	1.0453e-07
342.8	1.0231e-07
343.0	1.0014e-07
343.2	1.0568e-07
343.4	1.1212e-07
343.6	1.1895e-07
343.8	1.2619e-07
344.0	1.3388e-07
344.2	1.4203e-07
344.4	1.5069e-07
344.6	1.5986e-07
344.8	1.696e-07
345.0	1.7993e-07
345.2	1.9089e-07
345.4	2.0252e-07
345.6	2.1485e-07
345.8	2.2794e-07
346.0	2.4182e-07
346.2	2.5655e-07
346.4	2.7217e-07
346.6	2.8875e-07
346.8	2.9566e-07
347.0	2.7868e-07
347.2	2.6268e-07
347.4	2.4759e-07
347.6	2.3337e-07
347.8	2.1997e-07
348.0	2.0734e-07
348.2	1.9543e-07
348.4	1.8421e-07
348.6	1.7363e-07
348.8	1.6366e-07
349.0	1.5426e-07
349.2	1.4541e-07
349.4	1.3706e-07
349.6	1.2919e-07
349.8	1.2177e-07
350.0	1.1477e-07
350.2	1.0818e-07
350.4	1.0197e-07
350.6	1.0e-07
350.8	1.0e-07
351.0	1.0e-07
351.2	1.0e-07
351.4	1.0e-07
351.6	1.0e-07
351.8	1.0e-07
352.0	1.0e-07
352.2	1.0e-07
352.4	1.0e-07
352.6	1.0e-07
352.8	1.0e-07
353.0	1.0e-07
353.2	1.0e-07
353.4	1.0e-07
353.6	1.0e-07
353.8	1.0e-07
354.0	1.0e-07
354.2	1.0e-07
354.4	1.0e-07
354.6	1.0e-07
354.8	1.0e-07
355.0	1.0e-07
355.2	1.0e-07
355.4	1.0e-07
355.6	1.0e-07
355.8	1.0e-07
356.0	1.0e-07
356.2	1.0e-07
356.4	1.0e-07
356.6	1.0e-07
356.8	1.0e-07
357.0	1.0e-07
357.2	1.0e-07
357.4	1.0e-07
357.6	1.0e-07
357.8	1.0e-07
358.0	1.0e-07
358.2	1.0e-07
358.4	1.0e-07
358.6	1.0e-07
358.8	1.0e-07
359.0	1.0e-07
359.2	1.0e-07
359.4	1.0e-07
359.6	1.0e-07
359.8	1.0e-07
360.0	1.0e-07
360.2	1.0e-07
360.4	1.0e-07
360.6	1.0e-07
360.8	1.0e-07
361.0	1.0e-07
361.2	1.0e-07
361.4	1.0e-07
361.6	1.0e-07
361.8	1.0751e-07
362.0	1.173e-07
362.2	1.2799e-07
362.4	1.3965e-07
362.6	1.5237e-07
362.8	1.6626e-07
363.0	1.814e-07
363.2	1.9793e-07
363.4	2.1596e-07
363.6	2.3564e-07
363.8	2.5711e-07
364.0	2.8054e-07
364.2	3.061e-07
364.4	3.3398e-07
364.6	3.6441e-07
364.8	3.9762e-07
365.0	4.3384e-07
365.2	3.7225e-07
365.4	3.1941e-07
365.6	2.7407e-07
365.8	2.3516e-07
366.0	2.0178e-07
366.2	1.7313e-07
366.4	1.4855e-07
366.6	1.2746e-07
366.8	1.0937e-07
367.0	1.0229e-07
367.2	1.0802e-07
367.4	1.1408e-07
367.6	1.2047e-07
367.8	1.2723e-07
368.0	1.3436e-07
368.2	1.4189e-07
368.4	1.4984e-07
368.6	1.5824e-07
368.8	1.6711e-07
369.0	1.7648e-07
369.2	1.8637e-07
369.4	1.9682e-07
369.6	2.0785e-07
369.8	2.195e-07
370.0	2.3181e-07
370.2	2.448e-07
370.4	2.5852e-07
370.6	2.7301e-07
370.8	2.6479e-07
371.0	2.5073e-07
371.2	2.3742e-07
371.4	2.2481e-07
371.6	2.1287e-07
371.8	2.0156e-07
372.0	1.9086e-07
372.2	1.8072e-07
372.4	1.7113e-07
372.6	1.6204e-07
372.8	1.5343e-07
373.0	1.4528e-07
373.2	1.3757e-07
373.4	1.3026e-07
373.6	1.2335e-07
373.8	1.1679e-07
374.0	1.1059e-07
374.2	1.0472e-07
374.4	1.0166e-07
374.6	1.1307e-07
374.8	1.2577e-07
375.0	1.3988e-07
375.2	1.5558e-07
375.4	1.7305e-07
375.6	1.9247e-07
375.8	2.1408e-07
376.0	2.3811e-07
376.2	2.6483e-07
376.4	2.9456e-07
376.6	3.2762e-07
376.8	3.644e-07
377.0	4.053e-07
377.2	4.5079e-07
377.4	5.0139e-07
377.6	5.5767e-07
377.8	6.2027e-07
378.0	6.8989e-07
378.2	6.8405e-07
378.4	6.1501e-07
378.6	5.5295e-07
378.8	4.9714e-07
379.0	4.4697e-07
379.2	4.0187e-07
379.4	3.6131e-07
379.6	3.2485e-07
379.8	2.9206e-07
380.0	2.6259e-07
380.2	2.3609e-07
380.4	2.1226e-07
380.6	1.9084e-07
380.8	1.7158e-07
381.0	1.5427e-07
381.2	1.387e-07
381.4	1.247e-07
381.6	1.1212e-07
381.8	1.008e-07
382.0	1.0e-07
382.2	1.0e-07
382.4	1.0e-07
382.6	1.0e-07
382.8	1.0e-07
383.0	1.0e-07
383.2	1.0e-07
383.4	1.0e-07
383.6	1.0e-07
383.8	1.0e-07
384.0	1.0e-07
384.2	1.0e-07
384.4	1.0e-07
384.6	1.0e-07
384.8	1.0e-07
385.0	1.0e-07
385.2	1.0e-07
385.4	1.0e-07
385.6	1.0228e-07
385.8	1.0962e-07
386.0	1.175e-07
386.2	1.2593e-07
386.4	1.3497e-07
386.6	1.4467e-07
386.8	1.5505e-07
387.0	1.6619e-07
387.2	1.7812e-07
387.4	1.9091e-07
387.6	2.0462e-07
387.8	2.1931e-07
388.0	2.3506e-07
388.2	2.5194e-07
388.4	2.7003e-07
388.6	2.8942e-07
388.8	3.102e-07
389.0	3.3248e-07
389.2	3.5635e-07
389.4	3.5249e-07
389.6	3.3848e-07
389.8	3.2503e-07
390.0	3.1211e-07
