Typical Measured Spectrum of Semrock FF596-Di01 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
345.0	0.00363
345.2	0.00387
345.4	0.00426
345.6	0.00467
345.8	0.00525
346.0	0.00501
346.2	0.00487
346.4	0.00456
346.6	0.00381
346.8	0.00315
347.0	0.00258
347.2	0.00256
347.4	0.00269
347.6	0.00278
347.8	0.00307
348.0	0.0032
348.2	0.00308
348.4	0.00303
348.6	0.00262
348.8	0.00214
349.0	0.00187
349.2	0.00158
349.4	0.00161
349.6	0.00158
349.8	0.00183
350.0	0.00194
350.2	0.00181
350.4	0.00171
350.6	0.00164
350.8	0.00151
351.0	0.00137
351.2	0.00129
351.4	0.00129
351.6	0.00121
351.8	0.00133
352.0	0.00131
352.2	0.00127
352.4	0.00147
352.6	0.00139
352.8	0.00134
353.0	0.00132
353.2	0.0013
353.4	0.00122
353.6	0.00117
353.8	0.00105
354.0	0.00107
354.2	0.00113
354.4	0.00116
354.6	0.00112
354.8	0.00105
355.0	0.00108
355.2	0.00109
355.4	8.9196e-04
355.6	9.5707e-04
355.8	8.6182e-04
356.0	8.7928e-04
356.2	8.9566e-04
356.4	9.004e-04
356.6	9.4945e-04
356.8	9.2987e-04
357.0	9.5907e-04
357.2	9.3178e-04
357.4	9.263e-04
357.6	8.732e-04
357.8	9.2e-04
358.0	9.1963e-04
358.2	8.9948e-04
358.4	9.1243e-04
358.6	8.7737e-04
358.8	0.00102
359.0	9.2534e-04
359.2	9.3086e-04
359.4	9.5256e-04
359.6	9.8369e-04
359.8	8.0522e-04
360.0	7.8576e-04
360.2	8.7133e-04
360.4	9.2378e-04
360.6	8.8253e-04
360.8	8.5158e-04
361.0	8.4965e-04
361.2	8.0116e-04
361.4	8.8345e-04
361.6	8.6022e-04
361.8	9.5624e-04
362.0	8.7503e-04
362.2	9.6001e-04
362.4	9.7826e-04
362.6	0.00104
362.8	0.00107
363.0	0.00109
363.2	0.00124
363.4	0.00121
363.6	0.00114
363.8	0.00133
364.0	0.00127
364.2	0.00128
364.4	0.00117
364.6	0.00107
364.8	0.00117
365.0	9.6492e-04
365.2	6.2569e-04
365.4	6.1993e-04
365.6	6.8664e-04
365.8	6.6227e-04
366.0	6.6787e-04
366.2	6.4318e-04
366.4	7.0239e-04
366.6	6.3303e-04
366.8	6.0854e-04
367.0	7.6368e-04
367.2	0.00115
367.4	0.00252
367.6	0.00412
367.8	0.00528
368.0	0.00609
368.2	0.00654
368.4	0.00686
368.6	0.00679
368.8	0.00687
369.0	0.00624
369.2	0.00612
369.4	0.00621
369.6	0.00672
369.8	0.00707
370.0	0.00751
370.2	0.00735
370.4	0.00722
370.6	0.00705
370.8	0.00694
371.0	0.00692
371.2	0.00737
371.4	0.00765
371.6	0.00842
371.8	0.00866
372.0	0.00909
372.2	0.00956
372.4	0.01026
372.6	0.01126
372.8	0.01244
373.0	0.01398
373.2	0.01547
373.4	0.01624
373.6	0.01629
373.8	0.01587
374.0	0.01462
374.2	0.01306
374.4	0.01088
374.6	0.00891
374.8	0.00731
375.0	0.00605
375.2	0.00524
375.4	0.00456
375.6	0.00405
375.8	0.00343
376.0	0.00302
376.2	0.00265
376.4	0.00228
376.6	0.00199
376.8	0.00178
377.0	0.00164
377.2	0.00157
377.4	0.00146
377.6	0.00135
377.8	0.00138
378.0	0.0013
378.2	0.00129
378.4	0.00129
378.6	0.00113
378.8	0.00116
379.0	0.00107
379.2	0.00106
379.4	0.001
379.6	9.348e-04
379.8	9.4065e-04
380.0	0.00102
380.2	9.4731e-04
380.4	9.1314e-04
380.6	0.00102
380.8	0.00102
381.0	0.00109
381.2	0.00113
381.4	0.00118
381.6	0.00123
381.8	0.00125
382.0	0.00128
382.2	0.00135
382.4	0.00147
382.6	0.00146
382.8	0.00146
383.0	0.00151
383.2	0.00157
383.4	0.00162
383.6	0.00154
383.8	0.00166
384.0	0.00169
384.2	0.00174
384.4	0.00179
384.6	0.0019
384.8	0.00201
385.0	0.00217
385.2	0.00237
385.4	0.00254
385.6	0.00263
385.8	0.00302
386.0	0.00339
386.2	0.00405
386.4	0.0048
386.6	0.0059
386.8	0.0072
387.0	0.00853
387.2	0.01002
387.4	0.01144
387.6	0.01261
387.8	0.01361
388.0	0.01408
388.2	0.01458
388.4	0.01424
388.6	0.01402
388.8	0.01345
389.0	0.01264
389.2	0.01149
389.4	0.01069
389.6	0.00958
389.8	0.00852
390.0	0.00773
390.2	0.00705
390.4	0.00641
390.6	0.00608
390.8	0.00583
391.0	0.00584
391.2	0.00585
391.4	0.00593
391.6	0.00612
391.8	0.00614
392.0	0.00633
392.2	0.0065
392.4	0.00628
392.6	0.0062
392.8	0.00595
393.0	0.00563
393.2	0.00568
393.4	0.00551
393.6	0.00555
393.8	0.00553
394.0	0.00582
394.2	0.0061
394.4	0.00619
394.6	0.00652
394.8	0.00688
395.0	0.00675
395.2	0.00679
395.4	0.00683
395.6	0.00665
395.8	0.0063
396.0	0.00619
396.2	0.00584
396.4	0.00597
396.6	0.00587
396.8	0.00574
397.0	0.00581
397.2	0.00585
397.4	0.00581
397.6	0.0055
397.8	0.00513
398.0	0.00484
398.2	0.00456
398.4	0.004
398.6	0.00356
398.8	0.00302
399.0	0.0026
399.2	0.00248
399.4	0.00231
399.6	0.00213
399.8	0.00187
400.0	0.00202
400.2	0.00188
400.4	0.00174
400.6	0.00153
400.8	0.00165
401.0	0.0017
401.2	0.00157
401.4	0.0013
401.6	0.00106
401.8	0.00122
402.0	0.00106
402.2	0.00114
402.4	9.7447e-04
402.6	8.9834e-04
402.8	8.641e-04
403.0	8.8806e-04
403.2	9.8351e-04
403.4	8.4166e-04
403.6	9.1298e-04
403.8	9.1832e-04
404.0	0.00105
404.2	0.00102
404.4	0.0011
404.6	0.00103
404.8	9.8811e-04
405.0	0.00109
405.2	0.00115
405.4	0.00108
405.6	0.00109
405.8	0.0011
406.0	9.4818e-04
406.2	8.9016e-04
406.4	7.984e-04
406.6	9.317e-04
406.8	9.4386e-04
407.0	0.00108
407.2	9.9733e-04
407.4	0.00109
407.6	0.00118
407.8	0.00127
408.0	0.00134
408.2	0.00133
408.4	0.00135
408.6	0.00135
408.8	0.0015
409.0	0.00137
409.2	0.00141
409.4	0.00125
409.6	0.00136
409.8	0.00131
410.0	0.00129
410.2	0.0012
410.4	0.00126
410.6	0.00127
410.8	0.00129
411.0	0.00143
411.2	0.00157
411.4	0.00177
411.6	0.00196
411.8	0.00212
412.0	0.00239
412.2	0.00263
412.4	0.00292
412.6	0.00304
412.8	0.00316
413.0	0.00329
413.2	0.0034
413.4	0.0034
413.6	0.00345
413.8	0.00345
414.0	0.00351
414.2	0.00359
414.4	0.0037
414.6	0.00393
414.8	0.0042
415.0	0.00456
415.2	0.00507
415.4	0.00574
415.6	0.00631
415.8	0.00688
416.0	0.00743
416.2	0.00792
416.4	0.00852
416.6	0.00894
416.8	0.00913
417.0	0.00936
417.2	0.00939
417.4	0.00968
417.6	0.00956
417.8	0.00984
418.0	0.01005
418.2	0.01064
418.4	0.01118
418.6	0.01184
418.8	0.01265
419.0	0.01333
419.2	0.01386
419.4	0.0143
419.6	0.01425
419.8	0.01433
420.0	0.01398
420.2	0.01346
420.4	0.01262
420.6	0.01185
420.8	0.01101
421.0	0.01027
421.2	0.00951
421.4	0.00902
421.6	0.00863
421.8	0.00843
422.0	0.00833
422.2	0.00825
422.4	0.00836
422.6	0.00841
422.8	0.00837
423.0	0.0083
423.2	0.00825
423.4	0.00793
423.6	0.00757
423.8	0.0072
424.0	0.00684
424.2	0.00635
424.4	0.00581
424.6	0.00537
424.8	0.00493
425.0	0.00467
425.2	0.00434
425.4	0.00408
425.6	0.00391
425.8	0.00388
426.0	0.00382
426.2	0.00388
426.4	0.00387
426.6	0.00391
426.8	0.004
427.0	0.00404
427.2	0.00411
427.4	0.00404
427.6	0.00399
427.8	0.00392
428.0	0.00375
428.2	0.00356
428.4	0.00343
428.6	0.00326
428.8	0.00311
429.0	0.00285
429.2	0.00276
429.4	0.0026
429.6	0.00258
429.8	0.00257
430.0	0.00253
430.2	0.00253
430.4	0.00255
430.6	0.00274
430.8	0.0028
431.0	0.00286
431.2	0.00301
431.4	0.00314
431.6	0.00329
431.8	0.0034
432.0	0.00354
432.2	0.00353
432.4	0.00361
432.6	0.00362
432.8	0.00358
433.0	0.00348
433.2	0.00341
433.4	0.00335
433.6	0.00316
433.8	0.00304
434.0	0.00297
434.2	0.00288
434.4	0.00276
434.6	0.00272
434.8	0.00266
435.0	0.0026
435.2	0.00275
435.4	0.00275
435.6	0.00293
435.8	0.00312
436.0	0.00346
436.2	0.00375
436.4	0.00423
436.6	0.00487
436.8	0.00547
437.0	0.00611
437.2	0.00677
437.4	0.00738
437.6	0.00783
437.8	0.00815
438.0	0.00836
438.2	0.00834
438.4	0.00818
438.6	0.00786
438.8	0.00748
439.0	0.00691
439.2	0.00628
439.4	0.00575
439.6	0.0051
439.8	0.00458
440.0	0.00421
440.2	0.00372
440.4	0.00342
440.6	0.00318
440.8	0.00296
441.0	0.00282
441.2	0.00277
441.4	0.00274
441.6	0.00286
441.8	0.00289
442.0	0.00309
442.2	0.00335
442.4	0.00372
442.6	0.00426
442.8	0.00501
443.0	0.006
443.2	0.00735
443.4	0.00895
443.6	0.01084
443.8	0.01277
444.0	0.01476
444.2	0.01631
444.4	0.01749
444.6	0.01829
444.8	0.01864
445.0	0.01837
445.2	0.01786
445.4	0.01677
445.6	0.01548
445.8	0.0142
446.0	0.01317
446.2	0.01214
446.4	0.01152
446.6	0.01112
446.8	0.01074
447.0	0.01056
447.2	0.01038
447.4	0.01022
447.6	0.01
447.8	0.00964
448.0	0.00916
448.2	0.00861
448.4	0.00805
448.6	0.00741
448.8	0.00666
449.0	0.00606
449.2	0.00549
449.4	0.00499
449.6	0.00457
449.8	0.00419
450.0	0.0039
450.2	0.00366
450.4	0.00354
450.6	0.00343
450.8	0.00335
451.0	0.00336
451.2	0.00337
451.4	0.00339
451.6	0.00334
451.8	0.00335
452.0	0.00339
452.2	0.00337
452.4	0.00332
452.6	0.00328
452.8	0.00316
453.0	0.00306
453.2	0.00291
453.4	0.00283
453.6	0.00265
453.8	0.00252
454.0	0.00239
454.2	0.00229
454.4	0.00219
454.6	0.00211
454.8	0.00206
455.0	0.00205
455.2	0.00198
455.4	0.002
455.6	0.00205
455.8	0.00213
456.0	0.0022
456.2	0.00228
456.4	0.00237
456.6	0.00248
456.8	0.00258
457.0	0.00263
457.2	0.00275
457.4	0.00278
457.6	0.00286
457.8	0.00286
458.0	0.0029
458.2	0.00286
458.4	0.0028
458.6	0.00276
458.8	0.0027
459.0	0.00263
459.2	0.00257
459.4	0.00251
459.6	0.00251
459.8	0.00246
460.0	0.00246
460.2	0.00244
460.4	0.00248
460.6	0.00255
460.8	0.00266
461.0	0.00273
461.2	0.00294
461.4	0.00312
461.6	0.00333
461.8	0.00356
462.0	0.00379
462.2	0.00409
462.4	0.00432
462.6	0.00462
462.8	0.00475
463.0	0.00494
463.2	0.00506
463.4	0.00514
463.6	0.0052
463.8	0.00517
464.0	0.00509
464.2	0.00499
464.4	0.00487
464.6	0.00481
464.8	0.00468
465.0	0.00457
465.2	0.00446
465.4	0.00441
465.6	0.00437
465.8	0.00437
466.0	0.00439
466.2	0.00449
466.4	0.00462
466.6	0.00472
466.8	0.00495
467.0	0.00519
467.2	0.00545
467.4	0.00573
467.6	0.00607
467.8	0.00646
468.0	0.00691
468.2	0.00737
468.4	0.0075
468.6	0.00746
468.8	0.00744
469.0	0.00739
469.2	0.00722
469.4	0.00696
469.6	0.0066
469.8	0.00638
470.0	0.00604
470.2	0.00569
470.4	0.0054
470.6	0.00517
470.8	0.00483
471.0	0.0047
471.2	0.00463
471.4	0.00449
471.6	0.00446
471.8	0.00449
472.0	0.00458
472.2	0.00475
472.4	0.00493
472.6	0.00515
472.8	0.00546
473.0	0.00584
473.2	0.00624
473.4	0.00671
473.6	0.00723
473.8	0.00768
474.0	0.00807
474.2	0.00854
474.4	0.00889
474.6	0.00927
474.8	0.00947
475.0	0.00956
475.2	0.00951
475.4	0.00955
475.6	0.0095
475.8	0.00922
476.0	0.00901
476.2	0.00883
476.4	0.00858
476.6	0.0084
476.8	0.00823
477.0	0.00813
477.2	0.00812
477.4	0.00818
477.6	0.0083
477.8	0.00856
478.0	0.00887
478.2	0.00922
478.4	0.00984
478.6	0.01036
478.8	0.01097
479.0	0.01188
479.2	0.01263
479.4	0.01358
479.6	0.0144
479.8	0.01526
480.0	0.01614
480.2	0.01675
480.4	0.01727
480.6	0.01768
480.8	0.01789
481.0	0.01792
481.2	0.01769
481.4	0.01744
481.6	0.01693
481.8	0.01627
482.0	0.0156
482.2	0.01485
482.4	0.01409
482.6	0.01334
482.8	0.01263
483.0	0.012
483.2	0.01143
483.4	0.01089
483.6	0.0105
483.8	0.0102
484.0	0.00991
484.2	0.00979
484.4	0.00968
484.6	0.00971
484.8	0.00974
485.0	0.00992
485.2	0.01019
485.4	0.0104
485.6	0.01078
485.8	0.01112
486.0	0.01147
486.2	0.0118
486.4	0.01209
486.6	0.0123
486.8	0.01237
487.0	0.01247
487.2	0.01234
487.4	0.0122
487.6	0.01188
487.8	0.01145
488.0	0.01098
488.2	0.01047
488.4	0.00992
488.6	0.00935
488.8	0.00882
489.0	0.00833
489.2	0.00786
489.4	0.00747
489.6	0.00716
489.8	0.00689
490.0	0.00676
490.2	0.00667
490.4	0.00668
490.6	0.00682
490.8	0.00699
491.0	0.00727
491.2	0.00764
491.4	0.00806
491.6	0.00863
491.8	0.00927
492.0	0.00995
492.2	0.01062
492.4	0.01132
492.6	0.01199
492.8	0.01255
493.0	0.01303
493.2	0.01348
493.4	0.01367
493.6	0.01374
493.8	0.01366
494.0	0.01343
494.2	0.01306
494.4	0.01266
494.6	0.01221
494.8	0.01162
495.0	0.01107
495.2	0.01054
495.4	0.01002
495.6	0.00954
495.8	0.00923
496.0	0.00898
496.2	0.00873
496.4	0.00865
496.6	0.00864
496.8	0.00879
497.0	0.00895
497.2	0.0092
497.4	0.00958
497.6	0.01003
497.8	0.01057
498.0	0.01122
498.2	0.01191
498.4	0.01265
498.6	0.01344
498.8	0.01429
499.0	0.01496
499.2	0.01571
499.4	0.01638
499.6	0.01681
499.8	0.01713
500.0	0.01725
500.2	0.01702
500.4	0.01666
500.6	0.01614
500.8	0.01553
501.0	0.01484
501.2	0.01408
501.4	0.01327
501.6	0.01248
501.8	0.01182
502.0	0.01104
502.2	0.01034
502.4	0.00983
502.6	0.00942
502.8	0.00902
503.0	0.00878
503.2	0.00856
503.4	0.00843
503.6	0.00839
503.8	0.00848
504.0	0.0086
504.2	0.00878
504.4	0.00904
504.6	0.00928
504.8	0.00959
