Description=Generated by CoatingRecipeMaker v4.1.0.76, Engine=MultiThread; AOI=0, POL=A, CHA=0, ConeSteps=21, Data is clipped beyond OD=7
DateTimeCreated=1/26/2023 4:00:55 PM
X(nm)	Y(FractionT)
430	1E-07
430.1	1E-07
430.2	1E-07
430.3	1E-07
430.4	1E-07
430.5	1E-07
430.6	1E-07
430.7	1E-07
430.8	1E-07
430.9	1E-07
431	1E-07
431.1	1E-07
431.2	1E-07
431.3	1E-07
431.4	1E-07
431.5	1E-07
431.6	1E-07
431.7	1E-07
431.8	1E-07
431.9	1E-07
432	1E-07
432.1	1E-07
432.2	1E-07
432.3	1E-07
432.4	1E-07
432.5	1E-07
432.6	1E-07
432.7	1E-07
432.8	1E-07
432.9	1E-07
433	1E-07
433.1	1E-07
433.2	1E-07
433.3	1E-07
433.4	1E-07
433.5	1E-07
433.6	1E-07
433.7	1E-07
433.8	1E-07
433.9	1E-07
434	1E-07
434.1	1E-07
434.2	1E-07
434.3	1E-07
434.4	1E-07
434.5	1E-07
434.6	1E-07
434.7	1E-07
434.8	1E-07
434.9	1E-07
435	1E-07
435.1	1E-07
435.2	1E-07
435.3	1E-07
435.4	1E-07
435.5	1E-07
435.6	1E-07
435.7	1E-07
435.8	1E-07
435.9	1E-07
436	1E-07
436.1	1E-07
436.2	1E-07
436.3	1E-07
436.4	1E-07
436.5	1E-07
436.6	1E-07
436.7	1E-07
436.8	1E-07
436.9	1E-07
437	1E-07
437.1	1E-07
437.2	1E-07
437.3	1E-07
437.4	1E-07
437.5	1E-07
437.6	1E-07
437.7	1E-07
437.8	1E-07
437.9	1E-07
438	1E-07
438.1	1E-07
438.2	1E-07
438.3	1E-07
438.4	1E-07
438.5	1E-07
438.6	1E-07
438.7	1E-07
438.8	1E-07
438.9	1E-07
439	1E-07
439.1	1E-07
439.2	1E-07
439.3	1E-07
439.4	1E-07
439.5	1E-07
439.6	1E-07
439.7	1E-07
439.8	1E-07
439.9	1E-07
440	1E-07
440.1	1E-07
440.2	1E-07
440.3	1E-07
440.4	1E-07
440.5	1E-07
440.6	1E-07
440.7	1E-07
440.8	1E-07
440.9	1E-07
441	1E-07
441.1	1E-07
441.2	1E-07
441.3	1E-07
441.4	1E-07
441.5	1E-07
441.6	1E-07
441.7	1E-07
441.8	1E-07
441.9	1E-07
442	1E-07
442.1	1E-07
442.2	1E-07
442.3	1E-07
442.4	1E-07
442.5	1E-07
442.6	1E-07
442.7	1E-07
442.8	1E-07
442.9	1E-07
443	1E-07
443.1	1E-07
443.2	1E-07
443.3	1E-07
443.4	1E-07
443.5	1E-07
443.6	1E-07
443.7	1E-07
443.8	1E-07
443.9	1E-07
444	1E-07
444.1	1E-07
444.2	1E-07
444.3	1E-07
444.4	1E-07
444.5	1E-07
444.6	1E-07
444.7	1E-07
444.8	1E-07
444.9	1E-07
445	1E-07
445.1	1E-07
445.2	1E-07
445.3	1E-07
445.4	1E-07
445.5	1E-07
445.6	1E-07
445.7	1E-07
445.8	1E-07
445.9	1E-07
446	1E-07
446.1	1E-07
446.2	1E-07
446.3	1E-07
446.4	1E-07
446.5	1E-07
446.6	1E-07
446.7	1E-07
446.8	1E-07
446.9	1E-07
447	1E-07
447.1	1E-07
447.2	1E-07
447.3	1E-07
447.4	1E-07
447.5	1E-07
447.6	1E-07
447.7	1E-07
447.8	1E-07
447.9	1E-07
448	1E-07
448.1	1E-07
