Typical Measured Spectrum of Semrock FF01-446/523/600/677 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	1.0923e-05
270.2	9.0759e-06
270.4	7.5412e-06
270.6	6.2659e-06
270.8	5.2063e-06
271.0	4.3259e-06
271.2	3.5944e-06
271.4	2.9865e-06
271.6	2.4815e-06
271.8	2.0619e-06
272.0	1.7132e-06
272.2	1.4235e-06
272.4	1.1828e-06
272.6	9.8276e-07
272.8	8.1657e-07
273.0	6.7848e-07
273.2	5.6375e-07
273.4	4.6841e-07
273.6	3.892e-07
273.8	3.2339e-07
274.0	2.687e-07
274.2	5.1293e-07
274.4	1.0685e-06
274.6	2.2258e-06
274.8	4.6366e-06
275.0	9.6585e-06
275.2	7.9609e-06
275.4	6.5618e-06
275.6	5.4085e-06
275.8	4.4579e-06
276.0	3.6744e-06
276.2	3.0286e-06
276.4	2.4963e-06
276.6	2.0575e-06
276.8	1.6959e-06
277.0	1.3978e-06
277.2	1.1522e-06
277.4	9.4967e-07
277.6	7.8275e-07
277.8	6.4518e-07
278.0	6.1249e-07
278.2	6.0439e-07
278.4	5.9641e-07
278.6	5.8852e-07
278.8	5.8075e-07
279.0	5.7307e-07
279.2	5.655e-07
279.4	5.5802e-07
279.6	5.5065e-07
279.8	5.4337e-07
280.0	5.3619e-07
280.2	5.291e-07
280.4	5.2211e-07
280.6	5.1521e-07
280.8	5.084e-07
281.0	5.0168e-07
281.2	4.9505e-07
281.4	4.8851e-07
281.6	4.8205e-07
281.8	4.7568e-07
282.0	4.694e-07
282.2	4.6319e-07
282.4	4.5707e-07
282.6	4.3418e-07
282.8	3.9406e-07
283.0	3.5764e-07
283.2	3.2458e-07
283.4	2.9459e-07
283.6	2.6736e-07
283.8	2.4265e-07
284.0	2.2023e-07
284.2	1.9987e-07
284.4	1.814e-07
284.6	1.6463e-07
284.8	1.4942e-07
285.0	1.3561e-07
285.2	1.3355e-07
285.4	1.3152e-07
285.6	1.2952e-07
285.8	1.2756e-07
286.0	1.2562e-07
286.2	1.2371e-07
286.4	1.2183e-07
286.6	1.1998e-07
286.8	1.1816e-07
287.0	1.1636e-07
287.2	1.146e-07
287.4	1.1285e-07
287.6	1.1114e-07
287.8	1.0945e-07
288.0	1.2581e-07
288.2	1.4726e-07
288.4	1.7237e-07
288.6	2.0176e-07
288.8	2.3616e-07
289.0	2.7642e-07
289.2	3.2355e-07
289.4	3.7871e-07
289.6	4.4328e-07
289.8	5.1886e-07
290.0	6.0732e-07
290.2	7.1087e-07
290.4	8.3207e-07
290.6	9.7393e-07
290.8	1.14e-06
291.0	1.3344e-06
291.2	1.5619e-06
291.4	1.8281e-06
291.6	2.1398e-06
291.8	2.5047e-06
292.0	2.9317e-06
292.2	3.4316e-06
292.4	4.0166e-06
292.6	3.8969e-06
292.8	3.2911e-06
293.0	2.7794e-06
293.2	2.3473e-06
293.4	1.9824e-06
293.6	1.6742e-06
293.8	1.4139e-06
294.0	1.1941e-06
294.2	1.0085e-06
294.4	8.5168e-07
294.6	7.1927e-07
294.8	6.0745e-07
295.0	5.1301e-07
295.2	5.4429e-07
295.4	5.7749e-07
295.6	6.1271e-07
295.8	6.3634e-07
296.0	6.5704e-07
296.2	6.7841e-07
296.4	7.0047e-07
296.6	7.2325e-07
296.8	7.4678e-07
297.0	7.7106e-07
297.2	7.9614e-07
297.4	8.2203e-07
297.6	8.4877e-07
297.8	8.7637e-07
298.0	9.0487e-07
298.2	9.343e-07
298.4	9.6469e-07
298.6	9.9606e-07
298.8	1.0285e-06
299.0	1.0619e-06
299.2	1.0964e-06
299.4	1.1321e-06
299.6	1.1689e-06
299.8	1.2069e-06
300.0	1.2462e-06
300.2	1.2867e-06
300.4	1.2352e-06
300.6	1.0921e-06
300.8	9.6568e-07
301.0	8.5386e-07
301.2	7.5498e-07
301.4	6.6756e-07
301.6	5.9026e-07
301.8	5.2191e-07
302.0	4.6147e-07
302.2	4.0804e-07
302.4	3.6079e-07
302.6	3.1901e-07
302.8	2.8207e-07
303.0	2.4941e-07
303.2	2.2053e-07
303.4	1.9499e-07
303.6	1.7241e-07
303.8	1.5245e-07
304.0	1.3479e-07
304.2	1.1919e-07
304.4	1.0538e-07
304.6	9.3181e-08
304.8	8.2391e-08
305.0	7.3429e-08
305.2	7.1255e-08
305.4	6.9145e-08
305.6	6.7097e-08
305.8	6.5111e-08
306.0	6.3183e-08
306.2	6.1312e-08
306.4	5.9496e-08
306.6	5.7734e-08
306.8	5.6025e-08
307.0	5.5518e-08
307.2	5.9396e-08
307.4	6.3545e-08
307.6	6.7983e-08
307.8	7.2731e-08
308.0	7.7811e-08
308.2	8.3246e-08
308.4	8.9061e-08
308.6	9.5281e-08
308.8	1.0194e-07
309.0	1.0906e-07
309.2	1.1667e-07
309.4	1.2482e-07
309.6	1.3354e-07
309.8	1.4287e-07
310.0	1.5285e-07
310.2	1.6352e-07
310.4	1.7494e-07
310.6	1.8716e-07
310.8	2.0023e-07
311.0	2.1422e-07
311.2	2.2918e-07
311.4	2.4519e-07
311.6	2.6232e-07
311.8	2.474e-07
312.0	2.2973e-07
312.2	2.1332e-07
312.4	1.9809e-07
312.6	1.8394e-07
312.8	1.708e-07
313.0	1.586e-07
313.2	1.4727e-07
313.4	1.3676e-07
313.6	1.2699e-07
313.8	1.1792e-07
314.0	1.095e-07
314.2	1.0168e-07
314.4	9.4413e-08
314.6	8.767e-08
314.8	8.1408e-08
315.0	7.5594e-08
315.2	7.0194e-08
315.4	6.5181e-08
315.6	6.0525e-08
315.8	5.6202e-08
316.0	5.2188e-08
316.2	4.8461e-08
316.4	4.9736e-08
316.6	5.4963e-08
316.8	6.074e-08
317.0	6.7124e-08
317.2	7.418e-08
317.4	8.1976e-08
317.6	9.0592e-08
317.8	1.0011e-07
318.0	1.1064e-07
318.2	1.2227e-07
318.4	1.3512e-07
318.6	1.4932e-07
318.8	1.6501e-07
319.0	1.8236e-07
319.2	2.0152e-07
319.4	2.227e-07
319.6	2.4611e-07
319.8	2.7198e-07
320.0	3.0056e-07
320.2	3.3216e-07
320.4	3.6707e-07
320.6	4.0565e-07
320.8	4.4828e-07
321.0	4.6767e-07
321.2	4.1914e-07
321.4	3.7565e-07
321.6	3.3667e-07
321.8	3.0173e-07
322.0	2.7042e-07
322.2	2.4236e-07
322.4	2.1721e-07
322.6	1.9467e-07
322.8	1.7447e-07
323.0	1.5637e-07
323.2	1.4014e-07
323.4	1.256e-07
323.6	1.1257e-07
323.8	1.0089e-07
324.0	9.0417e-08
324.2	8.1035e-08
324.4	7.2626e-08
324.6	6.509e-08
324.8	5.8336e-08
325.0	5.2283e-08
325.2	4.6857e-08
325.4	4.1995e-08
325.6	3.7638e-08
325.8	3.7153e-08
326.0	3.6728e-08
326.2	3.6308e-08
326.4	3.5893e-08
326.6	3.5483e-08
326.8	3.5078e-08
327.0	3.4677e-08
327.2	3.4281e-08
327.4	3.3889e-08
327.6	3.3501e-08
327.8	3.3119e-08
328.0	3.274e-08
328.2	3.2366e-08
328.4	3.1996e-08
328.6	3.163e-08
328.8	3.1269e-08
329.0	3.0912e-08
329.2	3.0558e-08
329.4	3.0209e-08
329.6	2.9864e-08
329.8	2.9523e-08
330.0	2.9185e-08
330.2	2.8852e-08
330.4	3.0371e-08
330.6	3.2802e-08
330.8	3.5428e-08
331.0	3.8264e-08
331.2	4.1326e-08
331.4	4.4634e-08
331.6	4.8207e-08
331.8	5.2065e-08
332.0	5.6233e-08
332.2	6.0734e-08
332.4	6.5595e-08
332.6	7.0845e-08
332.8	7.6516e-08
333.0	8.264e-08
333.2	8.9255e-08
333.4	9.6399e-08
333.6	1.0411e-07
333.8	1.1245e-07
334.0	1.2145e-07
334.2	1.3117e-07
334.4	1.4167e-07
334.6	1.5301e-07
334.8	1.6526e-07
335.0	1.6742e-07
335.2	1.3518e-07
335.4	1.0915e-07
335.6	8.8129e-08
335.8	7.1158e-08
336.0	5.7456e-08
336.2	4.6391e-08
336.4	3.7458e-08
336.6	3.0245e-08
336.8	2.4421e-08
337.0	2.0911e-08
337.2	2.0747e-08
337.4	2.0585e-08
337.6	2.0425e-08
337.8	2.0265e-08
338.0	2.0107e-08
338.2	1.995e-08
338.4	1.9795e-08
338.6	1.964e-08
338.8	1.9487e-08
339.0	1.9335e-08
339.2	1.9184e-08
339.4	1.9034e-08
339.6	1.8886e-08
339.8	1.8738e-08
340.0	1.8592e-08
340.2	1.8447e-08
340.4	1.8303e-08
340.6	1.816e-08
340.8	1.8018e-08
341.0	1.7878e-08
341.2	1.7738e-08
341.4	1.76e-08
341.6	1.7462e-08
341.8	1.7388e-08
342.0	1.7314e-08
342.2	1.7241e-08
342.4	1.7167e-08
342.6	1.7094e-08
342.8	1.7022e-08
343.0	1.6949e-08
343.2	1.6877e-08
343.4	1.6806e-08
343.6	1.6734e-08
343.8	1.6663e-08
344.0	1.6592e-08
344.2	1.6522e-08
344.4	1.6452e-08
344.6	1.6382e-08
344.8	1.6312e-08
345.0	1.6243e-08
345.2	1.6174e-08
345.4	1.6105e-08
345.6	1.6037e-08
345.8	1.5968e-08
346.0	1.5901e-08
346.2	1.5833e-08
346.4	1.6361e-08
346.6	1.7153e-08
346.8	1.7982e-08
347.0	1.8852e-08
347.2	1.9764e-08
347.4	2.072e-08
347.6	2.1722e-08
347.8	2.2773e-08
348.0	2.3874e-08
348.2	2.5029e-08
348.4	2.6239e-08
348.6	2.7509e-08
348.8	2.8839e-08
349.0	3.0234e-08
349.2	3.1696e-08
349.4	3.3229e-08
349.6	3.4837e-08
349.8	3.6522e-08
350.0	3.8288e-08
350.2	4.0371e-08
350.4	4.2635e-08
350.6	4.5027e-08
350.8	4.7552e-08
351.0	5.022e-08
351.2	5.3037e-08
351.4	5.6012e-08
351.6	5.9154e-08
351.8	6.2472e-08
352.0	6.5976e-08
352.2	6.9677e-08
352.4	7.3585e-08
352.6	7.7713e-08
352.8	7.9998e-08
353.0	7.559e-08
353.2	7.1424e-08
353.4	6.7489e-08
353.6	6.3769e-08
353.8	6.0255e-08
354.0	5.6935e-08
354.2	5.3797e-08
354.4	5.0833e-08
354.6	4.8032e-08
354.8	4.5385e-08
355.0	4.2884e-08
355.2	4.052e-08
355.4	3.8288e-08
355.6	3.9211e-08
355.8	4.1671e-08
356.0	4.4285e-08
356.2	4.7063e-08
356.4	5.0016e-08
356.6	5.3154e-08
356.8	5.6488e-08
357.0	6.0032e-08
357.2	6.3798e-08
357.4	6.7801e-08
357.6	7.2055e-08
357.8	7.6575e-08
358.0	8.1379e-08
358.2	8.6485e-08
358.4	9.191e-08
358.6	9.7677e-08
358.8	1.038e-07
359.0	1.1032e-07
359.2	1.1077e-07
359.4	1.0349e-07
359.6	9.6682e-08
359.8	9.0322e-08
360.0	8.4382e-08
360.2	7.8832e-08
360.4	7.3647e-08
360.6	6.8803e-08
360.8	6.4277e-08
361.0	6.0049e-08
361.2	5.61e-08
361.4	5.241e-08
361.6	4.8963e-08
361.8	4.5742e-08
362.0	4.2734e-08
362.2	3.9923e-08
362.4	3.7297e-08
362.6	3.4844e-08
362.8	3.2991e-08
363.0	3.3014e-08
363.2	3.3038e-08
363.4	3.3061e-08
363.6	3.3084e-08
363.8	3.3107e-08
364.0	3.3131e-08
364.2	3.3154e-08
364.4	3.3177e-08
364.6	3.3201e-08
364.8	3.3224e-08
365.0	3.3247e-08
365.2	3.3271e-08
365.4	3.3294e-08
365.6	3.3238e-08
365.8	3.3141e-08
366.0	3.3045e-08
366.2	3.2949e-08
366.4	3.2853e-08
366.6	3.2757e-08
366.8	3.2662e-08
367.0	3.2567e-08
367.2	3.2472e-08
367.4	3.2378e-08
367.6	3.2283e-08
367.8	3.2189e-08
368.0	3.2096e-08
368.2	3.2002e-08
368.4	3.1909e-08
368.6	3.1816e-08
368.8	3.1724e-08
369.0	3.1632e-08
369.2	3.3944e-08
369.4	4.015e-08
369.6	4.7491e-08
369.8	5.6175e-08
370.0	6.6447e-08
370.2	7.8596e-08
370.4	9.2967e-08
370.6	1.0997e-07
370.8	1.3007e-07
371.0	1.5386e-07
371.2	1.8199e-07
371.4	2.1527e-07
371.6	2.5463e-07
371.8	3.0118e-07
372.0	3.5625e-07
372.2	4.2139e-07
372.4	4.9845e-07
372.6	5.8958e-07
372.8	6.4339e-07
373.0	5.0863e-07
373.2	4.021e-07
373.4	3.1788e-07
373.6	2.513e-07
373.8	1.9867e-07
374.0	1.5706e-07
374.2	1.2416e-07
374.4	9.8157e-08
374.6	7.7598e-08
374.8	6.1346e-08
375.0	4.8497e-08
375.2	3.8339e-08
375.4	3.0309e-08
375.6	2.846e-08
375.8	2.9086e-08
376.0	2.9726e-08
376.2	3.0381e-08
376.4	3.1049e-08
376.6	3.1733e-08
376.8	3.2431e-08
377.0	3.3145e-08
377.2	3.3875e-08
377.4	3.462e-08
377.6	3.5382e-08
377.8	3.6161e-08
378.0	3.6957e-08
378.2	3.777e-08
378.4	3.8602e-08
378.6	3.9451e-08
378.8	4.032e-08
379.0	4.1207e-08
379.2	4.2034e-08
379.4	4.277e-08
379.6	4.3518e-08
379.8	4.4279e-08
380.0	4.5054e-08
380.2	4.5842e-08
380.4	4.6644e-08
380.6	4.746e-08
380.8	4.829e-08
381.0	4.9135e-08
381.2	4.9995e-08
381.4	5.0869e-08
381.6	5.1759e-08
381.8	5.2665e-08
382.0	5.3586e-08
382.2	5.4524e-08
382.4	5.5477e-08
382.6	5.6448e-08
382.8	5.6584e-08
383.0	5.6342e-08
383.2	5.6101e-08
383.4	5.586e-08
383.6	5.5621e-08
383.8	5.5383e-08
384.0	5.5146e-08
384.2	5.491e-08
384.4	5.4674e-08
384.6	5.444e-08
384.8	5.4207e-08
385.0	5.3975e-08
385.2	5.3744e-08
385.4	5.5015e-08
385.6	6.4782e-08
385.8	7.6283e-08
386.0	8.9826e-08
386.2	1.0577e-07
386.4	1.2455e-07
386.6	1.4666e-07
386.8	1.727e-07
387.0	2.0336e-07
387.2	2.3947e-07
387.4	2.8198e-07
387.6	3.3204e-07
387.8	3.9099e-07
388.0	4.6041e-07
388.2	4.8882e-07
388.4	4.9023e-07
388.6	4.9165e-07
388.8	4.9307e-07
389.0	4.945e-07
389.2	4.9593e-07
389.4	4.9736e-07
389.6	4.988e-07
389.8	5.0024e-07
390.0	5.0169e-07
390.2	5.0314e-07
390.4	5.0459e-07
390.6	5.0605e-07
390.8	4.7606e-07
391.0	4.3099e-07
391.2	3.9019e-07
391.4	3.5324e-07
391.6	3.198e-07
391.8	2.8952e-07
392.0	2.6211e-07
392.2	2.3729e-07
392.4	2.1483e-07
392.6	1.9449e-07
392.8	1.7607e-07
393.0	1.594e-07
393.2	1.4431e-07
393.4	1.3065e-07
393.6	1.213e-07
