Typical Measured Spectrum of Semrock FF01-655/40 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
270.0	4.5845e-06
270.2	4.0358e-06
270.4	3.5528e-06
270.6	3.1276e-06
270.8	2.7533e-06
271.0	2.4238e-06
271.2	2.1337e-06
271.4	1.8783e-06
271.6	1.6535e-06
271.8	1.4556e-06
272.0	1.2814e-06
272.2	1.1281e-06
272.4	9.9305e-07
272.6	8.742e-07
272.8	8.7163e-07
273.0	9.411e-07
273.2	1.0161e-06
273.4	1.0971e-06
273.6	1.1845e-06
273.8	1.279e-06
274.0	1.3809e-06
274.2	1.4909e-06
274.4	1.6098e-06
274.6	1.7381e-06
274.8	1.8766e-06
275.0	2.0262e-06
275.2	1.9471e-06
275.4	1.8711e-06
275.6	1.798e-06
275.8	1.7278e-06
276.0	1.6603e-06
276.2	1.5955e-06
276.4	1.5332e-06
276.6	1.4734e-06
276.8	1.4158e-06
277.0	1.3606e-06
277.2	1.3075e-06
277.4	1.2564e-06
277.6	1.2074e-06
277.8	1.2791e-06
278.0	1.4143e-06
278.2	1.5639e-06
278.4	1.7293e-06
278.6	1.9122e-06
278.8	2.1144e-06
279.0	2.338e-06
279.2	2.5852e-06
279.4	2.8586e-06
279.6	3.1609e-06
279.8	3.4951e-06
280.0	3.8647e-06
280.2	4.2734e-06
280.4	4.7253e-06
280.6	5.225e-06
280.8	5.7775e-06
281.0	6.3885e-06
281.2	7.0641e-06
281.4	7.8111e-06
281.6	8.6371e-06
281.8	7.9041e-06
282.0	6.9193e-06
282.2	6.0572e-06
282.4	5.3025e-06
282.6	4.6418e-06
282.8	4.0635e-06
283.0	3.5572e-06
283.2	3.114e-06
283.4	2.726e-06
283.6	2.3863e-06
283.8	2.089e-06
284.0	1.8287e-06
284.2	1.6009e-06
284.4	1.4014e-06
284.6	1.2268e-06
284.8	1.074e-06
285.0	9.4014e-07
285.2	8.2301e-07
285.4	7.2046e-07
285.6	6.307e-07
285.8	6.8238e-07
286.0	7.4925e-07
286.2	8.2267e-07
286.4	9.0329e-07
286.6	9.9181e-07
286.8	1.089e-06
287.0	1.1957e-06
287.2	1.3129e-06
287.4	1.4415e-06
287.6	1.5828e-06
287.8	1.7379e-06
288.0	1.9082e-06
288.2	2.0952e-06
288.4	2.3005e-06
288.6	2.526e-06
288.8	2.7735e-06
289.0	3.0453e-06
289.2	3.3437e-06
289.4	3.6714e-06
289.6	3.9981e-06
289.8	3.868e-06
290.0	3.7421e-06
290.2	3.6203e-06
290.4	3.5025e-06
290.6	3.3885e-06
290.8	3.2783e-06
291.0	3.1716e-06
291.2	3.0684e-06
291.4	2.9685e-06
291.6	2.8719e-06
291.8	2.7784e-06
292.0	2.688e-06
292.2	2.6005e-06
292.4	2.5159e-06
292.6	2.434e-06
292.8	2.3548e-06
293.0	2.2782e-06
293.2	2.204e-06
293.4	2.1323e-06
293.6	1.99e-06
293.8	1.6155e-06
294.0	1.3114e-06
294.2	1.0646e-06
294.4	8.6425e-07
294.6	7.0159e-07
294.8	5.6954e-07
295.0	4.6235e-07
295.2	2.7574e-07
295.4	1.6445e-07
295.6	1.2011e-07
295.8	1.2296e-07
296.0	1.2589e-07
296.2	1.2888e-07
296.4	1.3195e-07
296.6	1.3508e-07
296.8	1.383e-07
297.0	1.4159e-07
297.2	1.4495e-07
297.4	1.484e-07
297.6	1.5193e-07
297.8	1.5554e-07
298.0	1.5924e-07
298.2	1.6303e-07
298.4	1.6691e-07
298.6	1.7088e-07
298.8	1.7494e-07
299.0	1.791e-07
299.2	1.8336e-07
299.4	1.8772e-07
299.6	1.8858e-07
299.8	1.5638e-07
300.0	1.2969e-07
300.2	1.3965e-07
300.4	1.5037e-07
300.6	1.6192e-07
300.8	1.7436e-07
301.0	1.8775e-07
301.2	2.0217e-07
301.4	2.177e-07
301.6	2.3442e-07
301.8	2.5242e-07
302.0	2.7181e-07
302.2	2.9268e-07
302.4	3.1516e-07
302.6	3.3936e-07
302.8	3.6543e-07
303.0	3.9349e-07
303.2	4.2371e-07
303.4	4.5626e-07
303.6	4.913e-07
303.8	5.1023e-07
304.0	4.9235e-07
304.2	4.751e-07
304.4	4.5845e-07
304.6	4.4238e-07
304.8	4.2688e-07
305.0	4.1192e-07
305.2	3.9e-07
305.4	3.6924e-07
305.6	3.4959e-07
305.8	3.3098e-07
306.0	3.1336e-07
306.2	2.9668e-07
306.4	2.8089e-07
306.6	2.6594e-07
306.8	2.6647e-07
307.0	2.8288e-07
307.2	3.003e-07
307.4	3.188e-07
307.6	3.3844e-07
307.8	3.5929e-07
308.0	3.8142e-07
308.2	4.0491e-07
308.4	4.2985e-07
308.6	4.5633e-07
308.8	4.8444e-07
309.0	5.1428e-07
309.2	5.4596e-07
309.4	5.7959e-07
309.6	6.1529e-07
309.8	6.5319e-07
310.0	6.9343e-07
310.2	7.3614e-07
310.4	7.8148e-07
310.6	8.2962e-07
310.8	8.7009e-07
311.0	8.2273e-07
311.2	7.7795e-07
311.4	7.3561e-07
311.6	6.9557e-07
311.8	6.5771e-07
312.0	6.2191e-07
312.2	5.8806e-07
312.4	5.5605e-07
312.6	5.2579e-07
312.8	4.9717e-07
313.0	4.7011e-07
313.2	4.4452e-07
313.4	4.2033e-07
313.6	3.9745e-07
313.8	3.7582e-07
314.0	3.5536e-07
314.2	3.3602e-07
314.4	3.1773e-07
314.6	3.0044e-07
314.8	2.8409e-07
315.0	2.6981e-07
315.2	2.5667e-07
315.4	2.4418e-07
315.6	2.3229e-07
315.8	2.2098e-07
316.0	2.1022e-07
316.2	1.9998e-07
316.4	1.9024e-07
316.6	1.8098e-07
316.8	1.7217e-07
317.0	1.6379e-07
317.2	1.5581e-07
317.4	1.4822e-07
317.6	1.4101e-07
317.8	1.3414e-07
318.0	1.2761e-07
318.2	1.214e-07
318.4	1.1549e-07
318.6	1.0986e-07
318.8	1.0451e-07
319.0	9.9925e-08
319.2	9.6396e-08
319.4	9.2992e-08
319.6	8.9707e-08
319.8	8.6539e-08
320.0	8.3482e-08
320.2	8.0534e-08
320.4	7.7689e-08
320.6	7.4945e-08
320.8	7.2298e-08
321.0	6.9745e-08
321.2	6.7282e-08
321.4	6.4905e-08
321.6	6.2613e-08
321.8	6.0401e-08
322.0	5.8268e-08
322.2	5.621e-08
322.4	5.4225e-08
322.6	5.231e-08
322.8	5.0462e-08
323.0	4.868e-08
323.2	4.8137e-08
323.4	4.7601e-08
323.6	4.707e-08
323.8	4.6545e-08
324.0	4.6026e-08
324.2	4.5513e-08
324.4	4.5006e-08
324.6	4.4504e-08
324.8	4.4008e-08
325.0	4.3518e-08
325.2	4.3032e-08
325.4	4.2553e-08
325.6	4.2078e-08
325.8	4.1609e-08
326.0	4.1145e-08
326.2	4.0687e-08
326.4	4.0233e-08
326.6	3.9785e-08
326.8	3.9341e-08
327.0	3.8903e-08
327.2	4.1216e-08
327.4	4.532e-08
327.6	4.9832e-08
327.8	5.4794e-08
328.0	6.0249e-08
328.2	6.6248e-08
328.4	7.2844e-08
328.6	8.0097e-08
328.8	8.8072e-08
329.0	9.6841e-08
329.2	1.0648e-07
329.4	1.1708e-07
329.6	1.2874e-07
329.8	1.4156e-07
330.0	1.5565e-07
330.2	1.7115e-07
330.4	1.8819e-07
330.6	2.0693e-07
330.8	2.2753e-07
331.0	2.5019e-07
331.2	2.7381e-07
331.4	2.9649e-07
331.6	3.2104e-07
331.8	3.4763e-07
332.0	3.7641e-07
332.2	4.0758e-07
332.4	4.4133e-07
332.6	4.7788e-07
332.8	5.1745e-07
333.0	5.603e-07
333.2	6.067e-07
333.4	6.5694e-07
333.6	7.1135e-07
333.8	7.7025e-07
334.0	8.3404e-07
334.2	9.031e-07
334.4	9.7789e-07
334.6	1.0589e-06
334.8	1.1465e-06
335.0	1.2415e-06
335.2	1.3443e-06
335.4	1.2675e-06
335.6	1.1908e-06
335.8	1.1188e-06
336.0	1.0511e-06
336.2	9.875e-07
336.4	9.2776e-07
336.6	8.7164e-07
336.8	8.1891e-07
337.0	7.6937e-07
337.2	7.2283e-07
337.4	6.791e-07
337.6	6.3802e-07
337.8	5.9942e-07
338.0	5.6316e-07
338.2	5.2909e-07
338.4	4.9709e-07
338.6	4.6702e-07
338.8	4.3876e-07
339.0	4.1222e-07
339.2	3.8728e-07
339.4	3.4271e-07
339.6	2.9386e-07
339.8	2.5196e-07
340.0	2.1605e-07
340.2	1.8525e-07
340.4	1.5884e-07
340.6	1.3619e-07
340.8	1.1678e-07
341.0	1.0013e-07
341.2	8.5857e-08
341.4	7.3617e-08
341.6	6.3123e-08
341.8	5.4124e-08
342.0	4.6408e-08
342.2	3.9792e-08
342.4	3.412e-08
342.6	2.9256e-08
342.8	2.5085e-08
343.0	2.1509e-08
343.2	1.8443e-08
343.4	1.7262e-08
343.6	1.9151e-08
343.8	2.1248e-08
344.0	2.3574e-08
344.2	2.6155e-08
344.4	2.9018e-08
344.6	3.2195e-08
344.8	3.572e-08
345.0	3.9631e-08
345.2	4.3969e-08
345.4	4.8783e-08
345.6	5.4124e-08
345.8	6.0049e-08
346.0	6.6623e-08
346.2	7.3917e-08
346.4	8.2009e-08
346.6	9.0987e-08
346.8	1.0095e-07
347.0	1.12e-07
347.2	1.2426e-07
347.4	1.3731e-07
347.6	1.3566e-07
347.8	1.3404e-07
348.0	1.3243e-07
348.2	1.3084e-07
348.4	1.2927e-07
348.6	1.2772e-07
348.8	1.2619e-07
349.0	1.2468e-07
349.2	1.2319e-07
349.4	1.2171e-07
349.6	1.2025e-07
349.8	1.1881e-07
350.0	1.1739e-07
350.2	1.1598e-07
350.4	1.1459e-07
350.6	1.1322e-07
350.8	1.1186e-07
351.0	1.1052e-07
351.2	1.092e-07
351.4	1.0789e-07
351.6	1.0254e-07
351.8	9.6138e-08
352.0	9.0135e-08
352.2	8.4508e-08
352.4	7.9232e-08
352.6	7.4285e-08
352.8	6.9647e-08
353.0	6.5298e-08
353.2	6.1221e-08
353.4	5.7399e-08
353.6	5.3815e-08
353.8	5.0455e-08
354.0	4.7305e-08
354.2	4.4352e-08
354.4	4.1583e-08
354.6	3.8986e-08
354.8	3.6552e-08
355.0	3.427e-08
355.2	3.213e-08
355.4	3.0124e-08
355.6	2.8654e-08
355.8	2.7731e-08
356.0	2.6837e-08
356.2	2.5972e-08
356.4	2.5135e-08
356.6	2.4325e-08
356.8	2.3542e-08
357.0	2.2783e-08
357.2	2.2049e-08
357.4	2.1338e-08
357.6	2.0651e-08
357.8	1.9985e-08
358.0	1.9341e-08
358.2	1.8718e-08
358.4	1.8115e-08
358.6	1.7531e-08
358.8	1.6966e-08
359.0	1.6419e-08
359.2	1.589e-08
359.4	1.5378e-08
359.6	1.5007e-08
359.8	1.521e-08
360.0	1.5416e-08
360.2	1.5625e-08
360.4	1.5836e-08
360.6	1.6051e-08
360.8	1.6268e-08
361.0	1.6488e-08
361.2	1.6711e-08
361.4	1.6938e-08
361.6	1.7167e-08
361.8	1.7399e-08
362.0	1.7635e-08
362.2	1.7874e-08
362.4	1.8116e-08
362.6	1.8361e-08
362.8	1.8609e-08
363.0	1.8861e-08
363.2	1.9117e-08
363.4	1.9375e-08
363.6	1.9638e-08
363.8	3.7594e-08
364.0	7.6351e-08
364.2	1.5506e-07
364.4	3.1491e-07
364.6	6.3956e-07
364.8	1.2989e-06
365.0	2.6379e-06
365.2	2.6704e-06
365.4	2.7033e-06
365.6	2.7365e-06
365.8	2.7702e-06
366.0	2.8043e-06
366.2	2.8388e-06
366.4	2.8738e-06
366.6	2.9092e-06
366.8	2.945e-06
367.0	2.9812e-06
367.2	3.0179e-06
367.4	3.0551e-06
367.6	3.0927e-06
367.8	3.1307e-06
368.0	3.1693e-06
368.2	3.2083e-06
368.4	3.2478e-06
368.6	3.2877e-06
368.8	3.3017e-06
369.0	3.3012e-06
369.2	3.3007e-06
369.4	3.3002e-06
369.6	3.2997e-06
369.8	3.2993e-06
370.0	3.2988e-06
370.2	3.2983e-06
370.4	3.2978e-06
370.6	3.2973e-06
370.8	3.2968e-06
371.0	3.2963e-06
371.2	3.2958e-06
371.4	3.2953e-06
371.6	3.2948e-06
371.8	3.2943e-06
372.0	3.2938e-06
372.2	3.2933e-06
372.4	3.2928e-06
372.6	3.2923e-06
372.8	3.321e-06
373.0	3.412e-06
373.2	3.5056e-06
373.4	3.6016e-06
373.6	3.7004e-06
373.8	3.8018e-06
374.0	3.906e-06
374.2	4.013e-06
374.4	4.123e-06
374.6	4.236e-06
374.8	4.3522e-06
375.0	4.4714e-06
375.2	4.594e-06
375.4	4.7199e-06
375.6	4.8493e-06
375.8	4.9822e-06
376.0	5.1187e-06
376.2	5.259e-06
376.4	5.4032e-06
376.6	5.5513e-06
376.8	5.7018e-06
377.0	5.7494e-06
377.2	5.7974e-06
377.4	5.8458e-06
377.6	5.8945e-06
377.8	5.9437e-06
378.0	5.9933e-06
378.2	6.0433e-06
378.4	6.0938e-06
378.6	6.1446e-06
378.8	6.1959e-06
379.0	6.2476e-06
379.2	6.2997e-06
379.4	6.3523e-06
379.6	6.4053e-06
379.8	6.4587e-06
380.0	6.5126e-06
380.2	6.567e-06
380.4	6.6218e-06
380.6	6.677e-06
380.8	6.7327e-06
381.0	6.8405e-06
381.2	6.971e-06
381.4	7.104e-06
381.6	7.2395e-06
381.8	7.3776e-06
382.0	7.5183e-06
382.2	7.6617e-06
382.4	7.8079e-06
382.6	7.9568e-06
382.8	8.1086e-06
383.0	8.2633e-06
383.2	8.4209e-06
383.4	8.5815e-06
383.6	8.7452e-06
383.8	8.912e-06
384.0	9.082e-06
384.2	9.2553e-06
384.4	9.4318e-06
384.6	9.6117e-06
384.8	9.7951e-06
385.0	9.8224e-06
385.2	9.633e-06
385.4	9.4473e-06
385.6	9.2652e-06
385.8	9.0866e-06
386.0	8.9114e-06
386.2	8.7396e-06
386.4	8.5711e-06
386.6	8.4059e-06
386.8	8.2438e-06
387.0	8.0849e-06
387.2	7.929e-06
387.4	7.7762e-06
387.6	7.6262e-06
387.8	7.4792e-06
388.0	7.335e-06
388.2	7.1936e-06
388.4	7.0549e-06
388.6	6.9189e-06
388.8	6.7855e-06
389.0	6.6401e-06
389.2	6.4109e-06
389.4	6.1896e-06
389.6	5.9759e-06
389.8	5.7696e-06
390.0	5.5705e-06
390.2	5.3782e-06
390.4	5.1925e-06
390.6	5.0132e-06
390.8	4.8402e-06
391.0	4.6731e-06
391.2	4.5118e-06
391.4	4.356e-06
391.6	4.2056e-06
391.8	4.0605e-06
392.0	3.9203e-06
392.2	3.7849e-06
392.4	3.6543e-06
392.6	3.5281e-06
392.8	3.4063e-06
393.0	3.2887e-06
393.2	3.291e-06
393.4	3.3117e-06
393.6	3.3325e-06
393.8	3.3535e-06
