Typical Measured Spectrum of Semrock FF01-680/SP Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	0.00234
300.2	0.00233
300.4	0.00232
300.6	0.00231
300.8	0.0023
301.0	0.00229
301.2	0.00228
301.4	0.00227
301.6	0.00226
301.8	0.00225
302.0	0.00224
302.2	0.00223
302.4	0.00222
302.6	0.00221
302.8	0.0022
303.0	0.00219
303.2	0.00218
303.4	0.00217
303.6	0.00217
303.8	0.00215
304.0	0.00211
304.2	0.00207
304.4	0.00204
304.6	0.002
304.8	0.00196
305.0	0.00193
305.2	0.00181
305.4	0.00184
305.6	0.00185
305.8	0.00185
306.0	0.0018
306.2	0.00181
306.4	0.00187
306.6	0.00182
306.8	0.00183
307.0	0.00187
307.2	0.00177
307.4	0.00177
307.6	0.00174
307.8	0.0017
308.0	0.00178
308.2	0.00177
308.4	0.00176
308.6	0.00183
308.8	0.0019
309.0	0.00184
309.2	0.00189
309.4	0.00185
309.6	0.00183
309.8	0.00189
310.0	0.002
310.2	0.00205
310.4	0.00207
310.6	0.00202
310.8	0.00213
311.0	0.00218
311.2	0.00218
311.4	0.0022
311.6	0.0021
311.8	0.00211
312.0	0.00207
312.2	0.00202
312.4	0.0019
312.6	0.00194
312.8	0.00182
313.0	0.00181
313.2	0.00183
313.4	0.00181
313.6	0.00185
313.8	0.00192
314.0	0.00191
314.2	0.00197
314.4	0.002
314.6	0.00199
314.8	0.00199
315.0	0.00199
315.2	0.00202
315.4	0.00198
315.6	0.00211
315.8	0.00208
316.0	0.00205
316.2	0.00205
316.4	0.00204
316.6	0.00206
316.8	0.0021
317.0	0.00206
317.2	0.00213
317.4	0.00214
317.6	0.00215
317.8	0.00211
318.0	0.00214
318.2	0.00211
318.4	0.00214
318.6	0.00216
318.8	0.00217
319.0	0.00224
319.2	0.00226
319.4	0.00224
319.6	0.00233
319.8	0.00245
320.0	0.00256
320.2	0.00271
320.4	0.0028
320.6	0.00291
320.8	0.00305
321.0	0.00316
321.2	0.00355
321.4	0.00361
321.6	0.00396
321.8	0.0043
322.0	0.00456
322.2	0.00487
322.4	0.00524
322.6	0.00558
322.8	0.0058
323.0	0.00612
323.2	0.00649
323.4	0.00659
323.6	0.00667
323.8	0.00686
324.0	0.00683
324.2	0.00685
324.4	0.00687
324.6	0.00683
324.8	0.00686
325.0	0.00693
325.2	0.00706
325.4	0.0073
325.6	0.00749
325.8	0.00779
326.0	0.00799
326.2	0.0083
326.4	0.00861
326.6	0.0089
326.8	0.00924
327.0	0.00945
327.2	0.00959
327.4	0.00978
327.6	0.00987
327.8	0.01003
328.0	0.01026
328.2	0.01015
328.4	0.01026
328.6	0.01039
328.8	0.01048
329.0	0.0106
329.2	0.01078
329.4	0.01098
329.6	0.01115
329.8	0.01141
330.0	0.01161
330.2	0.01173
330.4	0.01204
330.6	0.01222
330.8	0.0124
331.0	0.01262
331.2	0.01278
331.4	0.01304
331.6	0.0133
331.8	0.01355
332.0	0.01367
332.2	0.01383
332.4	0.0139
332.6	0.01433
332.8	0.01452
333.0	0.01468
333.2	0.0149
333.4	0.015
333.6	0.01538
333.8	0.01575
334.0	0.01596
334.2	0.01627
334.4	0.01662
334.6	0.01687
334.8	0.0171
335.0	0.01732
335.2	0.01742
335.4	0.01759
335.6	0.01764
335.8	0.01745
336.0	0.01756
336.2	0.01763
336.4	0.01763
336.6	0.01761
336.8	0.01765
337.0	0.0176
337.2	0.01768
337.4	0.01781
337.6	0.01785
337.8	0.01805
338.0	0.01823
338.2	0.0184
338.4	0.01854
338.6	0.01862
338.8	0.01859
339.0	0.0187
339.2	0.01854
339.4	0.01865
339.6	0.01858
339.8	0.01853
340.0	0.01843
340.2	0.01842
340.4	0.01834
340.6	0.01839
340.8	0.01836
341.0	0.01833
341.2	0.01823
341.4	0.0184
341.6	0.01853
341.8	0.01855
342.0	0.01856
342.2	0.01862
342.4	0.0186
342.6	0.01856
342.8	0.01856
343.0	0.01859
343.2	0.0186
343.4	0.01848
343.6	0.01847
343.8	0.01857
344.0	0.01867
344.2	0.01873
344.4	0.01883
344.6	0.01881
344.8	0.01911
345.0	0.01966
345.2	0.02176
345.4	0.02829
345.6	0.03589
345.8	0.04648
346	0.081
346.2	0.18732
346.4	0.4204
346.6	0.6348
346.8	0.68236
347	0.70493
347.2	0.75316
347.4	0.7964
347.6	0.81616
347.8	0.80996
348	0.78792
348.2	0.77069
348.4	0.77587
348.6	0.80189
348.8	0.82849
349	0.83324
349.2	0.82023
349.4	0.80674
349.6	0.80462
349.8	0.81419
350	0.83025
350.2	0.84685
350.4	0.85153
350.6	0.84434
350.8	0.83342
351	0.83069
351.2	0.83811
351.4	0.84561
351.6	0.84594
351.8	0.83803
352	0.8282
352.2	0.82051
352.4	0.82045
352.6	0.82844
352.8	0.83904
353	0.84479
353.2	0.84027
353.4	0.82748
353.6	0.82095
353.8	0.82762
354	0.8422
354.2	0.85109
354.4	0.84544
354.6	0.83072
354.8	0.82415
355	0.83174
355.2	0.85014
355.4	0.86659
355.6	0.87506
355.8	0.87458
356	0.86981
356.2	0.86384
356.4	0.85911
356.6	0.86145
356.8	0.8737
357	0.889
357.2	0.89733
357.4	0.89422
357.6	0.8805
357.8	0.86722
358	0.86314
358.2	0.86296
358.4	0.86193
358.6	0.85689
358.8	0.85111
359	0.85139
359.2	0.86213
359.4	0.87599
359.6	0.88901
359.8	0.89888
360	0.90452
360.2	0.90916
360.4	0.90563
360.6	0.89497
360.8	0.88127
361	0.87269
361.2	0.87588
361.4	0.88893
361.6	0.90423
361.8	0.91235
362	0.91052
362.2	0.90694
362.4	0.9103
362.6	0.91435
362.8	0.91434
363	0.90901
363.2	0.90198
363.4	0.89469
363.6	0.88683
363.8	0.88246
364	0.88018
364.2	0.88443
364.4	0.89175
364.6	0.8966
364.8	0.8988
365	0.89526
365.2	0.89424
365.4	0.89611
365.6	0.9059
365.8	0.91671
366	0.91636
366.2	0.91195
366.4	0.90003
366.6	0.88938
366.8	0.8841
367	0.88467
367.2	0.88953
367.4	0.89492
367.6	0.90409
367.8	0.90947
368	0.91277
368.2	0.91193
368.4	0.9053
368.6	0.90032
368.8	0.90091
369	0.90539
369.2	0.90893
369.4	0.91396
369.6	0.91411
369.8	0.91231
370	0.90989
370.2	0.9125
370.4	0.91761
370.6	0.92281
370.8	0.92893
371	0.93153
371.2	0.92961
371.4	0.92614
371.6	0.92196
371.8	0.91743
372	0.91699
372.2	0.91925
372.4	0.9257
372.6	0.93195
372.8	0.93688
373	0.93855
373.2	0.93716
373.4	0.93361
373.6	0.93299
373.8	0.92536
374	0.91885
374.2	0.91481
374.4	0.90967
374.6	0.91094
374.8	0.91812
375	0.92807
375.2	0.93513
375.4	0.93332
375.6	0.9263
375.8	0.91518
376	0.90712
376.2	0.90319
376.4	0.90058
376.6	0.90037
376.8	0.89903
377	0.8985
377.2	0.90497
377.4	0.91595
377.6	0.93055
377.8	0.93752
378	0.93232
378.2	0.91582
378.4	0.90046
378.6	0.89029
378.8	0.89689
379	0.91404
379.2	0.93624
379.4	0.95162
379.6	0.95231
379.8	0.94348
380	0.93068
380.2	0.92173
380.4	0.92148
380.6	0.92543
380.8	0.93067
381	0.93305
381.2	0.92965
381.4	0.927
381.6	0.92332
381.8	0.91993
382	0.91843
382.2	0.91646
382.4	0.91659
382.6	0.91871
382.8	0.92507
383	0.9328
383.2	0.93938
383.4	0.94412
383.6	0.94394
383.8	0.9375
384	0.93033
384.2	0.92456
384.4	0.92336
384.6	0.92664
384.8	0.93159
385	0.9404
385.2	0.94827
385.4	0.95421
385.6	0.95772
385.8	0.9579
386	0.95485
386.2	0.94815
386.4	0.94179
386.6	0.93698
386.8	0.93623
387	0.93972
387.2	0.94763
387.4	0.9551
387.6	0.96132
387.8	0.9621
388	0.9572
388.2	0.94893
388.4	0.93937
388.6	0.93148
388.8	0.9272
389	0.9293
389.2	0.93631
389.4	0.94402
389.6	0.95218
389.8	0.95908
390	0.96244
390.2	0.96069
390.4	0.95656
390.6	0.95105
390.8	0.94793
391	0.94916
391.2	0.95158
391.4	0.95513
391.6	0.95785
391.8	0.95911
392	0.95656
392.2	0.95424
392.4	0.95177
392.6	0.95155
392.8	0.95301
393	0.9569
393.2	0.96025
393.4	0.96446
393.6	0.96437
393.8	0.96226
394	0.95897
394.2	0.95352
394.4	0.95143
394.6	0.95311
394.8	0.95518
395	0.96115
395.2	0.96485
395.4	0.96574
395.6	0.96222
395.8	0.95762
396	0.94999
396.2	0.94482
396.4	0.94441
396.6	0.94552
396.8	0.95156
397	0.95695
397.2	0.96078
397.4	0.9617
397.6	0.95925
397.8	0.9555
398	0.95233
398.2	0.95021
398.4	0.9508
398.6	0.95385
398.8	0.95932
399	0.96455
399.2	0.96883
399.4	0.97049
399.6	0.97018
399.8	0.96612
400	0.95867
400.2	0.95213
400.4	0.94527
400.6	0.94058
400.8	0.93987
401	0.94097
401.2	0.94627
401.4	0.95169
401.6	0.95594
401.8	0.9566
402	0.95427
402.2	0.94975
402.4	0.94536
402.6	0.94453
402.8	0.94768
403	0.95358
403.2	0.95973
403.4	0.96466
403.6	0.96511
403.8	0.96379
404	0.95836
404.2	0.95574
404.4	0.95299
404.6	0.95263
404.8	0.9548
405	0.9566
405.2	0.95986
405.4	0.96168
405.6	0.9625
405.8	0.96305
406	0.96316
406.2	0.96181
406.4	0.95949
406.6	0.95664
406.8	0.9505
407	0.94649
407.2	0.9449
407.4	0.94731
407.6	0.95354
407.8	0.96143
408	0.9678
408.2	0.97078
408.4	0.96817
408.6	0.96062
408.8	0.95207
409	0.94608
409.2	0.9458
409.4	0.95071
409.6	0.95899
409.8	0.96792
410	0.97424
410.2	0.97399
410.4	0.97062
410.6	0.96394
410.8	0.95756
411	0.95242
411.2	0.9516
411.4	0.95202
411.6	0.95564
411.8	0.95945
412	0.96483
412.2	0.96823
412.4	0.97152
412.6	0.97342
412.8	0.97229
413	0.96717
413.2	0.9603
413.4	0.95308
413.6	0.94661
413.8	0.9445
414	0.94777
414.2	0.95537
414.4	0.96581
414.6	0.97514
414.8	0.9813
415	0.97849
415.2	0.97247
415.4	0.96489
415.6	0.95645
415.8	0.95082
416	0.95084
416.2	0.95386
416.4	0.95884
416.6	0.9633
416.8	0.96432
417	0.96399
417.2	0.96285
417.4	0.96131
417.6	0.96209
417.8	0.96279
418	0.96446
418.2	0.9666
418.4	0.96887
418.6	0.97017
418.8	0.97233
419	0.97325
419.2	0.97592
419.4	0.97682
419.6	0.97723
419.8	0.97371
420	0.96885
420.2	0.96398
420.4	0.95994
420.6	0.95813
420.8	0.96047
421	0.96731
421.2	0.97402
421.4	0.9791
421.6	0.98122
421.8	0.97991
422	0.97454
422.2	0.96921
422.4	0.96607
422.6	0.96324
422.8	0.96452
423	0.96965
423.2	0.97327
423.4	0.9762
423.6	0.97612
423.8	0.97373
424	0.96967
424.2	0.9648
424.4	0.9607
424.6	0.95727
424.8	0.95579
425	0.95411
425.2	0.9551
425.4	0.95625
425.6	0.96019
425.8	0.96548
426	0.97235
426.2	0.97843
426.4	0.98308
426.6	0.98419
426.8	0.98278
427	0.97704
427.2	0.96909
427.4	0.9628
427.6	0.95842
427.8	0.95722
428	0.95897
428.2	0.9623
428.4	0.96549
428.6	0.96656
428.8	0.96656
429	0.96273
429.2	0.95895
429.4	0.95577
429.6	0.9573
429.8	0.95874
430	0.96247
430.2	0.96838
430.4	0.97342
430.6	0.97589
430.8	0.97695
431	0.97566
431.2	0.97445
431.4	0.97125
431.6	0.96848
431.8	0.96721
432	0.965
432.2	0.96471
432.4	0.96381
432.6	0.96447
432.8	0.96601
433	0.96977
433.2	0.97438
433.4	0.97932
433.6	0.98226
433.8	0.98227
434	0.97922
434.2	0.97278
434.4	0.96536
434.6	0.95918
434.8	0.9554
435	0.95559
435.2	0.96171
435.4	0.96954
435.6	0.97962
435.8	0.98769
436	0.99193
436.2	0.99195
436.4	0.98614
436.6	0.9779
436.8	0.96904
437	0.96169
437.2	0.95731
437.4	0.95759
437.6	0.96166
437.8	0.96774
438	0.97429
438.2	0.98017
438.4	0.98479
438.6	0.9852
438.8	0.9839
439	0.97961
439.2	0.97533
439.4	0.96975
439.6	0.96624
439.8	0.96303
440	0.96392
440.2	0.96862
440.4	0.97393
440.6	0.98052
440.8	0.98621
441	0.98924
441.2	0.98946
441.4	0.98354
441.6	0.97596
441.8	0.9668
442	0.9594
442.2	0.95399
442.4	0.9534
442.6	0.95626
442.8	0.96335
443	0.97103
443.2	0.97723
443.4	0.98093
443.6	0.97937
443.8	0.97651
444	0.97019
444.2	0.96506
444.4	0.95901
444.6	0.95654
444.8	0.95673
445	0.95829
445.2	0.96152
445.4	0.96457
445.6	0.96714
445.8	0.96901
446	0.97031
446.2	0.96974
446.4	0.97115
446.6	0.97156
446.8	0.97326
447	0.97338
447.2	0.97338
447.4	0.97433
447.6	0.97461
447.8	0.97596
448	0.97761
448.2	0.97966
448.4	0.98258
448.6	0.98494
448.8	0.98505
449	0.9844
449.2	0.98077
449.4	0.97568
449.6	0.97053
449.8	0.96571
450	0.96393
450.2	0.96458
450.4	0.96912
450.6	0.9738
450.8	0.98033
451	0.98555
451.2	0.98815
451.4	0.98899
451.6	0.98613
451.8	0.98206
452	0.97724
452.2	0.97306
452.4	0.96985
452.6	0.96789
452.8	0.96714
453	0.9663
453.2	0.96682
453.4	0.96624
453.6	0.96723
453.8	0.96808
454	0.96986
454.2	0.9718
454.4	0.97555
454.6	0.97832
454.8	0.98024
455	0.98128
455.2	0.9809
455.4	0.97972
455.6	0.97768
455.8	0.97804
456	0.97839
456.2	0.97974
456.4	0.98238
456.6	0.9852
456.8	0.98522
457	0.98291
457.2	0.97895
457.4	0.97326
457.6	0.96704
457.8	0.96231
458	0.96044
458.2	0.96208
458.4	0.96746
458.6	0.97567
458.8	0.98387
459	0.99091
459.2	0.99418
459.4	0.9938
459.6	0.98965
459.8	0.98301
460	0.97571
460.2	0.96968
460.4	0.9654
460.6	0.96477
460.8	0.96542
461	0.96789
461.2	0.97086
461.4	0.97299
461.6	0.9747
461.8	0.97412
462	0.97391
462.2	0.97377
462.4	0.97536
462.6	0.97794
462.8	0.98116
463	0.98468
463.2	0.98658
463.4	0.98715
463.6	0.98543
463.8	0.98234
464	0.97827
464.2	0.97628
464.4	0.97466
464.6	0.97657
464.8	0.97907
465	0.98303
465.2	0.98692
465.4	0.98618
465.6	0.98808
465.8	0.98531
466	0.9797
466.2	0.97371
466.4	0.96783
466.6	0.9637
466.8	0.96357
467	0.96701
467.2	0.97301
467.4	0.98035
467.6	0.98794
467.8	0.99339
468	0.99403
468.2	0.99186
468.4	0.98491
468.6	0.97775
468.8	0.9702
469	0.96506
469.2	0.96256
469.4	0.96333
