LIMITED MEASUREMENT RANGE
Typical Measured Spectrum of Semrock FF01-716/43 Optical Filter	
Values near or below 1e-6 are measurement noise limited.	
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
450.0	0.01387
450.2	0.01398
450.4	0.01409
450.6	0.0142
450.8	0.01432
451.0	0.01443
451.2	0.01454
451.4	0.01466
451.6	0.01477
451.8	0.01489
452.0	0.01501
452.2	0.01522
452.4	0.01551
452.6	0.01581
452.8	0.01611
453.0	0.01641
453.2	0.01673
453.4	0.01705
453.6	0.01737
453.8	0.0177
454.0	0.01804
454.2	0.01805
454.4	0.01779
454.6	0.01753
454.8	0.01728
455.0	0.01703
455.2	0.01678
455.4	0.01654
455.6	0.0163
455.8	0.01606
456.0	0.01583
456.2	0.015
456.4	0.01375
456.6	0.01261
456.8	0.01156
457.0	0.0106
457.2	0.00971
457.4	0.00891
457.6	0.00816
457.8	0.00749
458.0	0.00686
458.2	0.00585
458.4	0.00469
458.6	0.00376
458.8	0.00301
459.0	0.00241
459.2	0.00194
459.4	0.00155
459.6	0.00124
459.8	9.9716e-04
460.0	7.9936e-04
460.2	7.1157e-04
460.4	6.9159e-04
460.6	6.7217e-04
460.8	6.5329e-04
461.0	6.3494e-04
461.2	6.1711e-04
461.4	5.9978e-04
461.6	5.8294e-04
461.8	5.6657e-04
462.0	5.5066e-04
462.2	5.2359e-04
462.4	4.8872e-04
462.6	4.5616e-04
462.8	4.2578e-04
463.0	3.9742e-04
463.2	3.7094e-04
463.4	3.4624e-04
463.6	3.2317e-04
463.8	3.0165e-04
464.0	2.8155e-04
464.2	2.4021e-04
464.4	1.8983e-04
464.6	1.5002e-04
464.8	1.1856e-04
465.0	9.3693e-05
465.2	7.4043e-05
465.4	5.8514e-05
465.6	4.6242e-05
465.8	3.6544e-05
466.0	2.888e-05
466.2	2.2758e-05
466.4	1.7889e-05
466.6	1.4063e-05
466.8	1.1054e-05
467.0	8.6896e-06
467.2	6.8307e-06
467.4	5.3695e-06
467.6	4.2209e-06
467.8	3.318e-06
468.0	2.6082e-06
468.2	2.4531e-06
468.4	2.6951e-06
468.6	2.9609e-06
468.8	3.2528e-06
469.0	3.5736e-06
469.2	3.9261e-06
469.4	4.3132e-06
469.6	4.7386e-06
469.8	5.2059e-06
470.0	5.7193e-06
470.2	6.0305e-06
470.4	6.1348e-06
470.6	6.241e-06
470.8	6.3489e-06
471.0	6.4587e-06
471.2	6.5705e-06
471.4	6.6841e-06
471.6	6.7997e-06
471.8	6.9173e-06
472.0	7.037e-06
472.2	6.7806e-06
472.4	6.2291e-06
472.6	5.7224e-06
472.8	5.2569e-06
473.0	4.8293e-06
473.2	4.4365e-06
473.4	4.0756e-06
473.6	3.7441e-06
473.8	3.4395e-06
474.0	3.1597e-06
474.2	2.464e-06
474.4	1.6617e-06
474.6	1.1206e-06
474.8	7.5572e-07
475.0	5.0964e-07
475.2	3.4369e-07
475.4	2.3178e-07
475.6	1.563e-07
475.8	1.0541e-07
476.0	7.1085e-08
476.2	6.069e-08
476.4	6.3974e-08
476.6	6.7437e-08
476.8	7.1087e-08
477.0	7.4935e-08
477.2	7.8991e-08
477.4	8.3267e-08
477.6	8.7774e-08
477.8	9.2525e-08
478.0	9.7533e-08
478.2	1.0e-07
478.4	1.0e-07
478.6	1.0e-07
478.8	1.0e-07
479.0	1.0e-07
479.2	1.0e-07
479.4	1.0e-07
479.6	1.0e-07
479.8	1.0e-07
480.0	1.0e-07
480.2	9.613e-08
480.4	8.9156e-08
480.6	8.2688e-08
480.8	7.6689e-08
481.0	7.1125e-08
481.2	6.5965e-08
481.4	6.118e-08
481.6	5.6741e-08
481.8	5.2625e-08
482.0	4.8807e-08
482.2	5.2304e-08
482.4	6.398e-08
482.6	7.8262e-08
482.8	9.5732e-08
483.0	1.171e-07
483.2	1.4324e-07
483.4	1.7522e-07
483.6	2.1433e-07
483.8	2.6218e-07
484.0	3.2071e-07
484.2	3.6038e-07
484.4	3.7447e-07
484.6	3.8911e-07
484.8	4.0433e-07
485.0	4.2014e-07
485.2	4.3656e-07
485.4	4.5363e-07
485.6	4.7137e-07
485.8	4.898e-07
486.0	5.0894e-07
486.2	5.1589e-07
486.4	5.1102e-07
486.6	5.0619e-07
486.8	5.0141e-07
487.0	4.9667e-07
487.2	4.9197e-07
487.4	4.8732e-07
487.6	4.8272e-07
487.8	4.7816e-07
488.0	4.7364e-07
488.2	4.7323e-07
488.4	4.7668e-07
488.6	4.8014e-07
488.8	4.8364e-07
489.0	4.8715e-07
489.2	4.907e-07
489.4	4.9427e-07
489.6	4.9786e-07
489.8	5.0148e-07
490.0	5.0513e-07
490.2	4.833e-07
490.4	4.4048e-07
490.6	4.0145e-07
490.8	3.6588e-07
491.0	3.3346e-07
491.2	3.0392e-07
491.4	2.7699e-07
491.6	2.5245e-07
491.8	2.3008e-07
492.0	2.097e-07
492.2	1.9341e-07
492.4	1.8042e-07
492.6	1.6831e-07
492.8	1.57e-07
493.0	1.4646e-07
493.2	1.3663e-07
493.4	1.2745e-07
493.6	1.1889e-07
493.8	1.1091e-07
494.0	1.0346e-07
494.2	1.0e-07
494.4	1.0e-07
494.6	1.0e-07
494.8	1.0e-07
495.0	1.0e-07
495.2	1.0e-07
495.4	1.0e-07
495.6	1.0e-07
495.8	1.0e-07
496.0	1.0e-07
496.2	1.0e-07
496.4	1.0e-07
496.6	1.0e-07
496.8	1.0e-07
497.0	1.0e-07
497.2	1.0e-07
497.4	1.0e-07
497.6	1.0e-07
497.8	1.0e-07
498.0	1.0e-07
498.2	8.9745e-08
498.4	7.2474e-08
498.6	5.8526e-08
498.8	4.7263e-08
499.0	3.8168e-08
499.2	3.0822e-08
499.4	2.4891e-08
499.6	2.0101e-08
499.8	1.6232e-08
500.0	1.3109e-08
500.2	1.3094e-08
500.4	1.6119e-08
500.6	1.9844e-08
500.8	2.443e-08
501.0	3.0075e-08
501.2	3.7025e-08
501.4	4.5581e-08
501.6	5.6114e-08
501.8	6.9081e-08
502.0	8.5044e-08
502.2	8.9782e-08
502.4	8.1393e-08
502.6	7.3788e-08
502.8	6.6894e-08
503.0	6.0644e-08
503.2	5.4977e-08
503.4	4.9841e-08
503.6	4.5184e-08
503.8	4.0962e-08
504.0	3.7135e-08
504.2	3.7245e-08
504.4	4.1325e-08
504.6	4.5852e-08
504.8	5.0874e-08
505.0	5.6447e-08
505.2	6.263e-08
505.4	6.949e-08
505.6	7.7102e-08
505.8	8.5548e-08
