Typical Measured Spectrum of Semrock FF01-832/37 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	1.9545e-07
300.2	1.9337e-07
300.4	1.9131e-07
300.6	1.8927e-07
300.8	1.8726e-07
301.0	1.8526e-07
301.2	1.8329e-07
301.4	1.8134e-07
301.6	1.7941e-07
301.8	1.7727e-07
302.0	1.7492e-07
302.2	1.726e-07
302.4	1.7032e-07
302.6	1.6806e-07
302.8	1.6584e-07
303.0	1.6364e-07
303.2	1.6148e-07
303.4	1.5934e-07
303.6	1.5723e-07
303.8	1.5515e-07
304.0	1.5309e-07
304.2	1.5106e-07
304.4	1.4906e-07
304.6	1.4709e-07
304.8	1.4514e-07
305.0	1.4322e-07
305.2	1.4162e-07
305.4	1.4004e-07
305.6	1.3875e-07
305.8	1.3841e-07
306.0	1.3807e-07
306.2	1.3773e-07
306.4	1.3739e-07
306.6	1.3705e-07
306.8	1.3672e-07
307.0	1.3638e-07
307.2	1.3604e-07
307.4	1.3571e-07
307.6	1.3537e-07
307.8	1.3504e-07
308.0	1.3471e-07
308.2	1.3437e-07
308.4	1.3404e-07
308.6	1.3371e-07
308.8	1.3338e-07
309.0	1.3306e-07
309.2	1.3273e-07
309.4	1.3234e-07
309.6	1.3191e-07
309.8	1.3147e-07
310.0	1.3104e-07
310.2	1.3061e-07
310.4	1.3018e-07
310.6	1.2976e-07
310.8	1.2933e-07
311.0	1.2891e-07
311.2	1.2849e-07
311.4	1.2807e-07
311.6	1.2765e-07
311.8	1.2723e-07
312.0	1.2681e-07
312.2	1.2639e-07
312.4	1.2598e-07
312.6	1.2557e-07
312.8	1.2516e-07
313.0	1.2475e-07
313.2	1.2427e-07
313.4	1.238e-07
313.6	1.2332e-07
313.8	1.2285e-07
314.0	1.2238e-07
314.2	1.2191e-07
314.4	1.2145e-07
314.6	1.2098e-07
314.8	1.2052e-07
315.0	1.2006e-07
315.2	1.196e-07
315.4	1.1914e-07
315.6	1.1868e-07
315.8	1.1823e-07
316.0	1.1778e-07
316.2	1.1732e-07
316.4	1.1688e-07
316.6	1.1643e-07
316.8	1.1894e-07
317.0	1.3054e-07
317.2	1.4326e-07
317.4	1.5723e-07
317.6	1.7256e-07
317.8	1.8939e-07
318.0	2.0785e-07
318.2	2.2812e-07
318.4	2.5036e-07
318.6	2.7477e-07
318.8	3.0156e-07
319.0	3.3097e-07
319.2	3.6324e-07
319.4	3.9865e-07
319.6	4.3752e-07
319.8	4.8018e-07
320.0	5.27e-07
320.2	5.7839e-07
320.4	6.3478e-07
320.6	6.5658e-07
320.8	6.544e-07
321.0	6.5223e-07
321.2	6.5006e-07
321.4	6.479e-07
321.6	6.4575e-07
321.8	6.436e-07
322.0	6.4146e-07
322.2	6.3933e-07
322.4	6.372e-07
322.6	6.3509e-07
322.8	6.3298e-07
323.0	6.3087e-07
323.2	6.2878e-07
323.4	6.2669e-07
323.6	6.246e-07
323.8	6.2253e-07
324.0	6.2046e-07
324.2	6.184e-07
324.4	6.1108e-07
324.6	6.0378e-07
324.8	5.9656e-07
325.0	5.8943e-07
325.2	5.8238e-07
325.4	5.7542e-07
325.6	5.6854e-07
325.8	5.6175e-07
326.0	5.5503e-07
326.2	5.484e-07
326.4	5.4184e-07
326.6	5.3536e-07
326.8	5.2897e-07
327.0	5.2264e-07
327.2	5.1639e-07
327.4	5.1022e-07
327.6	5.0412e-07
327.8	4.981e-07
328.0	4.8213e-07
328.2	4.4956e-07
328.4	4.192e-07
328.6	3.9088e-07
328.8	3.6448e-07
329.0	3.3986e-07
329.2	3.1691e-07
329.4	2.955e-07
329.6	2.7554e-07
329.8	2.5693e-07
330.0	2.3958e-07
330.2	2.234e-07
330.4	2.0831e-07
330.6	1.9424e-07
330.8	1.8112e-07
331.0	1.6888e-07
331.2	1.5748e-07
331.4	1.4684e-07
331.6	1.3692e-07
331.8	1.3194e-07
332.0	1.2862e-07
332.2	1.2539e-07
332.4	1.2223e-07
332.6	1.1916e-07
332.8	1.1616e-07
333.0	1.1324e-07
333.2	1.1039e-07
333.4	1.0761e-07
333.6	1.049e-07
333.8	1.0226e-07
334.0	9.9691e-08
334.2	9.7183e-08
334.4	9.4738e-08
334.6	9.2354e-08
334.8	9.003e-08
335.0	8.7765e-08
335.2	9.6626e-08
335.4	1.0638e-07
335.6	1.1663e-07
335.8	1.2649e-07
336.0	1.3718e-07
336.2	1.4877e-07
336.4	1.6134e-07
336.6	1.7498e-07
336.8	1.8976e-07
337.0	2.058e-07
337.2	2.2319e-07
337.4	2.4206e-07
337.6	2.6251e-07
337.8	2.847e-07
338.0	3.0876e-07
338.2	3.3485e-07
338.4	3.6315e-07
338.6	3.9384e-07
338.8	4.2712e-07
339.0	4.6322e-07
339.2	5.0237e-07
339.4	4.7355e-07
339.6	4.1324e-07
339.8	3.6061e-07
340.0	3.1468e-07
340.2	2.746e-07
340.4	2.3963e-07
340.6	2.0911e-07
340.8	1.8248e-07
341.0	1.5924e-07
341.2	1.3896e-07
341.4	1.2126e-07
341.6	1.0582e-07
341.8	9.2338e-08
342.0	8.0578e-08
342.2	7.0316e-08
342.4	6.136e-08
342.6	5.3545e-08
342.8	4.6726e-08
343.0	4.092e-08
343.2	4.5301e-08
343.4	5.015e-08
343.6	5.5518e-08
343.8	6.1461e-08
344.0	6.804e-08
344.2	7.5323e-08
344.4	8.3386e-08
344.6	9.2312e-08
344.8	1.0219e-07
345.0	1.1313e-07
345.2	1.2524e-07
345.4	1.3865e-07
345.6	1.5349e-07
345.8	1.6992e-07
346.0	1.8811e-07
346.2	2.0825e-07
346.4	2.3054e-07
346.6	2.5522e-07
346.8	2.6043e-07
347.0	2.3517e-07
347.2	2.1236e-07
347.4	1.9177e-07
347.6	1.7317e-07
347.8	1.5638e-07
348.0	1.4121e-07
348.2	1.2752e-07
348.4	1.1515e-07
348.6	1.0398e-07
348.8	9.3899e-08
349.0	8.4792e-08
349.2	7.6569e-08
349.4	6.9144e-08
349.6	6.2438e-08
349.8	5.6383e-08
350.0	5.0915e-08
350.2	4.5977e-08
350.4	4.1518e-08
350.6	4.0672e-08
350.8	4.0741e-08
351.0	4.081e-08
351.2	4.0879e-08
351.4	4.0948e-08
351.6	4.1018e-08
351.8	4.1088e-08
352.0	4.1157e-08
352.2	4.1227e-08
352.4	4.1297e-08
352.6	4.1367e-08
352.8	4.1438e-08
353.0	4.1508e-08
353.2	4.1578e-08
353.4	4.1649e-08
353.6	4.172e-08
353.8	4.179e-08
354.0	4.1861e-08
354.2	4.3106e-08
354.4	5.0128e-08
354.6	5.8294e-08
354.8	6.7791e-08
355.0	7.8834e-08
355.2	9.1677e-08
355.4	1.0661e-07
355.6	1.2398e-07
355.8	1.4418e-07
356.0	1.6766e-07
356.2	1.9497e-07
356.4	2.2674e-07
356.6	2.6367e-07
356.8	3.0663e-07
357.0	3.5658e-07
357.2	4.1467e-07
357.4	4.8222e-07
357.6	5.6077e-07
357.8	6.5212e-07
358.0	6.8567e-07
358.2	6.722e-07
358.4	6.5899e-07
358.6	6.4605e-07
358.8	6.3335e-07
359.0	6.2091e-07
359.2	6.0871e-07
359.4	5.9675e-07
359.6	5.8502e-07
359.8	5.7353e-07
360.0	5.6226e-07
360.2	5.5121e-07
360.4	5.4038e-07
360.6	5.2976e-07
360.8	5.1936e-07
361.0	5.0915e-07
361.2	4.9915e-07
361.4	4.8934e-07
361.6	4.7973e-07
361.8	5.9876e-07
362.0	7.4732e-07
362.2	9.3275e-07
362.4	1.1642e-06
362.6	1.453e-06
362.8	1.8136e-06
363.0	2.2636e-06
363.2	2.8252e-06
363.4	3.5262e-06
363.6	4.4011e-06
363.8	5.4931e-06
364.0	6.8561e-06
364.2	8.5573e-06
364.4	1.0681e-05
364.6	1.3331e-05
364.8	1.6638e-05
365.0	2.0767e-05
365.2	3.254e-05
365.4	3.8495e-05
365.6	4.2122e-05
365.8	3.9669e-05
366.0	3.6439e-05
366.2	3.2487e-05
366.4	3.5018e-05
366.6	3.9527e-05
366.8	3.7934e-05
367.0	3.894e-05
367.2	4.4722e-05
367.4	4.5919e-05
367.6	4.4781e-05
367.8	4.7797e-05
368.0	5.0395e-05
368.2	5.1527e-05
368.4	5.176e-05
368.6	5.1397e-05
368.8	5.6238e-05
369.0	6.138e-05
369.2	6.4174e-05
369.4	8.1019e-05
369.6	1.2132e-04
369.8	1.9358e-04
370.0	3.2557e-04
370.2	7.0039e-04
370.4	0.00101
370.6	8.9433e-04
370.8	0.00106
371.0	0.00141
371.2	0.00253
371.4	0.00352
371.6	0.00317
371.8	0.00274
372.0	0.00232
372.2	0.00288
372.4	0.00355
372.6	0.00425
372.8	0.00386
373.0	0.00293
373.2	0.00214
373.4	0.0016
373.6	0.0013
373.8	9.9311e-04
374.0	7.1824e-04
374.2	4.2558e-04
374.4	2.5016e-04
374.6	1.799e-04
374.8	1.3947e-04
375.0	1.1854e-04
375.2	1.0561e-04
375.4	9.613e-05
375.6	9.5648e-05
375.8	9.1869e-05
376.0	8.32e-05
376.2	8.096e-05
376.4	8.1489e-05
376.6	8.3018e-05
376.8	8.2949e-05
377.0	7.9188e-05
377.2	8.5798e-05
377.4	1.008e-04
377.6	1.0755e-04
377.8	1.0914e-04
378.0	9.6047e-05
378.2	8.6809e-05
378.4	8.0299e-05
378.6	8.0797e-05
378.8	8.2554e-05
379.0	8.4306e-05
379.2	8.6095e-05
379.4	8.7922e-05
379.6	8.6681e-05
379.8	8.4864e-05
380.0	8.6549e-05
380.2	8.9423e-05
380.4	9.4292e-05
380.6	1.031e-04
380.8	1.1463e-04
381.0	1.4708e-04
381.2	1.7189e-04
381.4	1.6398e-04
381.6	1.5375e-04
381.8	1.4267e-04
382.0	1.5356e-04
382.2	1.6932e-04
382.4	1.9483e-04
382.6	2.3914e-04
382.8	3.0913e-04
383.0	4.8697e-04
383.2	8.0303e-04
383.4	0.00142
383.6	0.00194
383.8	0.002
384.0	0.00158
384.2	0.00118
384.4	9.9144e-04
384.6	8.9261e-04
384.8	8.8463e-04
385.0	9.4537e-04
385.2	0.00105
385.4	0.00144
385.6	0.00222
385.8	0.00423
386.0	0.0089
386.2	0.01965
386.4	0.01893
386.6	0.0154
386.8	0.00867
387.0	0.00572
387.2	0.00422
387.4	0.00378
387.6	0.0035
387.8	0.00339
388.0	0.00328
388.2	0.00319
388.4	0.00324
388.6	0.00335
388.8	0.00367
389.0	0.00393
389.2	0.00409
389.4	0.00378
389.6	0.00332
389.8	0.00253
390.0	0.00191
390.2	0.00142
390.4	0.00111
390.6	8.8834e-04
390.8	7.9667e-04
391.0	7.5816e-04
391.2	8.2094e-04
391.4	9.6553e-04
391.6	0.00119
391.8	0.00156
392.0	0.00201
392.2	0.00243
392.4	0.00253
392.6	0.00234
392.8	0.0019
393.0	0.00153
393.2	0.00127
393.4	0.00114
393.6	0.0011
393.8	0.00124
394.0	0.00147
394.2	0.00209
394.4	0.0032
394.6	0.00542
394.8	0.00751
395.0	0.00945
395.2	0.00728
395.4	0.00545
395.6	0.00388
395.8	0.00323
396.0	0.00288
396.2	0.00331
396.4	0.0041
396.6	0.006
396.8	0.0088
397.0	0.01296
397.2	0.01327
397.4	0.00903
397.6	0.00591
397.8	0.00417
398.0	0.00315
398.2	0.00257
398.4	0.0022
398.6	0.00193
398.8	0.00171
399.0	0.00143
399.2	0.00119
399.4	9.7686e-04
399.6	8.1507e-04
399.8	7.2473e-04
400.0	6.7255e-04
400.2	6.5286e-04
400.4	7.1966e-04
400.6	8.3893e-04
400.8	0.00105
401.0	0.00148
401.2	0.0023
401.4	0.00355
401.6	0.00437
401.8	0.00386
402.0	0.00271
402.2	0.00183
402.4	0.00139
402.6	0.00111
402.8	9.9918e-04
403.0	9.6499e-04
403.2	0.00103
403.4	0.00116
403.6	0.00146
403.8	0.00191
404.0	0.00263
404.2	0.00311
404.4	0.00292
404.6	0.00226
404.8	0.0016
405.0	0.0012
405.2	9.8894e-04
405.4	8.6429e-04
405.6	7.8631e-04
405.8	7.8113e-04
406.0	8.3657e-04
406.2	9.6458e-04
406.4	0.00119
406.6	0.00155
406.8	0.00215
407.0	0.00283
407.2	0.00312
407.4	0.00281
407.6	0.00227
407.8	0.00173
408.0	0.00134
408.2	0.00111
408.4	9.8781e-04
408.6	9.3262e-04
408.8	9.1543e-04
409.0	9.3613e-04
409.2	0.00102
409.4	0.00116
409.6	0.00137
409.8	0.00165
410.0	0.00202
410.2	0.00254
410.4	0.00305
410.6	0.00348
410.8	0.00372
411.0	0.00372
411.2	0.00347
411.4	0.00323
411.6	0.00303
411.8	0.00286
412.0	0.00285
412.2	0.00294
412.4	0.0032
412.6	0.00367
412.8	0.00444
413.0	0.00565
413.2	0.00743
413.4	0.0095
413.6	0.01106
413.8	0.01114
414.0	0.00982
414.2	0.0081
414.4	0.00666
414.6	0.0057
414.8	0.00521
415.0	0.00505
415.2	0.00508
415.4	0.00525
415.6	0.00544
415.8	0.00531
416.0	0.00477
416.2	0.00399
416.4	0.00315
416.6	0.00249
416.8	0.00203
417.0	0.00171
417.2	0.0015
417.4	0.0014
417.6	0.00136
417.8	0.00139
418.0	0.0015
418.2	0.0017
418.4	0.00203
418.6	0.00249
418.8	0.00324
419.0	0.0041
419.2	0.00474
419.4	0.00481
419.6	0.00439
419.8	0.00377
420.0	0.00327
420.2	0.00293
420.4	0.0028
420.6	0.00286
420.8	0.00308
421.0	0.00362
421.2	0.00446
421.4	0.00569
421.6	0.0072
421.8	0.00859
422.0	0.00903
422.2	0.00853
422.4	0.00761
422.6	0.00687
422.8	0.00648
423.0	0.00654
423.2	0.00696
423.4	0.00741
423.6	0.00727
423.8	0.00613
424.0	0.00447
424.2	0.00301
424.4	0.00205
424.6	0.00145
424.8	0.00108
425.0	8.4377e-04
425.2	7.0343e-04
425.4	5.9456e-04
425.6	5.3694e-04
425.8	4.9649e-04
426.0	4.5354e-04
426.2	4.2102e-04
426.4	3.9164e-04
426.6	3.7211e-04
426.8	3.4717e-04
427.0	3.1914e-04
427.2	2.8157e-04
427.4	2.5506e-04
427.6	2.2695e-04
427.8	2.0248e-04
428.0	1.8696e-04
428.2	1.8228e-04
428.4	1.6149e-04
428.6	1.6238e-04
428.8	1.6181e-04
429.0	1.6262e-04
429.2	1.6682e-04
429.4	1.6856e-04
429.6	1.7365e-04
429.8	1.8919e-04
430.0	2.193e-04
430.2	2.499e-04
430.4	2.7413e-04
430.6	3.0772e-04
430.8	3.2645e-04
431.0	3.2927e-04
431.2	3.1237e-04
431.4	2.768e-04
431.6	2.4095e-04
431.8	2.0538e-04
432.0	1.7253e-04
432.2	1.5337e-04
432.4	1.3751e-04
432.6	1.1472e-04
432.8	1.0041e-04
433.0	9.3091e-05
433.2	8.5817e-05
433.4	8.1813e-05
