Typical Measured Spectrum of Semrock LL01-785 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	2.3436e-07
300.2	2.6052e-07
300.4	2.8959e-07
300.6	3.2191e-07
300.8	3.5784e-07
301.0	3.9777e-07
301.2	4.4216e-07
301.4	4.9151e-07
301.6	5.4636e-07
301.8	6.0734e-07
302.0	6.7512e-07
302.2	7.5046e-07
302.4	8.3421e-07
302.6	9.2731e-07
302.8	1.0308e-06
303.0	1.1458e-06
303.2	1.2737e-06
303.4	1.4159e-06
303.6	1.5739e-06
303.8	1.7378e-06
304.0	1.7265e-06
304.2	1.7152e-06
304.4	1.7041e-06
304.6	1.693e-06
304.8	1.682e-06
305.0	1.6711e-06
305.2	2.0643e-06
305.4	3.2551e-06
305.6	3.4014e-06
305.8	2.1777e-06
306.0	2.1643e-06
306.2	3.4948e-06
306.4	4.2247e-06
306.6	6.2895e-06
306.8	1.6215e-05
307.0	2.8739e-06
307.2	2.0032e-06
307.4	3.5064e-06
307.6	6.9565e-06
307.8	4.0385e-06
308.0	7.9696e-06
308.2	4.1883e-06
308.4	3.1538e-06
308.6	6.9931e-06
308.8	2.3718e-06
309.0	2.0529e-06
309.2	3.4228e-06
309.4	4.8292e-06
309.6	2.175e-06
309.8	5.2206e-06
310.0	3.4272e-06
310.2	2.2165e-06
310.4	2.9711e-06
310.6	1.2217e-05
310.8	3.702e-06
311.0	6.048e-06
311.2	8.8579e-06
311.4	2.1867e-06
311.6	2.1321e-06
311.8	2.0733e-06
312.0	3.2108e-06
312.2	5.3833e-06
312.4	3.8237e-06
312.6	8.7822e-06
312.8	5.9867e-06
313.0	2.8925e-06
313.2	1.8394e-06
313.4	1.8502e-06
313.6	3.0119e-06
313.8	2.6889e-06
314.0	1.8829e-06
314.2	1.9509e-06
314.4	3.3533e-06
314.6	2.4463e-06
314.8	1.8612e-06
315.0	2.2519e-06
315.2	5.2864e-06
315.4	2.3947e-06
315.6	4.6982e-06
315.8	6.1108e-06
316.0	2.0672e-06
316.2	6.1204e-06
316.4	2.8236e-06
316.6	1.7848e-06
316.8	2.4785e-06
317.0	6.8499e-06
317.2	2.2916e-06
317.4	3.942e-06
317.6	4.111e-06
317.8	2.0254e-06
318.0	4.7591e-06
318.2	2.2714e-06
318.4	1.6707e-06
318.6	1.6631e-06
318.8	1.8463e-06
319.0	5.4583e-06
319.2	6.5647e-06
319.4	7.1736e-06
319.6	7.6879e-06
319.8	6.378e-06
320.0	6.2964e-06
320.2	2.8246e-06
320.4	1.5362e-06
320.6	1.6778e-06
320.8	2.8837e-06
321.0	4.9962e-06
321.2	4.4153e-06
321.4	4.0595e-06
321.6	7.3416e-06
321.8	2.1374e-06
322.0	2.6283e-06
322.2	2.611e-06
322.4	2.0334e-06
322.6	3.5416e-06
322.8	6.1031e-06
323.0	8.0491e-06
323.2	5.093e-06
323.4	2.2079e-06
323.6	1.0958e-05
323.8	3.0555e-06
324.0	1.5454e-06
324.2	1.4884e-06
324.4	1.4748e-06
324.6	2.4613e-06
324.8	1.7667e-06
325.0	1.3269e-06
325.2	1.3107e-06
325.4	1.3022e-06
325.6	2.1933e-06
325.8	1.7962e-06
326.0	1.3062e-06
326.2	1.3084e-06
326.4	1.3066e-06
326.6	3.8762e-06
326.8	3.0646e-06
327.0	1.2767e-06
327.2	1.3031e-06
327.4	3.0291e-06
327.6	1.877e-06
327.8	2.0336e-06
328.0	4.6435e-06
328.2	4.5448e-06
328.4	3.596e-06
328.6	5.8474e-06
328.8	7.4897e-06
329.0	3.9495e-06
329.2	2.2615e-06
329.4	1.2943e-06
329.6	2.4503e-06
329.8	7.0368e-06
330.0	6.9373e-06
330.2	6.0854e-06
330.4	6.9393e-06
330.6	6.9204e-06
330.8	5.734e-06
331.0	5.6783e-06
331.2	4.1693e-06
331.4	7.3831e-06
331.6	1.214e-05
331.8	8.1281e-06
332.0	3.114e-06
332.2	4.2136e-06
332.4	5.9924e-06
332.6	5.923e-06
332.8	3.4897e-06
333.0	5.3754e-06
333.2	7.3683e-06
333.4	7.0067e-06
333.6	5.7471e-06
333.8	1.0487e-05
334.0	8.3265e-06
334.2	6.6027e-06
334.4	6.0653e-06
334.6	6.9617e-06
334.8	1.073e-05
335.0	9.7233e-06
335.2	1.0158e-05
335.4	1.0837e-05
335.6	7.8722e-06
335.8	1.1229e-05
336.0	8.6386e-06
336.2	7.9124e-06
336.4	1.0024e-05
336.6	8.7541e-06
336.8	8.05e-06
337.0	5.6911e-06
337.2	4.599e-06
337.4	5.9103e-06
337.6	9.6253e-06
337.8	1.2124e-05
338.0	1.0641e-05
338.2	8.7737e-06
338.4	1.0912e-05
338.6	1.2387e-05
338.8	1.3079e-05
339.0	1.242e-05
339.2	1.1372e-05
339.4	1.2751e-05
339.6	1.1234e-05
339.8	1.1855e-05
340.0	1.3985e-05
340.2	1.5725e-05
340.4	1.0805e-05
340.6	1.051e-05
340.8	1.0627e-05
341.0	1.1505e-05
341.2	1.5059e-05
341.4	1.3114e-05
341.6	1.1199e-05
341.8	1.0677e-05
342.0	1.1825e-05
342.2	1.4421e-05
342.4	1.1013e-05
342.6	1.0492e-05
342.8	1.1264e-05
343.0	1.2131e-05
343.2	1.3724e-05
343.4	1.5299e-05
343.6	1.4378e-05
343.8	1.2808e-05
344.0	1.3189e-05
344.2	1.4354e-05
344.4	1.6119e-05
344.6	1.712e-05
344.8	1.6937e-05
345.0	1.642e-05
345.2	1.4325e-05
345.4	1.5415e-05
345.6	1.7918e-05
345.8	1.9078e-05
346.0	1.4296e-05
346.2	1.5313e-05
346.4	1.7579e-05
346.6	1.9905e-05
346.8	2.1153e-05
347.0	1.7696e-05
347.2	1.6494e-05
347.4	1.6625e-05
347.6	1.754e-05
347.8	1.8495e-05
348.0	2.0942e-05
348.2	2.0985e-05
348.4	2.0407e-05
348.6	2.0454e-05
348.8	2.0437e-05
349.0	2.1055e-05
349.2	2.0202e-05
349.4	1.9295e-05
349.6	1.9951e-05
349.8	2.1267e-05
350.0	2.1975e-05
350.2	2.0862e-05
350.4	1.9492e-05
350.6	2.0992e-05
350.8	1.7225e-05
351.0	2.1784e-05
351.2	2.5379e-05
351.4	2.2579e-05
351.6	2.2518e-05
351.8	2.0979e-05
352.0	2.0031e-05
352.2	2.0599e-05
352.4	2.3175e-05
352.6	2.4503e-05
352.8	2.4362e-05
353.0	2.0792e-05
353.2	1.7565e-05
353.4	1.894e-05
353.6	1.982e-05
353.8	1.8859e-05
354.0	1.8619e-05
354.2	1.9305e-05
354.4	1.82e-05
354.6	1.8526e-05
354.8	1.7003e-05
355.0	1.7104e-05
355.2	2.0714e-05
355.4	2.0227e-05
355.6	2.1281e-05
355.8	2.8096e-05
356.0	4.0067e-05
356.2	4.8715e-05
356.4	5.277e-05
356.6	6.2944e-05
356.8	7.6852e-05
357.0	9.6802e-05
357.2	1.3615e-04
357.4	1.683e-04
357.6	1.7342e-04
357.8	1.6092e-04
358.0	1.4383e-04
358.2	1.2989e-04
358.4	1.3292e-04
358.6	1.4157e-04
358.8	1.6315e-04
359.0	2.1436e-04
359.2	3.3368e-04
359.4	5.4941e-04
359.6	9.0392e-04
359.8	0.00134
360.0	0.00156
360.2	0.00129
360.4	9.4137e-04
360.6	6.6712e-04
360.8	4.8474e-04
361.0	3.6988e-04
361.2	3.1457e-04
361.4	2.8124e-04
361.6	2.6885e-04
361.8	2.7888e-04
362.0	3.1319e-04
362.2	3.7643e-04
362.4	5.0253e-04
362.6	7.4784e-04
362.8	0.00123
363.0	0.0025
363.2	0.00522
363.4	0.00931
363.6	0.01275
363.8	0.01261
364.0	0.01117
364.2	0.01044
364.4	0.01
364.6	0.00932
364.8	0.00765
365.0	0.00571
365.2	0.00403
365.4	0.00223
365.6	0.00122
365.8	8.5754e-04
366.0	6.9623e-04
366.2	5.9028e-04
366.4	5.1085e-04
366.6	3.9058e-04
366.8	4.1341e-04
367.0	4.0756e-04
367.2	3.0306e-04
367.4	3.5645e-04
367.6	4.2892e-04
367.8	3.7681e-04
368.0	3.5561e-04
368.2	3.1386e-04
368.4	3.4036e-04
368.6	4.1805e-04
368.8	5.1532e-04
369.0	3.9125e-04
369.2	3.7382e-04
369.4	4.0993e-04
369.6	4.83e-04
369.8	4.3316e-04
370.0	4.7475e-04
370.2	5.201e-04
370.4	6.2506e-04
370.6	7.5198e-04
370.8	9.9346e-04
371.0	0.00116
371.2	0.00115
371.4	8.9564e-04
371.6	6.9338e-04
371.8	5.9818e-04
372.0	5.9572e-04
372.2	4.8881e-04
372.4	5.4503e-04
372.6	4.6995e-04
372.8	4.8639e-04
373.0	4.4648e-04
373.2	4.6473e-04
373.4	4.1287e-04
373.6	4.7081e-04
373.8	5.4066e-04
374.0	6.1825e-04
374.2	7.0322e-04
374.4	8.1722e-04
374.6	8.559e-04
374.8	0.00126
375.0	0.00195
375.2	0.00346
375.4	0.00827
375.6	0.01554
375.8	0.01317
376.0	0.00851
376.2	0.00666
376.4	0.00671
376.6	0.00813
376.8	0.01338
377.0	0.03252
377.2	0.0765
377.4	0.04967
377.6	0.01661
377.8	0.00796
378.0	0.00529
378.2	0.00406
378.4	0.00352
378.6	0.00315
378.8	0.003
379.0	0.00306
379.2	0.00304
379.4	0.00285
379.6	0.00259
379.8	0.00214
380.0	0.00182
380.2	0.00155
380.4	0.00137
380.6	0.00127
380.8	0.00122
381.0	0.00114
381.2	0.00113
381.4	0.00104
381.6	0.00102
381.8	0.00105
382.0	0.00106
382.2	0.00101
382.4	0.00103
382.6	0.00106
382.8	0.00103
383.0	0.0011
383.2	0.00111
383.4	0.00102
383.6	0.00113
383.8	0.0013
384.0	0.0014
384.2	0.00158
384.4	0.00189
384.6	0.00226
384.8	0.00299
385.0	0.00429
385.2	0.00744
385.4	0.01566
385.6	0.04921
385.8	0.16066
386.0	0.15876
386.2	0.06757
386.4	0.03796
386.6	0.03015
386.8	0.02924
387.0	0.03377
387.2	0.04643
387.4	0.07844
387.6	0.17137
387.8	0.37801
388.0	0.39329
388.2	0.19637
388.4	0.09465
388.6	0.05655
388.8	0.03877
389.0	0.02871
389.2	0.02213
389.4	0.01759
389.6	0.01423
389.8	0.01178
390.0	0.01008
390.2	0.00898
390.4	0.00821
390.6	0.00788
390.8	0.00812
391.0	0.00876
391.2	0.0102
391.4	0.01243
391.6	0.01589
391.8	0.01958
392.0	0.01964
392.2	0.015
392.4	0.00979
392.6	0.00639
392.8	0.00437
393.0	0.00325
393.2	0.0026
393.4	0.00208
393.6	0.00178
393.8	0.00164
394.0	0.00148
394.2	0.00137
394.4	0.00135
394.6	0.00131
394.8	0.00127
395.0	9.1206e-04
395.2	9.089e-04
395.4	9.5774e-04
395.6	0.00106
395.8	0.00118
396.0	0.00134
396.2	0.00157
396.4	0.00186
396.6	0.00224
396.8	0.00273
397.0	0.00336
397.2	0.0041
397.4	0.00517
397.6	0.00668
397.8	0.00925
398.0	0.0139
398.2	0.02354
398.4	0.03899
398.6	0.042
398.8	0.02561
399.0	0.01271
399.2	0.00692
399.4	0.00427
399.6	0.0029
399.8	0.00214
400.0	0.00162
400.2	0.00132
400.4	0.00108
400.6	9.5905e-04
400.8	8.449e-04
401.0	7.9492e-04
401.2	7.8181e-04
401.4	7.6562e-04
401.6	7.9937e-04
401.8	8.2351e-04
402.0	8.8742e-04
402.2	9.8057e-04
402.4	0.00104
402.6	0.00105
402.8	9.908e-04
403.0	8.4616e-04
403.2	6.6631e-04
403.4	5.0206e-04
403.6	3.6842e-04
403.8	2.8445e-04
404.0	2.1127e-04
404.2	1.8087e-04
404.4	1.3937e-04
404.6	1.2325e-04
404.8	1.0567e-04
405.0	9.5512e-05
405.2	9.7918e-05
405.4	1.0038e-04
405.6	1.0291e-04
405.8	1.0551e-04
406.0	1.0816e-04
406.2	1.1089e-04
406.4	1.1368e-04
406.6	1.1655e-04
406.8	1.1948e-04
407.0	1.2249e-04
407.2	1.2558e-04
407.4	1.2874e-04
407.6	1.3199e-04
407.8	1.3531e-04
408.0	1.3458e-04
408.2	1.3284e-04
408.4	1.3112e-04
408.6	1.2943e-04
408.8	1.2776e-04
409.0	1.2611e-04
409.2	1.2448e-04
409.4	1.2287e-04
409.6	1.2128e-04
409.8	1.1972e-04
410.0	1.1817e-04
410.2	1.1665e-04
410.4	1.1514e-04
410.6	1.1365e-04
410.8	1.1218e-04
411.0	1.1073e-04
411.2	1.093e-04
411.4	1.0789e-04
411.6	1.065e-04
411.8	1.0512e-04
412.0	1.0596e-04
412.2	1.0894e-04
412.4	1.1201e-04
412.6	1.1516e-04
412.8	1.1839e-04
413.0	1.2172e-04
413.2	1.2514e-04
413.4	1.2866e-04
413.6	1.3228e-04
413.8	1.36e-04
414.0	1.3982e-04
414.2	1.4375e-04
414.4	1.478e-04
414.6	1.5195e-04
414.8	1.5622e-04
415.0	1.6061e-04
415.2	1.8954e-04
415.4	2.1391e-04
415.6	2.0776e-04
415.8	2.0953e-04
416.0	2.0832e-04
416.2	1.9557e-04
416.4	1.786e-04
416.6	1.7981e-04
416.8	1.8735e-04
417.0	1.978e-04
417.2	2.0348e-04
417.4	2.3617e-04
417.6	2.6838e-04
417.8	3.5191e-04
418.0	4.9037e-04
418.2	8.4449e-04
418.4	0.00203
418.6	0.00629
418.8	0.00931
419.0	0.004
419.2	0.00155
419.4	8.9711e-04
419.6	6.082e-04
419.8	4.8943e-04
420.0	4.047e-04
420.2	3.6452e-04
420.4	3.6322e-04
420.6	3.7617e-04
420.8	3.6608e-04
421.0	4.0834e-04
421.2	4.4194e-04
421.4	5.2476e-04
421.6	6.4455e-04
421.8	8.7032e-04
422.0	0.00125
422.2	0.00203
422.4	0.00413
422.6	0.01474
422.8	0.11588
423.0	0.11523
423.2	0.01959
423.4	0.00666
423.6	0.0041
423.8	0.00305
424.0	0.00247
424.2	0.00219
424.4	0.0021
424.6	0.0021
424.8	0.00236
425.0	0.00282
425.2	0.00292
425.4	0.0042
425.6	0.00773
425.8	0.0224
426.0	0.10082
426.2	0.0989
426.4	0.02323
426.6	0.00795
426.8	0.00454
427.0	0.00317
427.2	0.00247
427.4	0.00215
427.6	0.0019
427.8	0.00182
428.0	0.00175
428.2	0.00177
428.4	0.00191
428.6	0.00203
428.8	0.00235
429.0	0.00281
429.2	0.00353
429.4	0.00483
429.6	0.00718
429.8	0.01187
430.0	0.02473
430.2	0.07238
430.4	0.2435
430.6	0.26658
430.8	0.10226
431.0	0.04399
431.2	0.02751
431.4	0.02098
431.6	0.01814
431.8	0.01735
432.0	0.01776
432.2	0.01973
432.4	0.02342
432.6	0.03017
432.8	0.04188
433.0	0.06458
433.2	0.11152
433.4	0.21438
433.6	0.39672
433.8	0.50943
434.0	0.42015
434.2	0.29086
434.4	0.21649
